CIDs,Optical Rotation Angle
6429885,-23
53384631,-23
73707489,-23
133686946,-23
5281034,+38
5852,-63
5755,+102
5994,+172
6013,+109
200742,-68.2
6883,+135
8283,+17.0
5281531,+17.0
5368797,+17.0
6857559,+17.0
11085337,+17.0
20055018,+17.0
20966,-35
146037231,-35
186907,-558
2724360,-492
14421,-556
2724361,-556
13879573,-556
15939117,-556
2724362,-473
2100,+191
441541,+191
9543442,+191
20054823,+191
73345410,+191
73755106,+191
101594314,+191
134692373,+191
231125,-8.8
442034,-8.8
9548612,-8.8
135957138,-8.8
16486,-108
16142,+66.8
275,+7.9
439202,+7.9
10463,-14.5
5281132,-14.5
25265910,-14.5
54680783,-37.4
441852,-1.7
5281316,+88
5281317,+95
25565,-92.9
5458420,-92.9
57134655,-92.9
77098495,-92.9
2919,+86.7
5311281,+86.7
5353552,+86.7
5836499,+86.7
24870911,+86.7
44634701,+86.7
73759750,+86.7
132780193,+86.7
138107649,+86.7
154825562,+86.7
267893,-35
442635,-35
101289683,-35
2524,+48
134070,+48
5280453,+48
5283740,+48
5371993,+48
9963516,+48
10093379,+48
11112510,+48
21158442,+48
53846434,+48
59072033,+48
71296883,+48
71699993,+48
91820610,+48
91884755,+48
131954609,+48
134694664,+48
145705668,+48
5379847,-22.5
20054907,-22.5
76961570,-22.5
10510,+13
279057,+13
5390854,+13
5462429,+13
6419323,+13
6713959,+13
23641111,+13
23817963,+13
24776144,+13
102004460,+13
102118043,+13
122173243,+13
129316926,+13
131676201,+13
135393450,+13
137628468,+13
146681954,+13
23205,-102.8
10626,
442736,
6433995,+5.3
53297431,+5.3
56840859,+5.3
76957522,+5.3
9081,+36
441451,+36
11768666,+36
36284,+7.86
4103928,-8.2
5281734,-8.2
15559782,-8.2
22524560,-8.2
76972338,-8.2
133565265,-8.2
146157389,-8.2
23303,-40
442741,-40
577603,-40
6712947,-40
102090387,-40
132350831,-40
134159384,-40
137705800,-40
146159513,-40
162393092,-40
10098,-167.6
11128,-29
30840,-880
102059805,-880
131876110,-880
156594243,-880
440473,-21
9415,-15
16817,+8.1
31829,+21.54
430146,+21.54
440908,+21.54
5284433,+21.54
90470438,+21.54
102515211,+21.54
138911428,+21.54
200145,-48.0
261943,-48.0
6478017,-48.0
11541511,-48.0
129317182,-48.0
138107385,-48.0
146158930,-48.0
154734365,-48.0
4605,-32.5
439501,-32.5
637579,-32.5
11527152,-32.5
15558277,-32.5
24840724,-32.5
51432361,-32.5
138107125,-32.5
5280343,-230
267891,-61.4
1549037,-61.4
5281743,-61.4
5281756,-61.4
5352411,-61.4
5462906,-61.4
6427036,-61.4
12311390,-61.4
73759794,-61.4
118701601,-61.4
126968828,-61.4
134159383,-61.4
134687994,-61.4
31181,+84
56840856,+84
131851431,+84
156588222,+84
30816,+67
11969548,+67
11972490,+67
90470333,+67
133126381,+67
134784362,+67
5280906,-55.1
259733,-6.2
5281752,-6.2
5363853,-6.2
6305177,-6.2
6442498,-6.2
101286192,-6.2
102004936,-6.2
146158284,-6.2
154825547,-6.2
5250,+109.8
442985,+109.8
5200420,+109.8
5701987,+109.8
6432036,+109.8
6710642,+109.8
16061352,+109.8
44584207,+109.8
122172924,+109.8
126961506,+109.8
126961509,+109.8
129316900,+109.8
30185,-60
262500,-60
442984,-60
5351524,-60
6537493,-60
9549171,-60
54605356,-60
118796404,-60
134688107,-60
134784057,-60
146157955,-60
5280389,-398
5284457,-398
16760106,-398
6433563,+95.7
20382,-8.64
443369,-8.64
4490623,-8.64
6324668,-8.64
11174599,-8.64
16759596,-8.64
20055121,-8.64
54592379,-8.64
137699575,-8.64
138107311,-8.64
139251219,-8.64
442400,-50
529495,-50
5284461,-50
6321400,-50
6431315,-50
6711181,-50
11969549,-50
13783814,-50
102515111,-50
146158055,-50
156588507,-50
6070,-71.8
23616879,-55
5281267,-110.5
2920,-25.6
5353553,-25.6
5458385,-25.6
6711190,-25.6
71308766,-25.6
132285122,-25.6
133655850,-25.6
146158725,-25.6
154825552,-25.6
30956,-7.5
5458428,-7.5
5476249,-7.5
6419417,-7.5
6433799,-7.5
16760041,-7.5
20055135,-7.5
24978555,-7.5
44715324,-7.5
60159013,-7.5
71308557,-7.5
71699760,-7.5
98137101,-7.5
122173078,-7.5
124918412,-7.5
129316905,-7.5
131668624,-7.5
146158182,-7.5
154825569,-7.5
11969479,+5
71449781,+5
102601139,+5
154417,-21.0
637577,+31.3
46202,-43
101615,-43
17751021,-43
92132560,-43
132988485,+130
5513,-30
28523,-30
452975,-30
23760126,-30
44630495,-30
101375997,-30
129627774,-30
133612499,-30
146157613,-30
2180,-42
34751,-42
441462,-42
656495,-42
656516,-42
12306131,-42
24801909,-42
66509032,-42
132779642,-42
134694146,-42
10235,-120
22407,-120
442949,-120
683511,-120
1549781,-120
6708720,-120
10198,+27.4
92124,-21
4594,-128.2
37768,+74.75
4460,+164
41859,+164
441306,+164
132062458,+164
5991,-29.5
5757,+76
5756,
9324,-10.0
9880,+152
40973,+55
3033968,-185.7
4542,+40.7
13109,-324
5702096,+40.7
6552023,+40.7
12598310,+40.7
16051930,+40.7
60148395,+40.7
71751212,+40.7
121231040,+40.7
126968545,+40.7
134601,-2.3
5761,
17857,
5184,-28
153311,-28
452977,-28
638340,-28
2723877,-28
3000322,-28
5284456,-28
6432494,-28
6451257,-28
9916237,-28
11968014,-28
16399351,-28
134767951,-28
443884,-16
3251,-160
8223,-160
11954224,-160
5657,+8.0
6280,+8.0
441081,+8.0
6426893,+8.0
11614496,+8.0
17751047,+8.0
44567962,+8.0
101326594,+8.0
122173108,+8.0
132991793,+8.0
134688149,+8.0
146159574,+8.0
9903,+33.7
6305,+6.1
10603,+11
320930,+11
442514,+11
15559608,+11
45029742,+11
138106960,+11
440917,+123.8
439517,+7
5816,-53
4580,-118
9344,-118
442530,-118
10001246,-118
12313657,-118
12313658,-118
23615865,-118
6137,+23.40
442070,+118
25674,+20.1
460129,-0.5
30323,+248
26956,-44
5459896,-44
6321404,-44
9572792,-44
5300,+39
29327,+39
2733335,+39
6420074,+39
6713972,+39
7067772,+39
45357367,+39
134695375,+39
5281750,-139
7360,+14.9
17100,
5768,+212
11069,+212
441326,+212
656862,+212
16051948,+212
21954270,+212
22817455,+212
23424040,+212
24867529,+212
73555141,+212
118705497,+212
127258216,+212
62034,+56.1
613201,-3.0
5281735,-3.0
5355259,-3.0
5376266,-3.0
5458664,-3.0
6321388,-3.0
6325507,-3.0
12358996,-3.0
12358997,-3.0
91735630,-3.0
134159362,-3.0
146158541,-3.0
156619863,-3.0
521949,
3000667,
5351564,
6419978,
44630475,
133126671,
5281045,-14
8466,-6
583586,-6
5281555,-6
12314789,-6
6869,
9865150,+223
23616583,+223
23676814,+223
101633783,+223
8022,
31304,-29.3
518601,-29.3
5311359,-29.3
5458938,-29.3
6473767,-29.3
13104807,-29.3
24802493,-29.3
24867522,-29.3
57402144,-29.3
122130659,-29.3
124080966,-29.3
131704481,-29.3
138107235,-29.3
154731207,-29.3
2826,-16.3
5760,-16.3
122142,-16.3
446220,-16.3
16078,-150.5
5462328,-197
37542,-36.5
191,-5
21704,-5
96368,-5
6420052,-5
36462,-110.5
657180,-31.7
657181,-31.7
44093,-131.0
39186,+98.3
5388962,-67.0
53232,+323
135398559,+14.26
135402009,+14.26
135403648,+14.26
135436482,+14.26
135484651,+14.26
452548,-107
439693,+73.0
258,+108.4
16380,+108.4
170012,+108.4
439625,+108.4
21124837,+108.4
40585,+57.4
10342051,-15.0
598715,-19
5374274,-19
12940701,-19
16722125,-19
71308226,-19
441871,-59
48132,+21
9809914,+21
22883840,+21
5281547,-22
5281548,+16
36314,-49
55245,+138.5
9444,+39
2909,-244
5280754,-244
5284373,-244
5458585,-244
5497195,-244
16404350,-244
24883466,-244
49867938,-244
71306795,-244
71463825,-244
73896891,-244
123134263,-244
123134270,-244
129009974,-244
132274082,-244
138107778,-244
34457,+92.9
281327,+92.9
146158504,+92.9
40839,+39.4
148124,-36
92431,+45.4
5062352,-46
5280440,-46
6260974,-46
6474983,-46
12873441,-46
12873460,-46
24870678,-46
45357419,-46
66509091,-46
73440817,-46
101000161,-46
126843096,-46
129606990,-46
133109136,-46
134693945,-46
137698429,-46
154825567,-46
162393081,-46
5266,-80
5284619,-80
5289394,-80
5353959,-80
5356392,-80
5702243,-80
6376223,-80
6419898,-80
6440717,-80
44629935,-80
53384896,-80
71729958,-80
76324338,-80
129627802,-80
131674879,-80
134687906,-80
134715567,-80
134717663,-80
135391165,-80
137704528,-80
138106574,-80
145712264,-80
71674,+0.8
21872770,+0.8
76959299,+0.8
16132294,-102
5151,-63
3085092,-63
6473797,-63
16057833,-63
133126597,-63
138106903,-63
60823,-7.4
2771,+12.33
3034683,-70.5
7568320,-70.5
266461,-13.7
6435894,+47.04
5362124,-159
5997,-34
60613,-97.3
5646,+509.4
2269,-37
55185,-37
447043,-37
456416,-37
3086605,-37
6324605,-37
10771356,-37
44317861,-37
90489754,-37
119057560,-37
129396765,-37
133109198,-37
134693946,-37
134750426,-37
138107041,-37
2083,-32.2
54454,+292
8680,-27.3
10607,-132.7
4584,+25.4
446512,+25.4
5353844,+25.4
5468826,+25.4
6102351,+25.4
6426933,+25.4
6476659,+25.4
6917781,+25.4
11953808,+25.4
23748514,+25.4
42628599,+25.4
45356271,+25.4
46936318,+25.4
57059112,+25.4
90479758,+25.4
118701651,+25.4
122172941,+25.4
131676365,+25.4
131839562,+25.4
134688093,+25.4
139242912,+25.4
146158002,+25.4
91518,-27
301118,-27
422111,-27
5458294,-27
15571689,-27
15571694,-27
53662469,-27
129631969,-27
146158250,-27
40024,+6.35
5284616,-58.2
92043424,-57
446157,+14.8
5282455,+14.8
9869776,+14.8
12086784,+14.8
45114162,+14.8
87071853,+14.8
71384,+42
6128,+199
66265,+9.5
9651,-118.7
5281303,-53
5353424,-53
5702264,-53
6436601,-53
23305153,-53
131698851,-53
6267,+5.41
60606,+55.10
60855,+40.9
56052,-176.5
54675769,-63.0
5282521,+12.75
6321340,+12.75
6426612,+12.75
6436128,+12.75
6852032,+12.75
16225190,+12.75
16667713,+12.75
45357310,+12.75
46783094,+12.75
46783806,+12.75
53394823,+12.75
101606512,+12.75
121595921,+12.75
123133899,+12.75
125462886,+12.75
126969108,+12.75
129009946,+12.75
134694040,+12.75
68911,
456408,
500199,
9796294,
20054835,
45006102,
45357887,
46783857,
71296933,
132451910,
138059744,
146159596,
156587374,
156619674,
53477707,-12
441401,-9
5905,+21.8
5284583,-90
5486971,+10.52
5284627,-34
105125,-26.9
6918204,-26.9
24838350,-26.9
73940219,-26.9
129628281,-26.9
131700865,-26.9
134715813,-26.9
138397737,-26.9
3034010,-32.0
20279,-18.8
60750,+425.36
10234702,-6.9
11136686,-6.9
11549937,-6.9
11650986,-6.9
46893156,-6.9
57507888,-6.9
101678929,-6.9
10917,-29
10918,-29
12049679,-29
60838,+67.7
128563,-45.3
180081,+161.4
3662,+41
441298,+41
9937023,+41
46835064,+41
59909316,+41
156619777,+41
25077993,-33.9
440936,-60.3
5672,+52.4
60780,+52.4
5311497,+52.4
13200033,+52.4
44424639,+52.4
71296871,+52.4
73265388,+52.4
138106918,+52.4
3034023,-34.5
23576,+22
449,-97
439230,-97
6746,-51
122544,-51
5280794,-51
5281330,-51
5354369,-51
5364569,-51
6432745,-51
12314479,-51
45358154,-51
122176684,-51
129316849,-51
138106906,-51
146159864,-51
64945,+67.5
259846,+27.2
150311,-33.9
6445540,-40.7
2678,-12.79
62924,+30
4659387,+30
5311101,+30
134687786,+30
439260,-37.3
60961,-61.7
208902,-57.8
2474,-12.3
6306,+40.6
6106,+7.6
6287,+22.9
4195,+138.5
3503,+386
656636,-23.7
5282227,-23.7
11462536,-23.7
12128785,-23.7
68873,-182
37083,+110
89386,+110
5311328,+110
5360970,+110
6540478,+110
9576068,+110
9601086,+110
11773081,+110
45359047,+110
98042564,+110
121231003,+110
133611887,+110
146158693,+110
5857,-13
611919,+39
3032504,+39
3034396,+39
15560578,+39
126968770,+39
208898,+32
13633097,+3.5
6134,+34
71485,+84
222285,+11.1
88735,+89.8
94169,+89.8
3034828,+89.8
4454759,+89.8
157355,+14
493591,+106.5
41774,+165
441184,+165
444254,+165
4432690,+165
18397995,+165
44891366,+165
71312704,+165
122172882,+165
129010024,+165
134694648,+165
138059738,+165
152946,-193
149096,-76.9
412,-89
91462,-89
84029,-90.4
5362456,-67
65492,-20.1
54682461,+20
62388,-76.5
88353,-76.5
5281929,-76.5
5319693,-76.5
5367719,-76.5
6432008,-76.5
12566815,-76.5
24208748,-76.5
442495,+28.2
197060,-53
317505,-53
363272,-53
442108,-53
44359514,-53
89578867,-53
22833361,+5
5372,-84.4
445643,-84.4
5472317,-84.4
6436007,-84.4
6473866,-84.4
6536850,-84.4
9918805,-84.4
23581796,-84.4
24978521,-84.4
46783859,-84.4
71296869,-84.4
71668407,-84.4
77906388,-84.4
134687781,-84.4
134694629,-84.4
138106951,-84.4
5388906,-166.98
216326,
612,-153
59227,-55.79
11230,+24.5
65575,+9.9
1268142,+181
2462,+98.9
40000,+98.9
63006,+98.9
969510,+98.9
3033890,+98.9
5281004,+98.9
5702148,+98.9
16759566,+98.9
18647121,+98.9
24867460,+98.9
46780910,+98.9
73759663,+98.9
122361610,+98.9
138059757,+98.9
9926791,+10.4
5282198,+2.9
5462306,-211.8
5408233,-98
11860154,-98
5282452,+23.1
9955951,+23.1
11251522,+23.1
24848419,+23.1
154825417,+23.1
31116,-183
78759347,
135403647,
135408067,
135430812,
135430945,
135500522,
135665655,
135738681,
135823198,
135883785,
136045755,
136047905,
136123990,
136666287,
9927978,-31.5
6029,
5789,+18
6035,+31
9570,-58.0
20039,-28
277822,
3000824,
57358065,
25050,-22
16667703,-22
16757841,-22
18528109,-22
44629863,-22
71744243,-22
124080959,-22
6918223,+42
26879,-126.2
27944,-126.2
39981,+14.2
43252,+14.2
151716,-27.5
5351280,-27.5
320697,
3001029,
5288818,
16746648,
47751,
457954,-13.8
130315,+4.5
432118,+4.5
462197,+4.5
6711221,+4.5
54599440,+4.5
30751,
119565,+32.5
5363794,
6436218,
100992284,
6437358,
441597,+44
72828,-95
493321,-95
574333,-95
92278529,-95
3197,-321
458034,-321
6857732,-321
6917949,-321
23724556,-321
44448250,-321
91826096,-321
134692670,-321
138107238,-321
138402870,-321
35370,+49.0
24066,+70
135398739,-25.7
2723719,+250
4283516,+250
5281099,+250
5284447,+250
6057875,+250
6473973,+250
9939594,+250
16102132,+250
23305305,+250
23835497,+250
57417192,+250
57501504,+250
66509030,+250
71306823,+250
71308755,+250
75534860,+250
90489753,+250
92023654,+250
102503760,+250
133053818,+250
134751826,+250
138393806,+250
138403275,+250
146159711,+250
13788048,+95
16211195,+95
54682536,+95
54740489,+95
156592256,+95
54676825,+21
2116,
23683938,+95
54680695,+95
54691414,+95
444305,+11
13725892,+7
102600827,+7
24238,+160
320761,+160
444041,+160
6518168,+160
70702285,+160
71306822,+160
90384115,+160
101136808,+160
168185,+22
23669634,+22
23695977,+22
23696295,+22
87975,+27
14559043,+27
56841881,+27
102601741,+27
139033629,+27
154523,+25
16219390,+25
24802175,+25
198473,+23
50911969,+23
5362129,+33.2
146570,+12.33
5478936,-5
6324647,-5
12300006,-5
56928080,-5
90470449,-5
101647520,-5
146158303,-5
6433556,+162.5
16760034,+162.5
71308165,+162.5
134688583,+162.5
