TGSC ID,Tags
1000391,"{'coconut', 'floral', 'creamy', 'sweet', 'milky', 'peach', 'dairy', 'fruity'}"
1000401,"{'floral', 'jasmin', 'gardenia', 'tuberose'}"
1000411,"{'fresh', 'metallic', 'tuberose', 'aldehydic', 'waxy', 'citrus', 'coumarinic', 'amber', 'mossy'}"
1000411,"{'gassy', 'metallic', 'waxy', 'aldehydic', 'coumarinic', 'citrus'}"
1000412,"{'fresh', 'metallic', 'tuberose', 'aldehydic', 'waxy', 'citrus', 'coumarinic', 'amber', 'mossy'}"
1000412,"{'gassy', 'metallic', 'waxy', 'aldehydic', 'coumarinic', 'citrus'}"
1000421,"{'jasmin', 'celery', 'chamomile', 'herbal', 'lovage', 'sassafras'}"
1000431,"{'cinnamon', 'sweet', 'cinnamyl', 'storax', 'balsamic', 'powdery'}"
1000441,{'odorless'}
1000481,"{'floral', 'rose', 'sweet', 'waxy', 'aldehydic', 'lychee', 'muguet', 'lily'}"
1000491,"{'fresh', 'green', 'waxy', 'aldehydic', 'woody', 'lily'}"
1000511,"{'ethereal', 'alcoholic', 'medicinal'}"
1000531,"{'coconut', 'creamy', 'sweet', 'waxy', 'oily', 'buttery'}"
1000531,"{'coconut', 'creamy', 'sweet', 'oily', 'fatty', 'buttery'}"
1000532,"{'coconut', 'creamy', 'sweet', 'waxy', 'oily', 'buttery'}"
1000532,"{'coconut', 'creamy', 'sweet', 'oily', 'fatty', 'buttery'}"
1000591,"{'soapy', 'musty', 'green', 'waxy', 'aldehydic', 'citrus', 'leathery'}"
1000592,"{'floral', 'soapy', 'musty', 'green', 'waxy', 'aldehydic', 'citrus', 'leathery'}"
1000592,"{'fresh', 'floral', 'soapy', 'orange', 'rose', 'lime', 'green', 'waxy', 'aldehydic', 'citrus', 'fatty', 'lemon', 'woody'}"
1000601,"{'musk', 'amber', 'woody'}"
1000631,"{'apple', 'sweet', 'green', 'raspberry', 'banana', 'fruity'}"
1000631,"{'green', 'fruity', 'apple', 'sweet'}"
1000691,{'odorless'}
1000701,"{'apple', 'pineapple', 'sweet', 'tropical', 'green', 'fruity'}"
1000701,"{'berry', 'apple', 'pineapple', 'sweet', 'tropical', 'acidic', 'green', 'fruity'}"
1000731,"{'pineapple', 'sweet', 'tropical', 'arrack', 'ethereal', 'rum', 'fatty', 'cognac', 'fruity'}"
1000751,"{'sweet', 'alcoholic', 'fusel', 'rummy', 'ethereal', 'fruity'}"
1000751,"{'sweet', 'alcoholic', 'pungent', 'fusel', 'rummy', 'ethereal', 'fruity'}"
1000801,"{'floral', 'jasmin', 'peach', 'lactonic', 'fruity'}"
1000811,"{'citronella', 'fresh', 'floral', 'sweet', 'lily'}"
1000821,"{'coconut', 'creamy', 'peach', 'fatty', 'lactonic', 'apricot', 'ketonic', 'fruity'}"
1000822,"{'coconut', 'creamy', 'peach', 'fatty', 'lactonic', 'apricot', 'ketonic', 'fruity'}"
1000822,"{'coconut', 'creamy', 'peach', 'fatty', 'lactonic', 'ketonic', 'fruity'}"
1000831,"{'sweet', 'musk', 'dry', 'powdery', 'amber', 'fruity'}"
1000881,"{'berry', 'floral', 'currant black currant', 'rose', 'tobacco', 'honey', 'plum', 'fruity'}"
1000911,"{'citrus', 'natural', 'lemon'}"
1000921,"{'waxy', 'vetiver', 'sharp', 'peanut', 'dry', 'cedar', 'woody'}"
1000931,"{'cotton candy', 'sweet', 'sugar brown sugar', 'strawberry', 'caramellic'}"
1000931,"{'cotton candy', 'sweet', 'savory', 'burnt', 'brown', 'caramellic'}"
1000941,"{'balsamic', 'floral', 'sweet'}"
1000961,"{'dry', 'musk', 'tobacco', 'ambergris', 'cedar', 'woody'}"
1000971,"{'floral', 'sweet', 'tropical', 'green', 'waxy', 'melon', 'lily'}"
1000972,"{'floral', 'sweet', 'tropical', 'green', 'waxy', 'melon', 'lily'}"
1000972,"{'floral', 'sweet', 'green', 'citrus', 'melon'}"
1000981,"{'floral', 'sandalwood', 'sweet', 'musk', 'amber'}"
1001011,"{'floral', 'jasmin', 'sweet', 'herbal', 'oily', 'fruity'}"
1001011,"{'floral', 'sweet', 'tropical', 'green', 'powdery', 'fruity'}"
1001021,"{'floral', 'rose', 'green', 'waxy', 'neroli', 'fruity'}"
1001021,"{'floral', 'green', 'waxy', 'citrus', 'fruity'}"
1001051,"{'fresh', 'fruity', 'apple'}"
1001111,"{'vetiver', 'fatty', 'cedar', 'amber', 'woody'}"
1001151,"{'mimosa', 'anise', 'sweet', 'licorice'}"
1001152,"{'mimosa', 'anise', 'sweet', 'licorice'}"
1001152,"{'medicinal', 'anise', 'sweet', 'licorice'}"
1001171,"{'fresh', 'sandalwood', 'patchouli', 'herbal', 'tobacco', 'amber', 'woody'}"
1001221,"{'green', 'leafy', 'vegetable'}"
1001231,"{'floral', 'earthy', 'green', 'fungal', 'natural'}"
1001251,"{'floral', 'rose', 'sweet', 'hawthorn', 'lilac', 'hyacinth', 'powdery'}"
1001251,"{'creamy', 'sweet', 'balsamic', 'coumarinic', 'lactonic', 'powdery', 'cherry', 'licorice'}"
1001271,"{'floral', 'sweet', 'hawthorn', 'balsam', 'powdery', 'mimosa'}"
1001272,"{'floral', 'sweet', 'hawthorn', 'balsamic', 'anisic', 'powdery', 'mimosa'}"
1001272,"{'spicy', 'sweet', 'creamy', 'coumarinic', 'anisic', 'powdery', 'vanilla', 'woody', 'anise'}"
1001291,"{'sweet', 'tonka', 'balsam', 'plum', 'powdery', 'vanilla', 'cherry', 'fruity'}"
1001292,"{'sweet', 'tonka', 'balsamic', 'plum', 'powdery', 'vanilla', 'cherry', 'fruity'}"
1001292,"{'spicy', 'creamy', 'sweet', 'coumarinic', 'powdery', 'vanilla', 'cherry', 'fruity'}"
1001331,"{'pear', 'ethereal', 'apple', 'solvent'}"
1001351,"{'corn chip', 'nut flesh', 'grain toasted grain', 'hazelnut roasted hazelnut', 'popcorn', 'peanut butter', 'nutty', 'peanut roasted peanut'}"
1001361,"{'apple', 'pineapple', 'sweet', 'herbal', 'fruity'}"
1001361,"{'powdery', 'fruity', 'sweet', 'musty'}"
1001371,"{'floral', 'herbal', 'green', 'oily', 'balsam', 'cedar', 'fruity', 'woody'}"
1001372,"{'floral', 'herbal', 'green', 'oily', 'balsamic', 'cedar', 'fruity', 'woody'}"
1001381,"{'fresh', 'floral', 'leaf', 'orchid', 'green', 'fatty', 'balsam'}"
1001382,"{'fresh', 'floral', 'leafy', 'orchid', 'green', 'balsamic', 'fatty'}"
1001382,"{'spicy', 'floral', 'sweet', 'green', 'oily', 'fruity'}"
1001391,"{'balsamic', 'cedar', 'pine', 'woody'}"
1001401,"{'corn', 'earthy', 'potato chip', 'popcorn', 'nutty'}"
1001401,"{'corn', 'musty', 'potato', 'earthy', 'nutty'}"
1001421,"{'spicy', 'floral', 'rose red rose', 'leafy', 'citrus', 'geranium', 'powdery'}"
1001441,"{'amber', 'musk', 'geranium'}"
1001451,"{'fresh', 'sweet', 'green', 'waxy', 'grassy', 'sharp', 'vegetable'}"
1001451,"{'fresh', 'green', 'waxy', 'citrus', 'vegetable', 'melon', 'fruity'}"
1001452,"{'fresh', 'sweet', 'green', 'waxy', 'grassy', 'sharp', 'vegetable'}"
1001452,"{'fresh', 'green', 'waxy', 'citrus', 'vegetable', 'melon', 'fruity'}"
1001471,"{'fresh', 'apple', 'sweet', 'green', 'grassy', 'banana', 'fruity'}"
1001471,"{'fresh', 'apple', 'sweet', 'green', 'melon', 'fruity', 'pear'}"
1001491,"{'sweet', 'bitter', 'sharp', 'almond', 'cherry', 'fruity'}"
1001491,"{'cherry maraschino cherry', 'nutty', 'almond', 'powdery', 'fruity'}"
1001511,"{'dry', 'citrus', 'herbal', 'woody'}"
1001531,"{'coconut', 'cinnamon', 'sweet', 'tonka', 'herbal', 'balsamic', 'coumarinic'}"
1001531,"{'spicy', 'coconut', 'creamy', 'sweet', 'tonka', 'coumarinic', 'vanilla'}"
1001541,"{'fresh', 'minty', 'peppermint', 'mentholic', 'camphoreous', 'woody'}"
1001541,"{'minty', 'mentholic', 'cooling', 'camphoreous', 'spearmint'}"
1001561,"{'spicy', 'floral', 'minty', 'sweet', 'balsamic', 'wintergreen'}"
1001561,"{'spicy', 'minty', 'tutti frutti', 'sweet', 'balsamic', 'wintergreen', 'cooling'}"
1001571,"{'nut flesh', 'grain toasted grain', 'hazelnut roasted hazelnut', 'nutty', 'vegetable', 'nut skin', 'corn chip', 'caramellic'}"
1001591,"{'sweet', 'green', 'waxy', 'cognac', 'banana', 'fruity'}"
1001591,"{'sweet', 'green', 'waxy', 'dirty', 'banana', 'fruity'}"
1001601,"{'floral', 'sweet', 'fatty', 'honey', 'fruity', 'strawberry'}"
1001602,"{'floral', 'sweet', 'fatty', 'honey', 'fruity', 'strawberry'}"
1001602,"{'floral', 'sweet', 'honey', 'fruity', 'strawberry'}"
1001611,"{'fresh', 'floral', 'jasmin', 'sweet', 'fruity'}"
1001612,"{'fresh', 'floral', 'jasmin', 'sweet', 'fruity'}"
1001612,"{'floral', 'fruity', 'sweet'}"
1001621,"{'earthy', 'clean', 'dry', 'cedar', 'woody'}"
1001631,"{'orange', 'floral', 'blossom', 'grape', 'powdery', 'naphtha'}"
1001632,"{'floral', 'naphthyl', 'grape', 'orangeflower', 'powdery'}"
1001632,"{'floral', 'powdery', 'naphthyl', 'citrus'}"
1001641,"{'berry', 'floral', 'sweet', 'tropical', 'fruity', 'strawberry'}"
1001641,"{'berry', 'floral', 'rose', 'sweet', 'honey', 'fruity', 'strawberry'}"
1001651,"{'phenolic', 'floral', 'rose', 'balsamic'}"
1001651,"{'chemical', 'floral', 'fruity', 'sweet'}"
1001652,"{'phenolic', 'floral', 'rose', 'balsamic'}"
1001652,"{'chemical', 'floral', 'fruity', 'sweet'}"
1001661,"{'vinegar', 'acidic', 'cheesy', 'pungent'}"
1001661,"{'acidic', 'dairy', 'pungent'}"
1001671,"{'sweet', 'faint', 'herbal', 'oily', 'balsam'}"
1001672,"{'balsamic', 'herbal', 'oily', 'sweet'}"
1001672,"{'balsamic', 'floral', 'fruity', 'sweet'}"
1001681,"{'musty', 'toasted', 'nutty', 'vegetable', 'dry'}"
1001681,{'vegetable'}
1001691,"{'fresh', 'orchid', 'green', 'herbal', 'waxy'}"
1001711,"{'floral', 'jasmin', 'rose', 'sweet', 'tropical', 'oily', 'fruity'}"
1001711,"{'juicy', 'floral', 'sweet', 'tropical', 'powdery', 'fruity', 'woody'}"
1001731,"{'spicy', 'carnation', 'balsamic', 'magnolia', 'powdery'}"
1001751,"{'earthy', 'herbal', 'natural', 'woody', 'weedy'}"
1001751,"{'cheesy bleu cheese', 'musty', 'earthy', 'ketonic', 'dairy', 'cheesy parmesan cheese'}"
1001771,"{'floral', 'jasmin', 'sweet', 'balsam', 'banana', 'fruity'}"
1001772,"{'floral', 'jasmin', 'sweet', 'balsamic', 'banana', 'fruity'}"
1001772,"{'jammy', 'floral', 'jasmin', 'apple', 'sweet', 'balsamic', 'banana', 'fruity'}"
1001781,"{'floral', 'sweet', 'ripe', 'powdery', 'fruity'}"
1001791,"{'sweet', 'clean', 'herbal', 'oily', 'balsam'}"
1001792,"{'sweet', 'clean', 'herbal', 'oily', 'balsamic'}"
1001801,{'odorless'}
1001811,"{'fresh', 'tropical', 'green', 'waxy', 'mushroom', 'melon rind'}"
1001841,"{'pineapple', 'green', 'fusel', 'galbanum', 'fruity'}"
1001842,"{'pineapple', 'green', 'fusel', 'galbanum', 'fruity'}"
1001851,"{'fresh', 'apple', 'green', 'fatty', 'fruity'}"
1001852,"{'fresh', 'apple', 'green', 'fatty', 'fruity'}"
1001852,"{'berry', 'estery', 'tutti frutti', 'sweet', 'green', 'fatty', 'fruity'}"
1001881,"{'fresh', 'floral', 'sweet', 'earthy', 'narcissus', 'lilac', 'anisic', 'peony'}"
1001891,"{'narcissus', 'celery', 'green', 'herbal', 'cortex', 'weedy'}"
1001891,"{'floral', 'green', 'minty', 'vegetable'}"
1001901,"{'lime', 'citrus', 'lavender', 'bergamot'}"
1001921,"{'herbal', 'chocolate', 'balsamic', 'basil', 'amber', 'fruity', 'anise'}"
1001951,"{'moldy', 'acidic', 'green', 'woody', 'dry', 'weedy'}"
1001951,"{'sweet', 'green', 'greasy', 'woody', 'weedy'}"
1001961,"{'leathery', 'rose red rose', 'metallic', 'green', 'dusty', 'weedy'}"
1001971,"{'violet', 'fresh', 'sweet', 'green', 'foliage'}"
1001991,"{'sweet', 'clean', 'musk', 'waxy', 'animal'}"
1002001,"{'floral', 'rose', 'green', 'clean', 'peony', 'lily'}"
1002011,"{'spicy', 'sweet', 'cumin', 'herbal', 'orris', 'fruity', 'woody'}"
1002031,"{'floral', 'minty', 'earthy', 'herbal', 'mentholic', 'tea', 'fruity', 'woody'}"
1002091,"{'balsamic', 'herbal', 'camphoreous', 'woody'}"
1002092,"{'balsamic', 'herbal', 'camphoreous', 'woody'}"
1002111,"{'spicy', 'coconut', 'sweet', 'herbal', 'cheesy', 'fruity', 'woody'}"
1002111,"{'creamy', 'green', 'ketonic', 'cheesy', 'banana', 'fruity'}"
1002131,"{'floral', 'waxy', 'rose', 'leafy'}"
1002141,"{'floral', 'apple', 'green', 'herbal', 'waxy', 'cucumber', 'plum'}"
1002141,"{'floral', 'green', 'herbal', 'waxy', 'cucumber', 'vegetable', 'fruity'}"
1002151,"{'floral', 'soapy', 'green', 'pine', 'cedar', 'woody'}"
1002152,"{'floral', 'soapy', 'green', 'pine', 'cedar', 'woody'}"
1002161,{'ethereal'}
1002171,"{'narcissus', 'metallic', 'green', 'aldehydic', 'phenolic', 'ethereal', 'nasturtium', 'cherry', 'fruity', 'medicinal'}"
1002181,"{'sweet', 'acorn', 'nutty', 'almond', 'fruity', 'maple', 'caramellic'}"
1002191,"{'hyacinth', 'green', 'leafy'}"
1002211,{'odorless'}
1002221,"{'balsamic', 'apricot', 'spicy', 'sweet'}"
1002231,{'odorless'}
1002261,"{'floral', 'fusel', 'fatty', 'fruity', 'winey', 'buttery'}"
1002281,"{'acidic', 'dairy', 'rancid', 'sour', 'cheesy', 'buttery'}"
1002281,set()
1002291,"{'floral', 'leafy', 'green', 'grape', 'heliotrope'}"
1002301,"{'fresh', 'floral', 'herbal', 'green', 'cortex', 'plastic', 'magnolia'}"
1002311,"{'spicy', 'pineapple', 'cinnamyl', 'balsamic', 'apricot', 'peach', 'plum', 'fruity'}"
1002311,{'fruity'}
1002341,"{'jammy', 'cotton candy', 'sweet', 'bread baked', 'fruity', 'caramellic'}"
1002341,"{'jammy', 'cotton candy', 'sweet', 'bready', 'burnt', 'fruity', 'caramellic'}"
1002342,"{'jammy', 'cotton candy', 'sweet', 'bread baked', 'fruity', 'caramellic'}"
1002342,"{'jammy', 'cotton candy', 'sweet', 'bready', 'burnt', 'fruity', 'caramellic'}"
1002351,"{'fresh', 'clean', 'green', 'watery', 'phenolic', 'marine', 'ozone', 'melon'}"
1002352,"{'fresh', 'clean', 'green', 'watery', 'phenolic', 'marine', 'ozone', 'melon'}"
1002361,"{'balsamic', 'green', 'floral', 'jasmin'}"
1002362,"{'balsamic', 'green', 'floral', 'jasmin'}"
1002391,"{'earthy', 'patchouli', 'herbal', 'rooty', 'camphoreous', 'woody'}"
1002411,"{'clean', 'woody', 'dry', 'amber', 'vetiver'}"
1002441,"{'earthy', 'moldy', 'patchouli', 'green', 'musk', 'cucumber', 'aldehydic', 'amber', 'mossy', 'woody'}"
1002461,"{'herbal', 'apple green apple', 'fruity', 'woody'}"
1002462,"{'herbal', 'apple green apple', 'fruity', 'woody'}"
1002471,"{'floral', 'ambrette', 'sweet', 'musk', 'powdery', 'woody'}"
1002472,"{'floral', 'ambrette', 'sweet', 'musk', 'powdery', 'woody'}"
1002472,"{'spicy', 'floral', 'ambrette', 'sweet', 'musk', 'powdery', 'vanilla', 'woody'}"
1002481,"{'dry', 'powdery', 'cedar', 'woody'}"
1002521,"{'rose', 'sweet', 'leafy', 'green', 'herbal', 'oily', 'natural'}"
1002541,"{'pineapple', 'sweet', 'green', 'ripe', 'peach', 'apricot', 'fruity'}"
1002541,"{'pineapple', 'sweet', 'green', 'waxy', 'ripe', 'fruity'}"
1002551,"{'fatty', 'fruity', 'pineapple'}"
1002571,"{'fresh', 'green', 'waxy', 'lemon peel', 'citrus'}"
1002571,"{'floral', 'sweet', 'green', 'waxy', 'lemon peel', 'citrus'}"
1002581,"{'nitrile', 'metallic', 'aldehydic', 'citrus', 'lemon'}"
1002591,"{'fresh', 'green', 'herbal', 'oily', 'natural', 'fruity'}"
1002592,"{'fresh', 'green', 'herbal', 'oily', 'natural', 'fruity'}"
1002601,"{'fatty', 'fruity'}"
1002611,"{'earthy', 'green', 'herbal', 'cortex', 'vegetable', 'banana'}"
1002611,"{'radish', 'earthy', 'green', 'mushroom', 'vegetable'}"
1002631,"{'spicy', 'aromatic', 'resinous', 'sweet', 'cinnamyl', 'aldehydic', 'balsamic', 'honey', 'powdery'}"
1002631,"{'spicy', 'cinnamon', 'cassia'}"
1002632,"{'spicy', 'aromatic', 'resinous', 'sweet', 'cinnamyl', 'aldehydic', 'balsamic', 'honey', 'powdery'}"
1002632,"{'spicy', 'cinnamon', 'cassia'}"
1002651,"{'creamy', 'vanilla', 'caramel', 'sweet'}"
1002652,"{'creamy', 'vanilla', 'sweet', 'caramellic'}"
1002652,"{'creamy', 'vanilla', 'sweet', 'root beer'}"
1002661,"{'caramellic', 'vanilla', 'creamy', 'sweet'}"
1002671,"{'floral', 'soapy', 'rose', 'balsamic', 'powdery'}"
1002711,"{'sweet', 'herbal', 'green', 'oily', 'fusel', 'alcoholic', 'ethereal', 'fruity'}"
1002711,"{'sweet', 'herbal', 'green', 'oily', 'fusel', 'pungent', 'alcoholic', 'ethereal', 'fruity'}"
1002741,"{'herbal', 'minty', 'sweet', 'spearmint'}"
1002751,"{'orchid', 'fresh', 'herbal', 'green'}"
1002761,"{'dry', 'citrus', 'woody', 'peppery'}"
1002771,"{'apple', 'pineapple', 'apricot', 'peach', 'fruity'}"
1002791,"{'metallic', 'alliaceous', 'onion', 'garlic'}"
1002791,"{'metallic', 'alliaceous', 'onion', 'garlic'}"
1002801,"{'roasted', 'sulfurous', 'alliaceous', 'onion', 'garlic'}"
1002801,"{'onion cooked onion', 'roasted', 'meaty', 'charred', 'sulfurous', 'alliaceous', 'grilled', 'garlic'}"
1002831,"{'cedarwood', 'woody', 'sweet'}"
1002841,"{'creamy', 'sweet', 'pineapple', 'waxy', 'cortex', 'fruity', 'winey'}"
1002841,"{'creamy', 'sweet', 'waxy', 'fruity', 'winey'}"
1002871,"{'pineapple', 'sweet', 'tropical', 'green', 'waxy', 'fatty', 'banana', 'fruity'}"
1002871,"{'pineapple', 'sweet', 'tropical', 'green', 'waxy', 'fatty', 'fruity'}"
1002881,"{'minty', 'peppermint', 'mentholic', 'herbal'}"
1002911,"{'rummy', 'fruity', 'honey'}"
1002921,"{'apple', 'tropical', 'ripe', 'apricot', 'fruity'}"
1002921,"{'tropical', 'acrylate', 'alliaceous', 'ripe', 'ethereal', 'sharp', 'fruity'}"
1002941,"{'banana', 'wintergreen', 'fruity', 'pineapple'}"
1002961,"{'fruity', 'pineapple'}"
1002971,"{'metallic', 'sulfurous', 'horseradish', 'onion', 'garlic'}"
1002971,"{'metallic', 'sulfurous', 'pungent', 'horseradish', 'onion', 'garlic'}"
1002981,"{'mustard', 'sulfurous', 'pungent'}"
1003001,"{'fresh', 'gassy', 'green', 'alliaceous', 'onion', 'garlic'}"
1003001,"{'fresh', 'gassy', 'green', 'alliaceous', 'onion', 'garlic'}"
1003011,"{'berry', 'green', 'fruity'}"
1003031,"{'dry', 'cedarwood', 'woody', 'sweet'}"
1003051,"{'waxy', 'fruity', 'pineapple'}"
1003061,"{'apple', 'sweet', 'pineapple', 'banana', 'cherry', 'fruity'}"
1003061,"{'apple', 'sweet', 'pineapple', 'pungent', 'banana', 'fruity'}"
1003111,"{'minty', 'sweet', 'peppermint', 'mentholic', 'cooling'}"
1003111,"{'minty', 'mentholic', 'ethereal', 'cooling', 'camphoreous'}"
1003151,"{'fresh', 'earthy', 'pineapple', 'narcissus', 'green', 'hyacinth', 'galbanum', 'fruity', 'weedy'}"
1003181,"{'sweet', 'green', 'fermented', 'ethereal', 'winey'}"
1003191,"{'sweet', 'fermented', 'oily', 'fusel', 'balsamic'}"
1003191,"{'yeasty', 'solvent', 'fermented', 'fusel', 'pungent', 'bready', 'winey'}"
1003201,"{'apple', 'sweet', 'green', 'banana', 'fruity'}"
1003201,"{'fresh', 'apple', 'sweet', 'green', 'fatty', 'fruity', 'pear'}"
1003221,"{'violet', 'citrus', 'woody', 'sweet'}"
1003271,"{'balsamic', 'storax', 'sweet'}"
1003281,"{'banana ripe banana', 'pineapple', 'privet', 'green', 'chrysanthemum', 'ripe', 'fatty', 'fruity'}"
1003281,"{'spicy', 'estery', 'tropical', 'cooling', 'fruity'}"
1003291,"{'spicy', 'sweet', 'cinnamyl', 'green', 'balsamic', 'hyacinth', 'powdery'}"
1003291,"{'spicy', 'floral', 'cinnamon', 'green', 'fermented', 'balsamic', 'powdery'}"
1003292,"{'spicy', 'sweet', 'cinnamyl', 'green', 'balsamic', 'hyacinth', 'powdery'}"
1003292,"{'spicy', 'floral', 'cinnamon', 'green', 'fermented', 'balsamic', 'powdery'}"
1003311,"{'apple', 'tropical', 'green', 'grape', 'banana unripe banana', 'ethereal', 'cocoa', 'cherry', 'fruity'}"
1003311,"{'estery', 'sweet', 'green', 'waxy', 'fruity'}"
1003331,"{'floral', 'jasmin', 'green', 'lemon', 'lily'}"
1003351,"{'green', 'herbal', 'oily', 'sweet'}"
1003371,"{'spicy', 'floral', 'cinnamon', 'sweet', 'balsam'}"
1003372,"{'spicy', 'floral', 'cinnamon', 'sweet', 'balsamic'}"
1003372,"{'spicy', 'floral', 'cinnamon', 'estery', 'rose', 'sweet', 'powdery'}"
1003381,"{'hay', 'tobacco', 'fruity', 'oily'}"
1003391,"{'spicy', 'sweet', 'apple green apple', 'cherry', 'melon'}"
1003391,"{'spicy', 'yeasty', 'fermented', 'woody', 'sour', 'fruity', 'winey'}"
1003401,"{'earthy', 'orris', 'dry', 'camphoreous', 'woody'}"
1003411,"{'acetic', 'sharp', 'cheesy', 'fruity', 'buttery'}"
1003411,"{'sharp', 'cheesy', 'dairy', 'fruity', 'buttery'}"
1003421,"{'deep', 'cherry', 'fruity', 'phenolic'}"
1003422,"{'phenolic', 'cherry', 'fruity'}"
1003431,"{'sharp', 'lemon', 'sweet'}"
1003432,"{'citrus', 'sharp', 'lemon', 'sweet'}"
1003432,"{'fresh', 'juicy', 'sweet', 'tart', 'green', 'lemon peel', 'citrus'}"
1003451,"{'floral', 'lime', 'green', 'citric', 'natural', 'lemon'}"
1003452,"{'floral', 'lime', 'green', 'citrus', 'natural', 'lemon'}"
1003452,"{'lime', 'green', 'aldehydic', 'citrus', 'lemon', 'terpenic'}"
1003461,"{'earthy', 'green', 'herbal', 'waxy', 'mushroom'}"
1003462,"{'floral', 'apple', 'earthy', 'green', 'herbal', 'waxy', 'mushroom', 'fruity'}"
1003491,"{'spicy', 'floral', 'sweet', 'carnation', 'balsamic'}"
1003501,"{'caramellic', 'fruity', 'buttery', 'sweet'}"
1003511,"{'banana', 'floral', 'fruity', 'sweet'}"
1003521,"{'floral', 'rose', 'sweet', 'green', 'apple green apple', 'raisin', 'fruity', 'caramellic'}"
1003531,"{'floral', 'minty', 'green', 'balsamic', 'geranium', 'muguet'}"
1003551,"{'fennel', 'herbal', 'oily', 'anisic', 'fruity'}"
