TGSC ID,Tags,Original Tags,Description,Concentration %,Solvent,Strength,Recommended Max Concentration %,Substantivity (Hours),Substantivity Min (Hours),Substantivity Max (Hours),Substantivity Concentration %,Substantivity Solvent,Source,Source Year,Sample Supplier
1000231,"['fatty','waxy','floral','orange','sweet','clean','watery']",false,fatty waxy floral orange sweet clean watery,100.0,,,,104.0,,,100.0,,,,
1000232,"['fatty','waxy','floral','orange','sweet','clean','watery']",true,fatty waxy floral orange sweet clean watery,100.0,,,,104.0,,,100.0,,"Luebke, William tgsc",1983,Harrmann & Reimer Corporation
1000241,"['fruity','peach','apricot','jasmin','lactonic','herbal','lavender']",true,fruity peach apricot jasmin lactonic herbal lavender,100.0,,,,12.0,,,100.0,,"Luebke, William tgsc",1988,Firmenich Inc.
1000251,"['aldehydic','waxy','citrus','orange peel','green','herbal','fresh','fatty']",true,aldehydic waxy citrus orange peel green herbal fresh fatty,1.0,dipropylene glycol,high,1.0,7.0,,,100.0,,"Luebke, William tgsc",1982,Berje Inc.
1000251,"['aldehydic','waxy','citrus','orange','green','peely']",true,"Aldehydic, waxy, citrus orange with a green peely nuance",,,,,,,,,,"Mosciano, Gerard P&F 17, No. 5, 127",1992,
1000291,"['aldehydic','waxy','rose','fresh','orris','orange peel','fatty','peely']",true,waxy aldehydic rose fresh orris orange peel fatty peely,10.0,dipropylene glycol,high,10.0,276.0,,,100.0,,"Luebke, William tgsc",1982,Givaudan Corporation
1000291,"['aldehydic','waxy','citrus','fresh','green','lemon peel','cucumber','fatty']",true,"Waxy, aldehydic, citrus, with a fresh slightly green lemon peel like nuance, and a cucumber fattiness",1.0,,,,,,,,,"Mosciano, Gerard P&F 26, No. 3, 80",2001,
1000292,"['aldehydic','waxy','rose','fresh','orris','orange peel','fatty','peely']",true,waxy aldehydic rose fresh orris orange peel fatty peely,10.0,dipropylene glycol,high,10.0,276.0,,,100.0,,"Luebke, William tgsc",1982,Givaudan Corporation
1000292,"['aldehydic','waxy','citrus','fresh','green','lemon peel','cucumber','fatty']",true,"Waxy, aldehydic, citrus, with a fresh slightly green lemon peel like nuance, and a cucumber fattiness",1.0,,,,,,,,,"Mosciano, Gerard P&F 26, No. 3, 80",2001,
1000301,"['musk','sweet','balsamic','amber','animal']",true,sweet musk balsam amber animal,10.0,dipropylene glycol,medium,10.0,400.0,,,20.0,dipropylene glycol,"Luebke, William tgsc",1986,"Charabot & Co., Inc."
1000311,"['floral','heliotrope','lily','lilac']",true,heliotrope lily lilac,1.0,dipropylene glycol,,,,,,,,,,
1000321,"['sweet','pineapple','tropical','fruity','candy','waxy']",false,sweet pineapple tropical fruity candy waxy,100.0,,,,251.0,,,100.0,,,,
1000322,"['fruity','sweet','pineapple','tropical','candy','waxy']",true,sweet pineapple tropical fruity candy waxy,100.0,,,,251.0,,,100.0,,"Luebke, William tgsc",1985,Givaudan Corporation
1000322,"['fruity','sweet','pineapple','waxy','apple','green']",true,"Sweet, fruity, pineapple, waxy, apple and green",,,,,,,,,,"Mosciano, Gerard P&F 15, No. 3, 51",1990,
1000331,"['waxy','aldehydic','rose','mandarin','citrus','soapy','fatty']",false,waxy aldehydic rose mandarin citrus soapy fatty,1.0,dipropylene glycol,high,1.0,293.0,,,100.0,,,,
1000332,"['aldehydic','waxy','rose','mandarin','citrus','soapy','fatty']",true,waxy aldehydic rose mandarin citrus soapy fatty,1.0,dipropylene glycol,high,1.0,380.0,,,100.0,,"Luebke, William tgsc",1982,International Flavors & Fragrances Inc.
1000332,"['aldehydic','citrus','waxy','fatty','green','soapy']",true,"Citrus, waxy, fatty and aldehydic with a green, soapy nuance",,,,,,,,,,"Mosciano, Gerard P&F 22, No. 5, 67",1997,
1000341,"['floral','green','fruity','natural','waxy','jasmin','tropical','banana']",true,floral green fruity natural waxy jasmin tropical banana,100.0,,,,112.0,,,100.0,,"Luebke, William tgsc",1992,"Bedoukian Research, Inc."
1000361,"['floral','oily','jasmin','coconut','milky','dairy']",true,oily jasmin coconut milky dairy floral,10.0,dipropylene glycol,medium,10.0,36.0,,,100.0,,"Luebke, William tgsc",1992,"Bedoukian Research, Inc."
1000371,"['aldehydic','soapy','waxy','citrus','green','floral']",true,soapy waxy aldehydic citrus green floral,10.0,dipropylene glycol,high,10.0,368.0,,,100.0,,"Luebke, William tgsc",1983,Berje Inc.
1000371,"['aldehydic','soapy','waxy','citrus','orange rind','floral']",true,"Soapy, waxy, aldehydic, citrus, orange rindy with floral nuances",2.0,,,,,,,,,"Mosciano, Gerard P&F 23, No. 4, 33",1998,
1000381,['odorless'],false,odorless very slight alcoholic,100.0,,,,,,,,,,,
1000382,['odorless'],false,odorless very slight alcoholic,100.0,,,,,,,,,"Luebke, William tgsc",1981,Berje Inc.
1000391,"['floral','creamy','fruity','peach','plum','dairy','coconut','buttery']",true,creamy fruity peach plum dairy coconut buttery,100.0,,,,340.0,,,100.0,,"Luebke, William tgsc",1986,Firmenich Inc.
1000391,"['floral','creamy','sweet','fruity','peach','milky','dairy','coconut']",true,"Creamy, sweet, fruity peach, milky, dairy with a coconut nuance",,,,,,,,,,"Mosciano, Gerard P&F 18, No. 1, 43",1993,
1000401,"['floral','jasmin','gardenia','tuberose']",true,floral jasmin gardenia tuberose,100.0,,,,400.0,,,100.0,,"Luebke, William tgsc",1988,Emery Chemicals
1000411,"['aldehydic','fresh','amber','mossy','citrus','tuberose','metallic','waxy','coumarinic']",true,fresh amber aldehydic moss citrus tuberose metallic waxy coumarinic,1.0,dipropylene glycol,high,1.0,388.0,,,100.0,,"Luebke, William tgsc",1984,Givaudan Corporation
1000411,"['aldehydic','gassy','metallic','waxy','coumarinic','citrus']",true,"Gassy, diffusive, metallic, waxy, with coumarin and citrus nuances",,,,,,,,,,"Mosciano, Gerard P&F 19, No. 2, 55",1994,
1000412,"['aldehydic','fresh','amber','mossy','citrus','tuberose','metallic','waxy','coumarinic']",true,fresh amber aldehydic moss citrus tuberose metallic waxy coumarinic,1.0,dipropylene glycol,high,1.0,388.0,,,100.0,,"Luebke, William tgsc",1984,Givaudan Corporation
1000412,"['aldehydic','gassy','metallic','waxy','coumarinic','citrus']",true,"Gassy, diffusive, metallic, waxy, with coumarin and citrus nuances",,,,,,,,,,"Mosciano, Gerard P&F 19, No. 2, 55",1994,
1000421,"['chamomile','herbal','celery','lovage','sassafras','jasmin']",false,chamomile herbal celery lovage sassafras jasmin,100.0,,,,,,,,,,,
1000431,"['balsamic','powdery','cinnamyl','sweet','storax','cinnamon']",true,balsamic powdery cinnamyl sweet storax cinnamon,100.0,,,,112.0,,,100.0,,"Luebke, William tgsc",1987,Emery Chemicals
1000441,['odorless'],false,odorless,100.0,,,,,,,,,,,
1000481,"['floral','sweet','lily','muguet','rose','aldehydic','lychee','waxy']",true,sweet lily muguet rose aldehydic lychee waxy,100.0,,,,400.0,,,100.0,,"Luebke, William tgsc",1995,International Flavors & Fragrances Inc.
1000491,"['aldehydic','lily','green','fresh','waxy','woody']",true,aldehydic lily green fresh waxy woody,100.0,,,,184.0,,,100.0,,"Luebke, William tgsc",1989,Quest International
1000511,"['alcoholic','ethereal','medicinal']",true,strong alcoholic ethereal medical,100.0,,,,,,1.0,100.0,,,,
1000531,"['coconut','creamy','waxy','sweet','buttery','oily']",true,coconut creamy waxy sweet buttery oily,100.0,,,,309.0,,,100.0,,"Luebke, William tgsc",1982,Givaudan Corporation
1000531,"['coconut','sweet','creamy','fatty','oily','buttery']",true,"Sweet, creamy, coconut, fatty with oily buttery nuances",,,,,,,,,,"Mosciano, Gerard P&F 17, No. 1, 41",1992,
1000532,"['coconut','creamy','waxy','sweet','buttery','oily']",true,coconut creamy waxy sweet buttery oily,100.0,,,,309.0,,,100.0,,"Luebke, William tgsc",1982,Givaudan Corporation
1000532,"['coconut','sweet','creamy','fatty','oily','buttery']",true,"Sweet, creamy, coconut, fatty with oily buttery nuances",,,,,,,,,,"Mosciano, Gerard P&F 17, No. 1, 41",1992,
1000591,"['waxy','soapy','aldehydic','leathery','musty','citrus','green']",false,waxy soapy aldehydic leathery musty citrus green,100.0,,,,,,,,,,,
1000592,"['floral','waxy','soapy','aldehydic','leathery','musty','citrus','green']",true,waxy soapy aldehydic leathery musty citrus green,100.0,,,,24.0,,,100.0,,"Luebke, William tgsc",1982,International Flavors & Fragrances Inc.
1000592,"['floral','fresh','fatty','waxy','soapy','aldehydic','citrus','lemon','lime','orange','rose','green','woody']",true,"Fresh fatty, waxy, soapy, aldehydic citrus with lemon, lime and orange nuances. It has rosy and green woody notes",1.0,,,,,,,,,"Mosciano, Gerard P&F 25, No. 6, 26",2000,
1000601,"['musk','woody','amber']",true,"musky, woody, and ambery notes",100.0,,,,,,,,,,,
1000631,"['fruity','sweet','apple','raspberry','green','banana']",true,sweet fruity apple raspberry green banana,100.0,,,,64.0,,,100.0,,"Luebke, William tgsc",1989,Elan Inc.
1000631,"['fruity','sweet','apple','green']",true,"Sweet, fruity, apple and green",,,,,,,,,,"Mosciano, Gerard P&F 15, No. 2, 69",1990,
1000691,['odorless'],false,odorless,100.0,,,,,,,,,,,
1000701,"['fruity','sweet','apple','pineapple','green','tropical']",true,sweet fruity apple pineapple green tropical,10.0,dipropylene glycol,high,10.0,4.0,,,,,"Luebke, William tgsc",1985,"Fritzsche Dodge & Olcott, Inc."
1000701,"['fruity','sweet','acidic','pineapple','apple','green','berry','tropical']",true,"Sweet, fruity, acidic, pineapple, apple, green, berry and tropical",,,,,,,,,,"Mosciano, Gerard P&F 23, No. 2, 43",1998,
1000731,"['fruity','sweet','pineapple','tropical','ethereal','rummy','arrack','fatty','cognac']",true,sweet fruity pineapple tropical ethereal rum arrack fatty cognac,10.0,dipropylene glycol,high,10.0,,,1.0,100.0,,"Luebke, William tgsc",1986,Givaudan Corporation
1000731,"['fruity','sweet','estery','juicy','cognac','pineapple']",true,"Sweet, fruity, estry, juicy, caproate-like, pineapple",,,,,,,,,,"Mosciano, Gerard P&F 18, No. 2, 38",1993,
1000751,"['fruity','sweet','ethereal','alcoholic','fusel','rummy']",true,sweet ethereal fruity alcoholic fusel rummy,10.0,dipropylene glycol,high,10.0,4.0,,,100.0,,,,
1000751,"['fruity','sweet','ethereal','pungent','alcoholic','fusel','rummy']",true,"Sweet, etherial and fruity with pungent, alcoholic, fusel and rummy nuances",,,,,,,,,,"Mosciano, Gerard P&F 22, No. 2, 69",1997,
1000801,"['fruity','peach','floral','jasmin','lactonic']",true,light peach fruity floral jasmin lactonic,10.0,dipropylene glycol,medium,10.0,84.0,,,100.0,,,,
1000811,"['floral','fresh','sweet','lily','citronella']",true,fresh floral sweet lily citronella oil,100.0,,,,400.0,,,100.0,,,,
1000821,"['fruity','peach','creamy','fatty','lactonic','apricot','ketonic','coconut']",false,fruity peach creamy fatty lactonic apricot ketonic coconut,100.0,,,,338.0,,,100.0,,,,
1000822,"['fruity','peach','creamy','fatty','lactonic','apricot','ketonic','coconut']",true,fruity peach creamy fatty lactonic apricot ketonic coconut,100.0,,,,338.0,,,100.0,,"Luebke, William tgsc",1981,Berje Inc.
1000822,"['fruity','creamy','fatty','coconut','peach','lactonic','ketonic']",true,"Creamy, fatty, fruity, coconut, peach, Iactonic, ketonic and fruity",,,,,,,,,,"Mosciano, Gerard P&F 23, No. 2, 43",1998,
1000831,"['musk','sweet','amber','powdery','dry','fruity']",true,strong sweet musk amber powdery dry fruity,10.0,dipropylene glycol,medium,10.0,384.0,,,10.0,dipropylene glycol,"Luebke, William tgsc",1985,PFW Aroma Chemicals
1000881,"['fruity','floral','berry','plum','currant black currant','honey','rose','tobacco']",true,fruity floral berry plum blackcurrant honey rose tobacco,1.0,dipropylene glycol,high,1.0,264.0,,,100.0,,"Luebke, William tgsc",1987,Firmenich Inc.
1000881,"['fruity','woody','berry','minty']",true,"Fruity, woody and berry with a minty note",,,,,,,,,,"Mosciano, Gerard P&F 16, No. 2, 49",1991,
1000911,"['citrus','natural','lemon']",true,citrus natural lemon,10.0,dipropylene glycol,medium,10.0,192.0,,,100.0,,"Luebke, William tgsc",1998,International Flavors & Fragrances Inc.
1000921,"['woody','sharp','dry','cedar','peanut','waxy','vetiver']",true,sharp dry woody cedar peanut waxy vetiver,100.0,,,,400.0,,,100.0,,"Luebke, William tgsc",1986,International Flavors & Fragrances Inc.
1000931,"['caramellic','sweet','cotton candy','strawberry','sugar brown sugar']",true,sweet cotton candy caramel strawberry sugar,1.0,propylene glycol,high,1.0,320.0,,,20.0,dipropylene glycol,"Luebke, William tgsc",1995,CA Aromatics Company Inc.
1000931,"['caramellic','sweet','burnt','brown','cotton candy','savory']",true,"Sweet, slightly burnt brown caramellic, cotton candy with a savory nuance",0.1,,,,,,,,,"Mosciano, Gerard P&F 21, No. 5, 49",1996,
1000941,"['floral','sweet','balsamic']",true,sweet floral balsam,100.0,,,,,,,,,,,
1000961,"['woody','ambergris','cedar','dry','tobacco','musk']",true,ambergris woody cedar dry tobacco musk,100.0,,,,284.0,,,100.0,,"Luebke, William tgsc",1993,International Flavors & Fragrances Inc.
1000971,"['floral','lily','sweet','green','waxy','tropical','melon']",false,floral lily sweet green waxy tropical melon,100.0,,,,218.0,,,100.0,,,,
1000972,"['floral','lily','sweet','green','waxy','tropical','melon']",true,floral lily sweet green waxy tropical melon,100.0,,,,218.0,,,100.0,,"Luebke, William tgsc",1982,Givaudan Corporation
1000972,"['floral','sweet','green','citrus','melon']",true,Sweet floral perfume-like notes with green citrus and melon undertones,,,,,,,,,,"Mosciano, Gerard P&F 15, No. 2, 69",1990,
1000981,"['amber','sweet','musk','floral','sandalwood']",true,sweet amber musk floral sandalwood,100.0,,,,400.0,,,100.0,,"Luebke, William tgsc",1987,"J. Manheimer, Inc."
1001011,"['floral','sweet','oily','fruity','herbal','jasmin']",true,sweet floral oily fruity herbal jasmin,100.0,,,,256.0,,,100.0,,"Luebke, William tgsc",1981,Givaudan Corporation
1001011,"['floral','sweet','fruity','tropical','green','powdery']",true,"Sweet, floral, fruity, tropical and green with a powdery nuance",,,,,,,,,,"Mosciano, Gerard P&F 22, No. 6, 41",1997,
1001021,"['floral','green','neroli','waxy','fruity','rose']",true,floral green neroli waxy fruity rose,100.0,,,,20.0,,,100.0,,"Luebke, William tgsc",1991,International Flavors & Fragrances Inc.
1001021,"['floral','green','waxy','citrus','fruity']",true,"Floral, green, waxy and citrus with fruity nuances",2.0,,,,,,,,,"Mosciano, Gerard P&F 22, No. 6, 41",1997,
1001051,"['fruity','apple','fresh']",true,apple fresh fruity,100.0,,,,4.0,,,100.0,,,,
1001111,"['woody','cedar','fatty','amber','vetiver']",true,woody cedar fatty amber vetiver acetate,100.0,,,,328.0,,,100.0,,"Luebke, William tgsc",1989,Fragrance Resources Inc.
1001151,"['sweet','anise','licorice','mimosa']",false,sweet anise licorice mimosa,10.0,dipropylene glycol,high,10.0,20.0,,,100.0,,"Luebke, William tgsc",1995,
1001152,"['licorice','sweet','anise','mimosa']",true,sweet anise licorice mimosa,10.0,dipropylene glycol,high,10.0,20.0,,,100.0,,"Luebke, William tgsc",1995,CA Aromatics Company Inc.
1001152,"['licorice','sweet','anise','medicinal']",true,"Sweet, anise, licorice and medicinal",,,,,,,,,,"Mosciano, Gerard P&F 22, No. 3, 47",1997,
1001171,"['woody','amber','tobacco','sandalwood','fresh','herbal','patchouli']",true,woody amber tobacco sandalwood fresh linalyl acetate patchouli,100.0,,,,96.0,,,100.0,,"Luebke, William tgsc",1983,International Flavors & Fragrances Inc.
1001221,"['green','leafy','vegetable']",true,green leafy vegetable,100.0,,,,,,,,,,,
1001231,"['green','natural','floral','earthy','fungal']",true,natural green floral earthy fungal,10.0,dipropylene glycol,medium,10.0,6.0,,,100.0,,"Luebke, William tgsc",1998,Bush Boake Allen Inc
1001251,"['powdery','sweet','hawthorn','lilac','rose','floral','hyacinth']",true,sweet powdery hawthorn lilac rose floral hyacinth,100.0,,,,82.0,,,100.0,,"Luebke, William tgsc",1983,Givaudan Corporation
1001251,"['powdery','sweet','creamy','balsamic','coumarinic','lactonic','cherry','licorice']",true,"Sweet, powdery creamy, balsamic, coumarin and slightly lactonic, cherry and licorice nuance",5.0,,,,,,,,,"Mosciano, Gerard P&F 24, No. 2, 49",1999,
1001271,"['sweet','powdery','mimosa','floral','hawthorn','balsam']",false,sweet powdery mimosa floral hawthorn balsam,100.0,,,,44.0,,,100.0,,,,
1001272,"['anisic','sweet','powdery','mimosa','floral','hawthorn','balsamic']",true,sweet powdery mimosa floral hawthorn balsam,100.0,,,,44.0,,,100.0,,"Luebke, William tgsc",1982,Givaudan Corporation
1001272,"['anisic','sweet','powdery','vanilla','anise','woody','coumarinic','creamy','spicy']",true,"Sweet, powdery, vanilla, anise, woody, coumarin and creamy with a spicy nuance",2.0,,,,,,,,,"Mosciano, Gerard P&F 23, No. 3, 55",1998,
1001291,"['sweet','powdery','balsam','vanilla','fruity','plum','cherry','tonka']",false,sweet powdery balsam vanilla fruity plum cherry tonka,100.0,,,,100.0,,,100.0,,,,
1001292,"['powdery','sweet','balsamic','vanilla','fruity','plum','cherry','tonka']",true,sweet powdery balsam vanilla fruity plum cherry tonka,100.0,,,,100.0,,,100.0,,"Luebke, William tgsc",1982,Givaudan Corporation
1001292,"['powdery','sweet','creamy','spicy','vanilla','cherry','coumarinic','fruity']",true,"Sweet, creamy, powdery, spicy, vanilla, cherry, coumarin, fruity",5.0,,,,,,,,,"Mosciano, Gerard P&F 24, No. 2, 49",1999,
1001331,"['solvent','ethereal','apple','pear']",true,solvent ethereal apple pear,1.0,propylene glycol,high,1.0,,,1.0,100.0,,,,
1001351,"['nutty','hazelnut roasted hazelnut','peanut roasted peanut','popcorn','corn chip','grain toasted grain','nut flesh','peanut butter']",true,nutty roasted hazelnut roasted peanut popcorn corn chip toasted grain nut flesh peanut butter,0.1,dipropylene glycol,high,0.1,21.0,,,100.0,,"Luebke, William tgsc",2017,R C Treatt and Co Ltd
1001361,"['fruity','sweet','apple','pineapple','herbal']",true,sweet fruity apple pineapple herbal,100.0,,,,148.0,,,100.0,,"Luebke, William tgsc",1987,Elan Inc.
1001361,"['fruity','sweet','powdery','musty']",true,"Sweet, fruity and slightly powdery with a musty background",,,,,,,,,,"Mosciano, Gerard P&F 20, No. 1, 31",1995,
1001371,"['woody','cedar','floral','oily','herbal','balsam','green','fruity']",false,woody cedar floral oily herbal balsam green fruity,100.0,,,,8.0,,,100.0,,,,
1001372,"['woody','cedar','floral','oily','herbal','balsamic','green','fruity']",true,woody cedar floral oily herbal balsam green fruity,100.0,,,,8.0,,,100.0,,"Luebke, William tgsc",1988,International Flavors & Fragrances Inc.
1001381,"['fresh','green','leaf','floral','orchid','balsam','fatty']",false,fresh green leaf floral orchid balsam fatty,100.0,,,,,,,,,,,
1001382,"['green','fresh','leafy','floral','orchid','balsamic','fatty']",true,fresh green leafy floral orchid balsamic fatty,100.0,,,,,8.0,,100.0,,"Luebke, William tgsc",1995,"Bedoukian Research, Inc."
1001382,"['green','sweet','oily','floral','spicy','fruity']",true,"Green, sweet, oily, floral, spicy, with fruity undertones",,,,,,,,,,"Mosciano, Gerard P&F 17, No. 5, 127",1992,
1001391,"['woody','cedar','balsamic','pine']",true,woody cedar balsamic pine,100.0,,,,,168.0,,100.0,,"Luebke, William tgsc",1988,SCM Glidco Organics
1001401,"['nutty','earthy','potato chip','popcorn','corn']",true,earthy potato chip nutty popcorn corn,1.0,propylene glycol,,,,,,,,,,
1001401,"['nutty','earthy','musty','potato','corn']",true,"Earthy, nutty, musty, potato and corn-like",2.0,,,,,,,,,"Mosciano, Gerard P&F 23, No. 3, 55",1998,
1001421,"['floral','rose red rose','powdery','spicy','geranium','citrus','leafy']",true,red rose powdery spicy geranium citrus leafy,100.0,,,,208.0,,,100.0,,"Luebke, William tgsc",1987,International Flavors & Fragrances Inc.
1001441,"['musk','geranium','amber']",true,"cashmeran, slightly musky, geranium, and hint of ambery notes",100.0,,,,,,,,,,,
1001451,"['green','fresh','waxy','sweet','vegetable','grassy','sharp']",true,fresh green waxy sweet vegetable grassy sharp,10.0,dipropylene glycol,high,10.0,1.0,,,10.0,dipropylene glycol,"Luebke, William tgsc",1995,"Bedoukian Research, Inc."
1001451,"['green','fresh','fruity','citrus','waxy','melon','vegetable']",true,"Green, diffusive, fresh, fruity, citrus, waxy, melon and vegetable",,,,,,,,,,"Mosciano, Gerard P&F 16, No. 5, 71",1991,
1001452,"['green','fresh','waxy','sweet','vegetable','grassy','sharp']",true,fresh green waxy sweet vegetable grassy sharp,10.0,dipropylene glycol,high,10.0,1.0,,,10.0,dipropylene glycol,"Luebke, William tgsc",1995,"Bedoukian Research, Inc."
1001452,"['green','fresh','fruity','citrus','waxy','melon','vegetable']",true,"Green, diffusive, fresh, fruity, citrus, waxy, melon and vegetable",,,,,,,,,,"Mosciano, Gerard P&F 16, No. 5, 71",1991,
1001471,"['green','fresh','sweet','fruity','banana','apple','grassy']",true,fresh green sweet fruity banana apple grassy,10.0,dipropylene glycol,high,10.0,,,4.0,100.0,,"Luebke, William tgsc",1993,"Bedoukian Research, Inc."
1001471,"['green','fresh','sweet','fruity','apple','pear','melon']",true,"Fresh green sweet fruity with apple, pear and melon nuances",,,,,,,,,,"Mosciano, Gerard P&F 14, No. 6, 47",1989,
1001491,"['fruity','sharp','sweet','bitter','almond','cherry']",true,strong sharp sweet bitter almond cherry,10.0,dipropylene glycol,high,10.0,4.0,,,100.0,,"Luebke, William tgsc",1982,Givaudan Corporation
1001491,"['fruity','almond','powdery','nutty','cherry maraschino cherry']",true,"almond, fruity, powdery, nutty and benzaldehyde-like",,,,,,,,,,"Mosciano, Gerard P&F 19, No. 5, 79",1994,
1001511,"['woody','dry','citrus','herbal']",true,dry woody citrus linalyl and nopyl acetate,100.0,,,,64.0,,,100.0,,"Luebke, William tgsc",1985,PFW Aroma Chemicals
1001531,"['tonka','sweet','coumarinic','coconut','herbal','cinnamon','balsamic']",true,sweet tonka coumarinic coconut herbal cinnamon balsamic,10.0,dipropylene glycol,medium,10.0,228.0,,,100.0,,"Luebke, William tgsc",1987,Elan Inc.
1001531,"['tonka','sweet','creamy','coconut','coumarinic','vanilla','spicy']",true,"Sweet, creamy, coconut, coumarin, vanilla with a slight spice nuance",,,,,,,,,,"Mosciano, Gerard P&F 17, No. 3, 57",1992,
1001541,"['mentholic','fresh','minty','peppermint','woody','camphoreous']",true,fresh mint peppermint woody camphor,100.0,,,,4.0,,,100.0,,"Luebke, William tgsc",1988,Givaudan Corporation
1001541,"['mentholic','cooling','minty','spearmint','camphoreous']",true,"Cooling, minty, mentholic, spearmint-like, with a camphoraceous undernote",,,,,,,,,,"Mosciano, Gerard P&F 17, No. 4, 33",1992,
1001561,"['minty','sweet','wintergreen','floral','spicy','balsamic']",true,sweet wintergreen mint floral spicy balsam,100.0,,,,4.0,,,100.0,,"Luebke, William tgsc",1995,Givaudan Corporation
1001561,"['minty','sweet','wintergreen','tutti frutti','cooling','spicy','balsamic']",true,"Sweet, wintergreen, tutti frutti, cooling, spicy and balsamic",,,,,,,,,,"Mosciano, Gerard P&F 21, No. 1, 33",1996,
