,MolecularWeight,IsomericSMILES,IUPACName,name
2478,246.3,CS(=O)(=O)OCCCCOS(=O)(=O)C,4-methylsulfonyloxybutyl methanesulfonate,busulfan
2480,306.4,CCCCN(CCCC)CCCOC(=O)C1=CC=C(C=C1)N,3-(dibutylamino)propyl 4-aminobenzoate,butacaine
2481,224.26,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,"5-(2-methylpropyl)-5-prop-2-enyl-1,3-diazinane-2,4,6-trione",butalbital
2482,193.24,CCCCOC(=O)C1=CC=C(C=C1)N,butyl 4-aminobenzoate,butyl 4-aminobenzoate
2519,194.19,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,"1,3,7-trimethylpurine-2,6-dione",caffeine
2541,440.5,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,2-ethoxy-3-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]benzimidazole-4-carboxylic acid,candesartan
2554,236.27,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,benzo[b][1]benzazepine-11-carboxamide,carbamazepine
2576,260.33,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,[2-(carbamoyloxymethyl)-2-methylpentyl] N-propan-2-ylcarbamate,carisoprodol
2581,273.71,CC(C1=CC2=C(C=C1)C3=C(N2)C=CC(=C3)Cl)C(=O)O,2-(6-chloro-9H-carbazol-2-yl)propanoic acid,carprofen
2585,406.5,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,1-(9H-carbazol-4-yloxy)-3-[2-(2-methoxyphenoxy)ethylamino]propan-2-ol,carvedilol
2662,381.4,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,4-[5-(4-methylphenyl)-3-(trifluoromethyl)pyrazol-1-yl]benzenesulfonamide,celecoxib
2708,304.2,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,4-[4-[bis(2-chloroethyl)amino]phenyl]butanoic acid,chlorambucil
2713,505.4,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,2-[6-[[amino-[[amino-(4-chloroanilino)methylidene]amino]methylidene]amino]hexyl]-1-[amino-(4-chloroanilino)methylidene]guanidine,chlorhexidine base
2717,273.74,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,"2-(4-chlorophenyl)-3-methyl-1,1-dioxo-1,3-thiazinan-4-one",chlormezanone
2720,295.7,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,"6-chloro-1,1-dioxo-4H-1lambda6,2,4-benzothiadiazine-7-sulfonamide",chlorothiazide
2722,214.04,C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1,"5,7-dichloroquinolin-8-ol",chloroxine
2724,245.66,C1=CC(=CC=C1OCC(COC(=O)N)O)Cl,[3-(4-chlorophenoxy)-2-hydroxypropyl] carbamate,chlorphenesin carbamate
2727,276.74,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,1-(4-chlorophenyl)sulfonyl-3-propylurea,chlorpropamide
2732,338.8,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,2-chloro-5-(1-hydroxy-3-oxo-2H-isoindol-1-yl)benzenesulfonamide,chlorthalidone
2733,169.56,C1=CC2=C(C=C1Cl)NC(=O)O2,"5-chloro-3H-1,3-benzoxazol-2-one",chlorzoxazone
2754,369.5,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,"6-[4-(1-cyclohexyltetrazol-5-yl)butoxy]-3,4-dihydro-1H-quinolin-2-one",cilostazol
2756,252.34,CC1=C(N=CN1)CSCCNC(=NC)NC#N,1-cyano-2-methyl-3-[2-[(5-methyl-1H-imidazol-4-yl)methylsulfanyl]ethyl]guanidine,cimetidine
2762,262.22,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,"1-ethyl-4-oxo-[1,3]dioxolo[4,5-g]cinnoline-3-carboxylic acid",cinoxacin
2763,289.15,CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl,"2-[4-(2,2-dichlorocyclopropyl)phenoxy]-2-methylpropanoic acid",ciprofibrate
2788,305.50,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,5-chloro-7-iodoquinolin-8-ol,clioquinol
2794,473.4,CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl,"N,5-bis(4-chlorophenyl)-3-propan-2-yliminophenazin-2-amine",clofazimine
2796,242.70,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,ethyl 2-(4-chlorophenoxy)-2-methylpropanoate,clofibrate
2797,214.64,CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,2-(4-chlorophenoxy)-2-methylpropanoic acid,clofibric acid
2812,344.8,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,1-[(2-chlorophenyl)-diphenylmethyl]imidazole,clotrimazole
2904,379.9,C1CCC(C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl,"6-chloro-3-(cyclopentylmethyl)-1,1-dioxo-3,4-dihydro-2H-1lambda6,2,4-benzothiadiazine-7-sulfonamide",cyclopenthiazide
2907,261.08,C1CNP(=O)(OC1)N(CCCl)CCCl,"N,N-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine",cyclophosphamide
2942,182.18,CN(C)N=NC1=C(NC=N1)C(=O)N,4-(dimethylaminodiazenyl)-1H-imidazole-5-carboxamide,dacarbazine
2955,248.30,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,4-(4-aminophenyl)sulfonylaniline,dapsone
3019,230.67,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl,"7-chloro-3-methyl-4H-1lambda6,2,4-benzothiadiazine 1,1-dioxide",diazoxide
3025,343.5,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC,2-butoxy-N-[2-(diethylamino)ethyl]quinoline-4-carboxamide,dibucaine
3038,305.2,C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N,"4,5-dichlorobenzene-1,3-disulfonamide",dichlorphenamide
3053,393.35,C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O,2-[bis[2-[bis(carboxymethyl)amino]ethyl]amino]acetic acid,pentetic acid
3059,250.20,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,"5-(2,4-difluorophenyl)-2-hydroxybenzoic acid",diflunisal
3081,129.11,CC1(C(=O)NC(=O)O1)C,"5,5-dimethyl-1,3-oxazolidine-2,4-dione",dimethadione
3108,504.6,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,"2-[[2-[bis(2-hydroxyethyl)amino]-4,8-di(piperidin-1-yl)pyrimido[5,4-d]pyrimidin-6-yl]-(2-hydroxyethyl)amino]ethanol",dipyridamole
3114,339.5,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,4-[di(propan-2-yl)amino]-2-phenyl-2-pyridin-2-ylbutanamide,disopyramide
3117,296.5,CCN(CC)C(=S)SSC(=S)N(CC)CC,"diethylcarbamothioylsulfanyl N,N-diethylcarbamodithioate",disulfiram
3121,144.21,CCCC(CCC)C(=O)O,2-propylpentanoic acid,valproic acid
3132,253.32,C1=CC=C(C=C1)CC(CS)C(=O)NCC(=O)O,2-[(2-benzyl-3-sulfanylpropanoyl)amino]acetic acid,thiorphan
3151,425.9,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,6-chloro-3-[1-[3-(2-oxo-3H-benzimidazol-1-yl)propyl]piperidin-4-yl]-1H-benzimidazol-2-one,domperidone
3168,379.4,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,"3-[1-[4-(4-fluorophenyl)-4-oxobutyl]-3,6-dihydro-2H-pyridin-4-yl]-1H-benzimidazol-2-one",droperidol
3169,236.31,C1CN(CCN1CC(CO)O)C2=CC=CC=C2,"3-(4-phenylpiperazin-1-yl)propane-1,2-diol",dropropizine
3182,254.24,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O,"7-(2,3-dihydroxypropyl)-1,3-dimethylpurine-2,6-dione",dyphylline
3194,274.19,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2,"2-phenyl-1,2-benzoselenazol-3-one",ebselen
3229,320.32,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O,"1-ethyl-6-fluoro-4-oxo-7-piperazin-1-yl-1,8-naphthyridine-3-carboxylic acid",enoxacin
3242,234.25,CC1=CC(=NC(=N1)N2C(=CC(=N2)C)OC)OC,4-methoxy-2-(5-methoxy-3-methylpyrazol-1-yl)-6-methylpyrimidine,epirizole
3276,214.18,C1=CN(C(=N1)[N+](=O)[O-])CC(=O)NCCO,N-(2-hydroxyethyl)-2-(2-nitroimidazol-1-yl)acetamide,etanidazole
3278,303.13,CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,"2-[2,3-dichloro-4-(2-methylidenebutanoyl)phenoxy]acetic acid",ethacrynic acid
3291,141.17,CCC1(CC(=O)NC1=O)C,"3-ethyl-3-methylpyrrolidine-2,5-dione",ethosuximide
3292,204.22,CCN1C(=O)C(NC1=O)C2=CC=CC=C2,"3-ethyl-5-phenylimidazolidine-2,4-dione",ethotoin
3293,217.31,CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C,"6-ethoxy-2,2,4-trimethyl-1H-quinoline",ethoxyquin
3308,287.35,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,"2-(1,8-diethyl-4,9-dihydro-3H-pyrano[3,4-b]indol-1-yl)acetic acid",etodolac
3324,321.33,CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C,[2-(acetyloxymethyl)-4-(2-aminopurin-9-yl)butyl] acetate,famciclovir
3325,337.5,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,"3-[[2-(diaminomethylideneamino)-1,3-thiazol-4-yl]methylsulfanyl]-N'-sulfamoylpropanimidamide",famotidine
3326,377.5,CC(C)C1=C(N(N(C1=O)C2=CC=CC=C2)C)CN(C)C(C)CC3=CC=CC=C3,1-methyl-5-[[methyl(1-phenylpropan-2-yl)amino]methyl]-2-phenyl-4-propan-2-ylpyrazol-3-one,famprofazone
3332,212.24,C1=CC=C(C=C1)C2=CC=C(C=C2)CC(=O)O,2-(4-phenylphenyl)acetic acid,felbinac
3333,384.2,CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,"5-O-ethyl 3-O-methyl 4-(2,3-dichlorophenyl)-2,6-dimethyl-1,4-dihydropyridine-3,5-dicarboxylate",felodipine
3334,299.3,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3,methyl N-(6-phenylsulfanyl-1H-benzimidazol-2-yl)carbamate,fenbendazole
3335,254.28,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCC(=O)O,4-oxo-4-(4-phenylphenyl)butanoic acid,fenbufen
3338,164.24,CCCCC(C1=CC=CC=C1)O,1-phenylpentan-1-ol,fenipentol
3339,360.8,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,propan-2-yl 2-[4-(4-chlorobenzoyl)phenoxy]-2-methylpropanoate,fenofibrate
3357,369.34,CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F,"6,8-difluoro-1-(2-fluoroethyl)-7-(4-methylpiperazin-1-yl)-4-oxoquinoline-3-carboxylic acid",fleroxacin
3365,306.27,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,"2-(2,4-difluorophenyl)-1,3-bis(1,2,4-triazol-1-yl)propan-2-ol",fluconazole
3366,129.09,C1=NC(=O)NC(=C1F)N,6-amino-5-fluoro-1H-pyrimidin-2-one,5-fluorocytosine
3371,281.23,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,2-[3-(trifluoromethyl)anilino]benzoic acid,flufenamic acid
3374,261.25,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,"7-fluoro-12-methyl-4-oxo-1-azatricyclo[7.3.1.05,13]trideca-2,5,7,9(13)-tetraene-3-carboxylic acid",flumequine
3385,130.08,C1=C(C(=O)NC(=O)N1)F,"5-fluoro-1H-pyrimidine-2,4-dione",5-fluorouracil
3394,244.26,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,2-(3-fluoro-4-phenylphenyl)propanoic acid,flurbiprofen
3396,475.6,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,"8-[4,4-bis(4-fluorophenyl)butyl]-1-phenyl-1,3,8-triazaspiro[4.5]decan-4-one",fluspirilene
3397,276.21,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,flutamide
3406,82.10,CC1=CNN=C1,4-methyl-1H-pyrazole,4-methylpyrazole
3418,218.10,C1=CC=C(C(=C1)C(=O)O)OP(=O)(O)O,2-phosphonooxybenzoic acid,fosfosal
3440,330.74,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,4-chloro-2-(furan-2-ylmethylamino)-5-sulfamoylbenzoic acid,furosemide
3446,171.24,C1CCC(CC1)(CC(=O)O)CN,2-[1-(aminomethyl)cyclohexyl]acetic acid,gabapentin
3463,250.33,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,"5-(2,5-dimethylphenoxy)-2,2-dimethylpentanoic acid",gemfibrozil
3475,323.4,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2,"1-(3,3a,4,5,6,6a-hexahydro-1H-cyclopenta[c]pyrrol-2-yl)-3-(4-methylphenyl)sulfonylurea",gliclazide
3476,490.6,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,4-ethyl-3-methyl-N-[2-[4-[(4-methylcyclohexyl)carbamoylsulfamoyl]phenyl]ethyl]-5-oxo-2H-pyrrole-1-carboxamide,glimepiride
3478,445.5,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,N-[2-[4-(cyclohexylcarbamoylsulfamoyl)phenyl]ethyl]-5-methylpyrazine-2-carboxamide,glipizide
3488,494.0,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,5-chloro-N-[2-[4-(cyclohexylcarbamoylsulfamoyl)phenyl]ethyl]-2-methoxybenzamide,glyburide
3516,198.22,COC1=CC=CC=C1OCC(CO)O,"3-(2-methoxyphenoxy)propane-1,2-diol",guaifenesin
3559,375.9,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,haloperidol
3561,361.4,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC#CI,"1,2,4-trichloro-5-(3-iodoprop-2-ynoxy)benzene",haloprogin
3598,406.9,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,"3,4,6-trichloro-2-[(2,3,5-trichloro-6-hydroxyphenyl)methyl]phenol",hexachlorophene
3606,270.4,CCC(C1=CC=C(C=C1)O)C(CC)C2=CC=C(C=C2)O,4-[4-(4-hydroxyphenyl)hexan-3-yl]phenol,hexestrol
3607,339.6,CCCCC(CC)CN1CC(CN(C1)CC(CC)CCCC)(C)N,"1,3-bis(2-ethylhexyl)-5-methyl-1,3-diazinan-5-amine",hexetidine
3634,356.5,CCN(CC)CCNC1=C2C(=C(C=C1)CO)SC3=CC=CC=C3C2=O,1-[2-(diethylamino)ethylamino]-4-(hydroxymethyl)thioxanthen-9-one,hycanthone
3639,297.7,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,"6-chloro-1,1-dioxo-3,4-dihydro-2H-1lambda6,2,4-benzothiadiazine-7-sulfonamide",hydrochlorothiazide
3647,331.3,C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1,"1,1-dioxo-6-(trifluoromethyl)-3,4-dihydro-2H-1lambda6,2,4-benzothiadiazine-7-sulfonamide",hydroflumethiazide
3671,230.31,CC(C)C1=NN2C=CC=CC2=C1C(=O)C(C)C,"2-methyl-1-(2-propan-2-ylpyrazolo[1,5-a]pyridin-3-yl)propan-1-one",ibudilast
3686,338.4,CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO,"2-(10-hydroxydecyl)-5,6-dimethoxy-3-methylcyclohexa-2,5-diene-1,4-dione",idebenone
3690,261.08,C1CN(P(=O)(OC1)NCCCl)CCCl,"N,3-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine",ifosfamide
3698,187.20,C1=CN=CC=C1C2=CNC(=O)C(=C2)N,3-amino-5-pyridin-4-yl-1H-pyridin-2-one,amrinone
3702,365.8,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,"4-chloro-N-(2-methyl-2,3-dihydroindol-1-yl)-3-sulfamoylbenzamide",indapamide
3715,357.8,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetic acid,indomethacin
3718,281.30,CC(C1=CC=C(C=C1)N2CC3=CC=CC=C3C2=O)C(=O)O,2-[4-(3-oxo-1H-isoindol-2-yl)phenyl]propanoic acid,indoprofen
