Sr.No.,Name,SMILES,CAS No,Mol. Wt.,Mol. Formula,PubChem,ZINC
16,Kresoxim-Methyl,CC1=CC=CC=C1OCC2=CC=CC=C2/C(=NOC)/C(=O)OC,143390-89-0,127.60,C18H19NO4,6112114,ZINC900704
17,Caffeoylmalic Acid,C1=CC(=C(C=C1/C=C/C(=O)OC(CC(=O)O)C(=O)O)O)O,53755-04-7,368.03,C13H12O8,6124299,ZINC1531858
18,Diflufenzopyr,C/C(=NNC(=O)NC1=CC(=CC(=C1)F)F)/C2=C(C=CC=N2)C(=O)O,109293-97-2,261.44,C15H12F2N4O3,6125184,ZINC13827811
19,Cyhexatin,C1CCC(CC1)[Sn](C2CCCCC2)C3CCCCC3.O,13121-70-5,263.20,C18H34OSn,6327054,ZINC169876587
20,Tellurium,[Te],13494-80-9,127.60,Te,6327182,
21,Triphenyltin hydroxide,C1=CC=C(C=C1)[Sn](C2=CC=CC=C2)C3=CC=CC=C3.O,76-87-9,368.03,C18H16OSn,6327657,ZINC169876287
22,Bismuth oxychloride,O=[Bi].Cl,7787-59-9,261.44,BiOCl,6328152,
23,Carboxymethylcellulose sodium,CC(=O)O.C(C(C(C(C(C=O)O)O)O)O)O.[Na],9004-32-4,263.20,C8H16NaO8,6328154,
24,Fosetyl-al,CCOP(=O)=O.CCOP(=O)=O.CCOP(=O)=O.[Al+3],39148-24-8,351.08,C6H15AlO9P3+3,6328269,
25,Versene CA,C(C[NH+](CC(=O)[O-])CC(=O)[O-])[NH+](CC(=O)[O-])CC(=O)[O-].O.[Na+].[Na+].[Ca+2],_,394.30,C10H16CaN2Na2O9+2,6335628,
26,Disodium fumarate,C(=C/C(=O)[O-])C(=O)[O-].[Na+].[Na+],17013-01-3,160.04,C4H2Na2O4,6364607,
27,CYCLIZINE HCl,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=CC=C3.Cl,303-25-3,302.84,C18H23ClN2,6420019,
28,Pyraclostrobin,COC(=O)N(C1=CC=CC=C1COC2=NN(C=C2)C3=CC=C(C=C3)Cl)OC,175013-18-0,387.82,C19H18ClN3O4,6422843,ZINC2511853
29,Methyl abietate,CC(C)C1=CC2=CCC3C(C2CC1)(CCCC3(C)C(=O)OC)C,127-25-3,316.48,C21H32O2,173058,ZINC2162184
30,Ammonium hydrogen tartrate,C(C(C(=O)[O-])O)(C(=O)O)O.[NH4+],3095-65-6,167.12,C4H9NO6,6432315,
31,Chlordiazepoxide,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,58-25-3,299.75,C16H14ClN3O,2712,ZINC19632917
32,"19-Norpregn-5(10)-en-20-yn-3-one, 17-hydroxy-, (17alpha)-",CC12CCC3C(C1CC[C@@]2(C#C)O)CCC4=C3CCC(=O)C4,_,298.42,C20H26O2,6432650,
33,Abamectin,CCC(C)[C@@H]1[C@H](C=C[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)C)C.C[C@H]1/C=C/C=C/2CO[C@H]3[C@@]2([C@@H](C=C([C@H]3O)C)C(=O)O[C@H]4C[C@@H](C/C=C(/[C@H]1O[C@H]5C[C@@H]([C@H]([C@@H](O5)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O)OC)OC)C)O[C@]7(C4)C=C[C@@H]([C@H](O7)C(C)C)C)O,71751-41-2,1732.13,C49H74O14,6435890,ZINC238808978
34,1-Butyl-5-carboxypentyl 6-decenoate,CCCCC(CCCCC(=O)O)OC(=O)CCCC/C=C/CCC,85392-06-9,340.50,C20H36O4,6441974,
35,"Calcium hydroxide, hydrate",O.[OH-].[OH-].[Ca+2],1332-69-0,92.11,CaH4O3,6451242,
36,Acetoxyvalerenic Acid,C[C@@H]1CC[C@H](C2=C(C[C@H]([C@H]12)OC(=O)C)C)/C=C(C)/C(=O)O,81397-67-3,292.37,C17H24O4,6537490,ZINC17263727
37,Nitrofurantoin,C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],67-20-9,238.16,C8H6N4O5,6604200,ZINC3875368
38,C-Quens,CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)CCC34C)Cl)C)OC(=O)C,_,404.93,C23H29ClO4,2714,ZINC608246
39,Cellothyl,COCC1C(C(C(C(O1)OC)OC)OC)OC2C(C(C(C(O2)CO)OC)O)O,99638-59-2,412.43,C17H32O11,6850753,ZINC38189420
40,Alginic acid,COC1C(C(C(OC1C(=O)O)OC2C(C(C(OC2C(=O)O)OC)O)O)O)O,9005-34-9,398.32,C14H22O13,6850754,
41,Cisaprida,CO[C@H]1CN(CC[C@H]1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F,81098-60-4,465.95,C23H29ClFN3O4,6917698,ZINC3775140
42,(2S)-2-Azaniumyl-3-(1H-indol-3-yl)propanoate,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)[O-])[NH3+],73-22-3,204.23,C11H12N2O2,6923516,ZINC83315
43,Naproxen sodium,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-].[Na+],26159-34-2,229.25,C14H13NaO3,23681059,
44,(R)-Octinoxate,CCCC[C@@H](CC)COC(=O)/C=C/C1=CC=C(C=C1)OC,5466-77-3,290.40,C18H26O3,6993341,ZINC1633887
45,Chloroquine,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,54-05-7,319.87,C18H26ClN3,2719,ZINC19144226
46,CID 9793941,[O-]S(=O)S(=O)[O-].[Ca+2],15512-36-4,168.21,CaO4S2,9793941,
47,Flonicamid,C1=CN=CC(=C1C(F)(F)F)C(=O)NCC#N,158062-67-0,229.16,C9H6F3N3O,9834513,ZINC13827887
48,"Phytonadione, (Z)-",CC1=C(C(=O)C2=CC=CC=C2C1=O)C/C=C(/C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,16033-41-3,450.70,C31H46O2,9846607,ZINC11592578
49,Cyazofamid,CC1=CC=C(C=C1)C2=C(N=C(N2S(=O)(=O)N(C)C)C#N)Cl,120116-88-3,324.79,C13H13ClN4O2S,9862076,ZINC2526846
50,Rivaroxaban,C1COCC(=O)N1C2=CC=C(C=C2)N3C[C@@H](OC3=O)CNC(=O)C4=CC=C(S4)Cl,366789-02-8,435.88,C19H18ClN3O5S,9875401,ZINC3964126
51,Ammonium tetrafluoroborate,[B-](F)(F)(F)F.[NH4+],13826-83-0,104.84,BF4H4N,9964072,
52,"(-)-Menthone 1,2-glycerol ketal",C[C@@H]1CC[C@H](C2(C1)OCC(O2)CO)C(C)C,577746-42-0,228.33,C13H24O3,9964606,ZINC6031000
53,Aluminum oxide,[O-2].[O-2].[O-2].[Al+3].[Al+3],1344-28-1,108.01,Al2O3,9989226,
54,Chlorothiazide,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,58-94-6,295.72,C7H6ClN3O4S2,2720,ZINC3872055
55,1-(2-(4-Morpholinyl)ethyl)-3-(1-naphthoyl) indole,C1COCCN1CCN2C=C(C3=CC=CC=C32)C(=O)C4=CC=CC5=CC=CC=C54,103610-04-4,384.47,C25H24N2O2,10045570,ZINC33848576
56,Calcium Sulfate Hydrate,O.[O-]S(=O)(=O)[O-].[Ca+2],13397-24-5,154.16,CaH2O5S,10130067,
57,Cobalt citrate,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Co+3],_,248.03,C6H5CoO7,10131133,
58,Choline tartrate (1:1),C[N+](C)(C)CCO.C(C(C(=O)[O-])O)(C(=O)O)O,87-67-2,253.25,C5H14NO+,10198924,ZINC3079337
59,Monomenthyl succinate,CC1CCC(C(C1)OC(=O)CCC(=O)O)C(C)C,188709-97-9,256.34,C14H24O4,10199004,ZINC60037124
60,2-(l-Menthoxy)ethanol,C[C@@H]1CC[C@H]([C@@H](C1)OCCO)C(C)C,38618-23-4,200.32,C12H24O2,10219851,ZINC34049883
61,Sodium Tetraborate,B1(OB2OB(OB(O1)O2)[O-])[O-].[Na+].[Na+],12267-73-1,201.22,Na2B4O7,10219853,
62,Amisulbrom,CC1=C(C2=C(N1S(=O)(=O)C3=NN(C=N3)S(=O)(=O)N(C)C)C=C(C=C2)F)Br,348635-87-0,466.31,C13H13BrFN5O4S2,10238657,ZINC38276327
63,Trimethylamine hydrochloride,CN(C)C.Cl,593-81-7,95.57,C3H10ClN,10313079,
64,Chlorphenesin carbamate,C1=CC(=CC=C1OCC(COC(=O)N)O)Cl,886-74-8,245.66,C10H12ClNO4,2724,ZINC136
65,1-Pentyl-3-(1-naphthoyl)indole,CCCCCN1C=C(C2=CC=CC=C21)C(=O)C3=CC=CC4=CC=CC=C43,209414-07-3,341.45,C24H23NO,10382701,ZINC13476531
66,Zinc bromide,[Zn+2].[Br-].[Br-],7699-45-8,225.19,ZnBr2,10421208,
67,1-Butyl-3-(1-naphthoyl)indole,CCCCN1C=C(C2=CC=CC=C21)C(=O)C3=CC=CC4=CC=CC=C43,208987-48-8,327.42,C23H21NO,10471670,ZINC38928174
68,CID 10898559,[CH3-].CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])OC(C)CNC(=O)CC[C@@]4([C@H]([C@@H]5[C@]6([C@@]([C@@H](/C(=C(/C7=N/C(=CC8=N/C(=C(C4=N5)/C)/[C@H](C8(C)C)CCC(=O)N)/[C@H]([C@]7(C)CC(=O)N)CCC(=O)N)C)/[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co+3],13422-55-4,1344.38,C63H91CoN13O14P,10898559,
69,Bacitracin A,CC[C@H](C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)NCCCC[C@@H](C(=O)N[C@@H](C(=O)N1)CCCN)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CSC(=N2)[C@H]([C@@H](C)CC)N)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4,22601-59-8,1422.69,C66H103N17O16S,10909430,
70,(S)-Octinoxate,CCCC[C@H](CC)COC(=O)/C=C/C1=CC=C(C=C1)OC,5466-77-3,290.40,C18H26O3,11044481,ZINC1633887
71,Acesulfame potassium,CC1=CC(=O)[N-]S(=O)(=O)O1.[K+],55589-62-3,201.24,C4H4KNO4S,11074431,
72,Ammonium dithiocarbamate,C(=S)(N)[S-].[NH4+],513-74-6,110.20,CH6N2S2,11083854,
73,Citropten,COC1=CC(=C2C=CC(=O)OC2=C1)OC,487-06-9,206.19,C11H10O4,2775,ZINC57754
74,Fluopicolide,C1=CC(=C(C(=C1)Cl)C(=O)NCC2=C(C=C(C=N2)C(F)(F)F)Cl)Cl,239110-15-7,383.58,C14H8Cl3F3N2O,11159021,ZINC35822503
75,"2-Dodecyl-1,3-propanedithiol",CCCCCCCCCCCCC(CS)CS,_,276.54,C15H32S2,11500088,ZINC136696627
76,"Bis(7-methyloctyl) Cyclohexane-1,2-dicarboxylate",CC(C)CCCCCCOC(=O)C1CCCCC1C(=O)OCCCCCCC(C)C,166412-78-8,424.66,C26H48O4,11524680,ZINC85221284
77,p-Heptylbenzenethiol,CCCCCCCC1=CC=C(C=C1)S,_,208.36,C13H20S,11528583,ZINC116453324
78,CID 11664966,C/C(=NOCC1=CC=CC=C1/C(=NOC)/C(=O)OC)/C2=CC(=CC=C2)C(F)(F)F,141517-21-7,408.37,C20H19F3N2O4,11664966,ZINC143101053
79,Cyclotetraglucose,C1[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O[C@H]3[C@@H]([C@H](O[C@@H]([C@@H]3O)OC[C@@H]4[C@H]([C@@H]([C@H]([C@H](O4)O[C@H]5[C@@H]([C@H](O[C@@H]([C@@H]5O)O1)CO)O)O)O)O)CO)O)O)O)O,159640-28-5,648.56,C24H40O20,11686063,ZINC169601255
80,Pyrasulfotole,CC1=C(C(=O)N(N1)C)C(=O)C2=C(C=C(C=C2)C(F)(F)F)S(=O)(=O)C,365400-11-9,362.32,C14H13F3N2O4S,11693711,ZINC36519702
81,Strychnine(1+),C1C[NH+]2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75,1421-86-9,335.42,C21H22N2O2,11859396,ZINC119434
82,Sodium;gold(1+);hydron;2-sulfidobutanedioate,[H+].C(C(C(=O)[O-])[S-])C(=O)[O-].[Na+].[Au+],12244-57-4,368.09,C4H3AuNa2O4S,11954225,
83,Clioquinol,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,130-26-7,305.50,C9H5ClINO,2788,ZINC6409735
84,Prohexadione-Calcium,CCC(=C1C(=O)CC(CC1=O)C(=O)[O-])[O-].[Ca+2],127277-53-6,250.26,C10H10CaO5,12001831,
85,Propoxycarbazone-sodium,CCCOC1=NN(C(=O)N1C)C(=O)[N-]S(=O)(=O)C2=CC=CC=C2C(=O)OC.[Na+],181274-15-7,420.37,C15H17N4NaO7S,12056759,
86,Saccharin potassium,C1=CC=C2C(=C1)C(=O)[N-]S2(=O)=O.[K+],10332-51-1,221.27,C7H4KNO3S,12193862,
87,(+)-Pentazocine,C[C@@H]1[C@@H]2CC3=C([C@]1(CCN2CC=C(C)C)C)C=C(C=C3)O,7361-76-4,285.42,C19H27NO,12259685,ZINC2015833
88,Endrin,C1[C@@H]2[C@@H]3[C@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,72-20-8,380.91,C12H8Cl6O,12358480,ZINC100066759
89,Cannabicyclohexanol,CCCCCCCC(C)(C)C1=CC(=C(C=C1)[C@@H]2CCC[C@@H](C2)O)O,70434-92-3,332.52,C22H36O2,12788231,ZINC64857817
90,Calcium 5'-guanylate,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])[O-])O)O)NC(=NC2=O)N.[Ca+2],38966-30-2,401.28,C10H12CaN5O8P,135565649,
91,Deltamethrin,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Br)Br)C,52918-63-5,505.20,C22H19Br2NO3,40585,ZINC1532094
92,Carbon monoxide,[C-]#[O+],630-08-0,28.01,CO,281,
93,Clotrimazole,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,23593-75-1,344.84,C22H17ClN2,2812,ZINC3807804
94,Cadmium tetrafluoroborate,[B-](F)(F)(F)F.[B-](F)(F)(F)F.[Cd+2],14486-19-2,286.02,B2CdF8,12886773,
95,Erythrosine,C1=CC=C2C(=C1)C(=O)OC23C4=CC(=C(C(=C4OC5=C(C(=C(C=C35)I)[O-])I)I)[O-])I.[Na+].[Na+],16423-68-0,879.86,C20H8I4O5,12961638,ZINC8214556
96,Sulfamethazine sodium,CC1=CC(=NC(=N1)[N-]S(=O)(=O)C2=CC=C(C=C2)N)C.[Na+],1981-58-4,300.31,C12H13N4NaO2S,13456556,
97,Cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl,50-18-0,261.09,C7H15Cl2N2O2P,2907,ZINC155694
98,Calcium diascorbate,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O.C([C@@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O.[Ca+2],5743-27-1,390.31,C12H14CaO12,13788048,
99,Cellulose,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,9004-34-6,370.35,C12H22O11,16211032,ZINC4097113
100,Secobarbital sodium,CCCC(C)C1(C(=O)NC(=O)[N-]C1=O)CC=C.[Na+],309-43-3,260.26,C12H18N2O3,14148199,ZINC3874950
101,Ferric 1-glycerophosphate,C(C(COP(=O)([O-])[O-])O)O.C(C(COP(=O)([O-])[O-])O)O.C(C(COP(=O)([O-])[O-])O)O.[Fe+3].[Fe+3],1301-70-8,621.86,C9H21Fe2O18P3,14208876,
102,Sodium 4-Aminophenylarsonate,C1=CC(=CC=C1N)[As](=O)([O-])[O-].[Na+].[Na+],127-85-5,261.02,C6H7AsNNaO3,14700088,
103,Dehpa,CCCCC(CC)COP(=O)([O-])OCC(CC)CCCC,_,321.41,C16H34O4P-,15302585,
104,Acedoxin,C[C@@H]1[C@@H]([C@H](C[C@H](O1)O[C@H]2[C@H](O[C@@H](C[C@@H]2O)O[C@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@@]5([C@@H](C4)CC[C@H]6[C@@H]5CC[C@]7([C@@]6(CC[C@H]7C8=CC(=O)OC8)O)C)C)C)C)O)O,_,764.94,C41H64O13,15558252,
105,Cyclothiazide,C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl,2259-96-3,389.88,C14H16ClN3O4S2,2910,ZINC100036904
106,Tofranil,C[NH+](C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31.[Cl-],_,316.87,C19H25ClN2,15893898,
107,Morphine sulfate,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O.OS(=O)(=O)O,64-31-3,668.75,C34H40N2O10S,16051935,
108,Potassium metaphosphate,[O-]P(=O)=O.[K+],7790-53-6,118.07,KO3P,16133895,
109,Magnesium hydrogen phosphate trihydrate,O.O.O.OP(=O)([O-])[O-].[Mg+2],7782-75-4,174.33,H7MgO7P,16204530,
110,Quinine monohydrochloride dihydrate,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O.O.O.Cl,6119-47-7,396.91,C20H29ClN2O4,16211283,
111,CID 16211544,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C(=O)[O-])O)O)O)O)O)O.C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C(=O)[O-])O)O)O)O)O)O.[Ca+2],110638-68-1,754.65,C12H22O12,16211544,ZINC4215172
112,Cypermethrin,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,52315-07-8,416.30,C22H19Cl2NO3,2912,ZINC1996306
113,Quinine sulfate dihydrate,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O.COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O.O.O.OS(=O)(=O)O,6119-70-6,782.94,C40H58N4O12S,16211610,
114,Oxymetholone,CC12CCC3C(C1CCC2(C)O)CCC4C3(CC(=CO)C(=O)C4)C,434-07-1,332.48,C21H32O3,5281034,ZINC118912450
115,"Ricinoleic acid, monosodium salt, (+)-",CCCCCCC(C/C=C/CCCCCCCC(=O)O)O.[Na],108321-51-3,321.45,C18H33NaO3,16219928,
116,Phenylmercuric acetate,CC(=O)O[Hg]C1=CC=CC=C1,62-38-4,336.74,C8H8HgO2,16682730,
117,Bismuth subsalicylate,C1=CC=C2C(=C1)C(=O)O[Bi]O2.O,14882-18-9,363.10,C7H6BiO4,16682734,
118,Cryolite,F[Al-3](F)(F)(F)(F)F.[Na+].[Na+].[Na+],15096-52-3,209.94,Na3AlF6,16693908,
119,Tin indium oxide,O.[In].[Sn],_,251.53,H2InOSn,16727373,
120,Monosodium aurothiomalate,C(C(C(=O)[O-])[S-])C(=O)O.[Na+].[Au+],12244-57-4,368.09,C4H3AuNa2O4S,16760302,
121,Potassium gluconate,C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O.[K+],299-27-4,234.25,C6H11KO7,16760467,
122,Chlorthal-dimethyl,COC(=O)C1=C(C(=C(C(=C1Cl)Cl)C(=O)OC)Cl)Cl,1861-32-1,331.96,C10H6Cl4O4,2943,ZINC156678
123,SodiuM L-GlutaMate Monohydrate,C(CC(=O)[O-])[C@@H](C(=O)[O-])N.O.[Na+].[Na+],6106-04--3,209.11,C5H9NNa2O5,18601051,
124,Alitame hydrate,C[C@H](C(=O)NC1C(SC1(C)C)(C)C)NC(=O)[C@H](CC(=O)O)N.C[C@H](C(=O)NC1C(SC1(C)C)(C)C)NC(=O)[C@H](CC(=O)O)N.O.O.O.O.O,99016-42-9,752.94,C28H60N6O13S2,20055408,
125,L-Cystine dihydrochloride,C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N.Cl.Cl,30925--07-6,313.22,C6H14Cl2N2O4S2,21121987,
126,Hydromagnesite,C(=O)(O)O.[Mg+2],14476-12-1,86.33,CH2MgO3+2,21917310,
127,Strychnine sulfate,C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75.C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75.OS(=O)(=O)O,60-41-3,766.90,C21H22N2O2,22833295,ZINC119434
128,Dapsone,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,80-08-0,248.30,C12H12N2O2S,2955,ZINC6310
129,Calcium 5'-inosinate,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])[O-])O)O.[Ca+2],3387-37-9,386.27,C10H11CaN4O8P,135565141,
130,Dipotassium 5'-guanylate,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])[O-])O)O)NC(=NC2=O)N.[K+].[K+],3254-39-5,439.40,C10H12K2N5O8P,135565913,
131,Dipotassium 5'-inosinate,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])[O-])O)O.[K+].[K+],20262-26-4,424.39,C10H11K2N4O8P,135564569,
132,"L-Ascorbic acid, sodium salt",C(C(C1C(=C(C(=O)O1)O)[O-])O)O.[Na+],7317-67-1,198.11,C6H7NaO6,23424000,
133,Methiodal sodium,C(S(=O)(=O)[O-])I.[Na+],126-31-8,243.98,CH2INaO3S,23662381,
134,Monosodium methanearsonate,C[As](=O)(O)[O-].[Na+],2163-80-6,161.95,CH4AsNaO3,23664719,
135,Potassium iodate,[O-]I(=O)=O.[K+],7758-05--6,214.00,KIO3,23665710,
136,Nonivamide,CCCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,2444-46-4,293.40,C17H27NO3,2998,ZINC1697652
137,Sodium lactate,CC(C(=O)[O-])O.[Na+],72-17-3,112.06,C3H5NaO3,23666456,
138,Sodium ascorbate,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O.[Na+],134-03-2,198.11,C6H7O6Na,23667548,
139,Sodium bromate,[O-]Br(=O)=O.[Na+],7789-38-0,150.89,NaBrO3,23668195,
140,Fenaminosulf,CN(C)C1=CC=C(C=C1)N=NS(=O)(=O)[O-].[Na+],140-56-7,251.24,C8H10N3NaO3S,23668198,
141,Olympus,CCCOC1=NN(C(=O)N1C)/C(=N/S(=O)(=O)C2=CC=CC=C2C(=O)OC)/[O-].[Na+],181274-15-7,420.37,C15H17N4NaO7S,23670896,
142,Potassium lactate,CC(C(=O)[O-])O.[K+],996-31-6,128.17,C3H5KO3,23671663,
143,Monosodium phosphate,OP(=O)(O)[O-].[Na+],7558-80-7,119.98,NaH2PO4,23672064,
144,Monosodium glutamate,C(CC(=O)O)[C@@H](C(=O)[O-])N.[Na+],142-47-2,169.11,C5H8NNaO4,23672308,
145,Diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,439-14-5,284.74,C16H13ClN2O,3016,ZINC6427
146,Flucarbazon-sodium,CN1C(=NN(C1=O)C(=O)[N-]S(=O)(=O)C2=CC=CC=C2OC(F)(F)F)OC.[Na+],181274-17-9,418.28,C12H10F3N4NaO6S,12056760,
147,Potassium bromate,[O-]Br(=O)=O.[K+],7758-01--2,167.00,KBrO3,23673461,
148,Indomethacin sodium,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)[O-].[Na+],7681-54-1,379.77,C19H15ClNNaO4,23675763,
149,Pentobarbital sodium,CCCC(C)C1(C(=O)NC(=NC1=O)[O-])CC.[Na+],57-33-0,248.25,C11H17N2NaO3,23676152,
150,Penicillin V potassium,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)COC3=CC=CC=C3)C(=O)[O-])C.[K+],132-98-9,388.48,C16H18N2O5S.K,23676814,
