"","Stimulus","Experiment","CIDs","Concentration","Ratio","Solvent"
"35",35,"keller2016","60999",0.001,"1/1000","paraffin oil"
"36",36,"keller2016","60999",1e-05,"1/100000","paraffin oil"
"37",37,"keller2016","7601",1e-05,"1/100000","paraffin oil"
"38",38,"keller2016","7601",0.001,"1/1000","paraffin oil"
"39",39,"keller2016","5541",0.001,"1/1000","paraffin oil"
"40",40,"keller2016","5541",0.1,"1/10","paraffin oil"
"41",41,"keller2016","7632",0.001,"1/1000","paraffin oil"
"42",42,"keller2016","7632",1e-05,"1/100000","paraffin oil"
"43",43,"keller2016","7635",0.001,"1/1000","paraffin oil"
"44",44,"keller2016","7635",1e-05,"1/100000","paraffin oil"
"45",45,"keller2016","637758",0.001,"1/1000","paraffin oil"
"46",46,"keller2016","637758",1e-05,"1/100000","paraffin oil"
"47",47,"keller2016","7654",0.001,"1/1000","paraffin oil"
"48",48,"keller2016","7654",1e-05,"1/100000","paraffin oil"
"49",49,"keller2016","7657",0.001,"1/1000","paraffin oil"
"50",50,"keller2016","7657",0.1,"1/10","paraffin oil"
"51",51,"keller2016","61005",0.1,"1/10","paraffin oil"
"52",52,"keller2016","61005",0.001,"1/1000","paraffin oil"
"53",53,"keller2016","7695",0.001,"1/1000","paraffin oil"
"54",54,"keller2016","7695",1e-05,"1/100000","paraffin oil"
"55",55,"keller2016","5315892",0.001,"1/1000","paraffin oil"
"56",56,"keller2016","5315892",1e-05,"1/100000","paraffin oil"
"57",57,"keller2016","7720",1e-05,"1/100000","paraffin oil"
"58",58,"keller2016","7720",0.001,"1/1000","paraffin oil"
"59",59,"keller2016","7731",0.001,"1/1000","paraffin oil"
"60",60,"keller2016","7731",1e-05,"1/100000","paraffin oil"
"61",61,"keller2016","5363233",1e-05,"1/100000","paraffin oil"
"62",62,"keller2016","5363233",0.001,"1/1000","paraffin oil"
"63",63,"keller2016","61523",0.001,"1/1000","paraffin oil"
"64",64,"keller2016","61523",1e-05,"1/100000","paraffin oil"
"65",65,"keller2016","7749",0.001,"1/1000","paraffin oil"
"66",66,"keller2016","7749",1e-05,"1/100000","paraffin oil"
"67",67,"keller2016","7761",1e-05,"1/100000","paraffin oil"
"68",68,"keller2016","7761",0.001,"1/1000","paraffin oil"
"69",69,"keller2016","7762",0.001,"1/1000","paraffin oil"
"70",70,"keller2016","7762",1e-05,"1/100000","paraffin oil"
"71",71,"keller2016","7765",0.001,"1/1000","paraffin oil"
"72",72,"keller2016","7765",1e-05,"1/100000","paraffin oil"
"73",73,"keller2016","7768",0.001,"1/1000","paraffin oil"
"74",74,"keller2016","7768",0.1,"1/10","paraffin oil"
"75",75,"keller2016","7770",0.001,"1/1000","paraffin oil"
"76",76,"keller2016","7770",1e-05,"1/100000","paraffin oil"
"77",77,"keller2016","1549026",1e-07,"1/10000000","paraffin oil"
"78",78,"keller2016","1549026",1e-05,"1/100000","paraffin oil"
"79",79,"keller2016","61527",1e-07,"1/10000000","paraffin oil"
"80",80,"keller2016","61527",1e-05,"1/100000","paraffin oil"
"81",81,"keller2016","235414",0.001,"1/1000","paraffin oil"
"82",82,"keller2016","235414",0.1,"1/10","paraffin oil"
"83",83,"keller2016","7792",1e-05,"1/100000","paraffin oil"
"84",84,"keller2016","7792",0.001,"1/1000","paraffin oil"
"85",85,"keller2016","637566",1e-05,"1/100000","paraffin oil"
"86",86,"keller2016","637566",0.001,"1/1000","paraffin oil"
"87",87,"keller2016","643820",0.001,"1/1000","paraffin oil"
"88",88,"keller2016","643820",1e-05,"1/100000","paraffin oil"
"89",89,"keller2016","7795",1e-05,"1/100000","paraffin oil"
"90",90,"keller2016","7795",0.001,"1/1000","paraffin oil"
"91",91,"keller2016","7797",1e-05,"1/100000","paraffin oil"
"92",92,"keller2016","7797",0.001,"1/1000","paraffin oil"
"93",93,"keller2016","7799",1e-05,"1/100000","paraffin oil"
"94",94,"keller2016","7799",0.001,"1/1000","paraffin oil"
"95",95,"keller2016","7803",0.001,"1/1000","paraffin oil"
"96",96,"keller2016","7803",1e-05,"1/100000","paraffin oil"
"97",97,"keller2016","2879",1e-05,"1/100000","paraffin oil"
"98",98,"keller2016","2879",0.001,"1/1000","paraffin oil"
"99",99,"keller2016","7820",0.1,"1/10","paraffin oil"
"100",100,"keller2016","7820",0.001,"1/1000","paraffin oil"
"101",101,"keller2016","246728",0.001,"1/1000","paraffin oil"
"102",102,"keller2016","246728",1e-05,"1/100000","paraffin oil"
"103",103,"keller2016","7824",0.001,"1/1000","paraffin oil"
"104",104,"keller2016","7824",1e-05,"1/100000","paraffin oil"
"105",105,"keller2016","7826",1e-05,"1/100000","paraffin oil"
"106",106,"keller2016","7826",0.001,"1/1000","paraffin oil"
"107",107,"keller2016","14104",0.001,"1/1000","paraffin oil"
"108",108,"keller2016","14104",1e-05,"1/100000","paraffin oil"
"109",109,"keller2016","7894",1e-05,"1/100000","paraffin oil"
"110",110,"keller2016","7894",1e-07,"1/10000000","paraffin oil"
"111",111,"keller2016","264",1e-05,"1/100000","paraffin oil"
"112",112,"keller2016","264",0.001,"1/1000","paraffin oil"
"113",113,"keller2016","239",0.001,"1/1000","paraffin oil"
"114",114,"keller2016","239",0.1,"1/10","paraffin oil"
"115",115,"keller2016","7915",0.001,"1/1000","paraffin oil"
"116",116,"keller2016","7915",1e-05,"1/100000","paraffin oil"
"117",117,"keller2016","7916",1e-05,"1/100000","paraffin oil"
"118",118,"keller2016","7916",1e-07,"1/10000000","paraffin oil"
"119",119,"keller2016","7921",1e-05,"1/100000","paraffin oil"
"120",120,"keller2016","7921",0.001,"1/1000","paraffin oil"
"121",121,"keller2016","7937",0.001,"1/1000","paraffin oil"
"122",122,"keller2016","7937",1e-05,"1/100000","paraffin oil"
"123",123,"keller2016","7967",0.001,"1/1000","paraffin oil"
"124",124,"keller2016","7967",1e-05,"1/100000","paraffin oil"
"125",125,"keller2016","7969",1e-05,"1/100000","paraffin oil"
"126",126,"keller2016","7969",1e-07,"1/10000000","paraffin oil"
"127",127,"keller2016","61024",0.001,"1/1000","paraffin oil"
"128",128,"keller2016","61024",1e-05,"1/100000","paraffin oil"
"129",129,"keller2016","109-19-0",0.001,"1/1000","paraffin oil"
"130",130,"keller2016","109-19-0",1e-05,"1/100000","paraffin oil"
"131",131,"keller2016","7983",1e-05,"1/100000","paraffin oil"
"132",132,"keller2016","7983",0.001,"1/1000","paraffin oil"
"133",133,"keller2016","61027",0.001,"1/1000","paraffin oil"
"134",134,"keller2016","61027",0.1,"1/10","paraffin oil"
"135",135,"keller2016","7991",1e-07,"1/10000000","paraffin oil"
"136",136,"keller2016","7991",1e-05,"1/100000","paraffin oil"
"137",137,"keller2016","7997",1e-05,"1/100000","paraffin oil"
"138",138,"keller2016","7997",0.001,"1/1000","paraffin oil"
"139",139,"keller2016","8007",1e-07,"1/10000000","paraffin oil"
"140",140,"keller2016","8007",1e-05,"1/100000","paraffin oil"
"141",141,"keller2016","8025",0.1,"1/10","paraffin oil"
"142",142,"keller2016","8025",0.001,"1/1000","paraffin oil"
"143",143,"keller2016","8030",1e-05,"1/100000","paraffin oil"
"144",144,"keller2016","8030",0.001,"1/1000","paraffin oil"
"145",145,"keller2016","1110",0.001,"1/1000","paraffin oil"
"146",146,"keller2016","1110",0.1,"1/10","paraffin oil"
"147",147,"keller2016","444972",0.001,"1/1000","paraffin oil"
"148",148,"keller2016","444972",0.1,"1/10","paraffin oil"
"149",149,"keller2016","8042",0.1,"1/10","paraffin oil"
"150",150,"keller2016","8042",0.001,"1/1000","paraffin oil"
"151",151,"keller2016","8048",0.001,"1/1000","paraffin oil"
"152",152,"keller2016","8048",0.1,"1/10","paraffin oil"
"153",153,"keller2016","8049",0.1,"1/10","paraffin oil"
"154",154,"keller2016","8049",0.001,"1/1000","paraffin oil"
"155",155,"keller2016","8051",1e-05,"1/100000","paraffin oil"
"156",156,"keller2016","8051",0.001,"1/1000","paraffin oil"
"157",157,"keller2016","8063",1e-07,"1/10000000","paraffin oil"
"158",158,"keller2016","8063",1e-05,"1/100000","paraffin oil"
"159",159,"keller2016","8077",1e-05,"1/100000","paraffin oil"
"160",160,"keller2016","8077",0.001,"1/1000","paraffin oil"
"161",161,"keller2016","8078",0.001,"1/1000","paraffin oil"
"162",162,"keller2016","8078",0.1,"1/10","paraffin oil"
"163",163,"keller2016","1049",1e-05,"1/100000","paraffin oil"
"164",164,"keller2016","1049",1e-07,"1/10000000","paraffin oil"
"165",165,"keller2016","8082",1e-05,"1/100000","paraffin oil"
"166",166,"keller2016","8082",0.001,"1/1000","paraffin oil"
"167",167,"keller2016","9862",0.001,"1/1000","paraffin oil"
"168",168,"keller2016","9862",1e-05,"1/100000","paraffin oil"
"169",169,"keller2016","8091",1e-05,"1/100000","paraffin oil"
"170",170,"keller2016","8091",0.001,"1/1000","paraffin oil"
"171",171,"keller2016","8093",1e-05,"1/100000","paraffin oil"
"172",172,"keller2016","8093",0.001,"1/1000","paraffin oil"
"173",173,"keller2016","8094",0.001,"1/1000","paraffin oil"
"174",174,"keller2016","8094",1e-05,"1/100000","paraffin oil"
"175",175,"keller2016","8103",1e-05,"1/100000","paraffin oil"
"176",176,"keller2016","8103",0.001,"1/1000","paraffin oil"
"177",177,"keller2016","8118",1e-05,"1/100000","paraffin oil"
"178",178,"keller2016","8118",1e-07,"1/10000000","paraffin oil"
"179",179,"keller2016","8122",0.001,"1/1000","paraffin oil"
"180",180,"keller2016","8122",0.1,"1/10","paraffin oil"
"181",181,"keller2016","356",0.1,"1/10","paraffin oil"
"182",182,"keller2016","356",0.001,"1/1000","paraffin oil"
"183",183,"keller2016","8125",0.001,"1/1000","paraffin oil"
"184",184,"keller2016","8125",1e-05,"1/100000","paraffin oil"
"185",185,"keller2016","8129",0.001,"1/1000","paraffin oil"
"186",186,"keller2016","8129",1e-05,"1/100000","paraffin oil"
"187",187,"keller2016","14228",1e-05,"1/100000","paraffin oil"
"188",188,"keller2016","14228",0.001,"1/1000","paraffin oil"
"189",189,"keller2016","5368076",0.001,"1/1000","paraffin oil"
"190",190,"keller2016","5368076",1e-05,"1/100000","paraffin oil"
"191",191,"keller2016","8137",0.001,"1/1000","paraffin oil"
"192",192,"keller2016","8137",1e-05,"1/100000","paraffin oil"
"193",193,"keller2016","957",1e-05,"1/100000","paraffin oil"
"194",194,"keller2016","957",0.001,"1/1000","paraffin oil"
"195",195,"keller2016","14257",0.1,"1/10","paraffin oil"
"196",196,"keller2016","14257",0.001,"1/1000","paraffin oil"
"197",197,"keller2016","8159",0.1,"1/10","paraffin oil"
"198",198,"keller2016","8159",0.001,"1/1000","paraffin oil"
"199",199,"keller2016","8163",0.001,"1/1000","paraffin oil"
"200",200,"keller2016","8163",0.1,"1/10","paraffin oil"
"201",201,"keller2016","14286",0.001,"1/1000","paraffin oil"
"202",202,"keller2016","14286",1e-05,"1/100000","paraffin oil"
"203",203,"keller2016","8174",1e-05,"1/100000","paraffin oil"
"204",204,"keller2016","8174",0.001,"1/1000","paraffin oil"
"205",205,"keller2016","8175",0.001,"1/1000","paraffin oil"
"206",206,"keller2016","8175",0.1,"1/10","paraffin oil"
"207",207,"keller2016","8180",0.001,"1/1000","paraffin oil"
"208",208,"keller2016","8180",0.1,"1/10","paraffin oil"
"209",209,"keller2016","14296",0.001,"1/1000","paraffin oil"
"210",210,"keller2016","14296",0.1,"1/10","paraffin oil"
"211",211,"keller2016","8184",0.1,"1/10","paraffin oil"
"212",212,"keller2016","8184",0.001,"1/1000","paraffin oil"
"213",213,"keller2016","8186",1e-05,"1/100000","paraffin oil"
"214",214,"keller2016","8186",0.001,"1/1000","paraffin oil"
"215",215,"keller2016","62374",1e-05,"1/100000","paraffin oil"
"216",216,"keller2016","62374",0.001,"1/1000","paraffin oil"
"217",217,"keller2016","8193",0.001,"1/1000","paraffin oil"
"218",218,"keller2016","8193",0.1,"1/10","paraffin oil"
"219",219,"keller2016","62375",1e-05,"1/100000","paraffin oil"
"220",220,"keller2016","62375",0.001,"1/1000","paraffin oil"
"221",221,"keller2016","8205",1e-05,"1/100000","paraffin oil"
"222",222,"keller2016","8205",0.001,"1/1000","paraffin oil"
"223",223,"keller2016","62378",0.001,"1/1000","paraffin oil"
"224",224,"keller2016","62378",1e-05,"1/100000","paraffin oil"
"225",225,"keller2016","14328",0.1,"1/10","paraffin oil"
"226",226,"keller2016","14328",0.001,"1/1000","paraffin oil"
"227",227,"keller2016","8294",1e-05,"1/100000","paraffin oil"
"228",228,"keller2016","8294",0.001,"1/1000","paraffin oil"
"229",229,"keller2016","8363",0.001,"1/1000","paraffin oil"
"230",230,"keller2016","8363",0.1,"1/10","paraffin oil"
"231",231,"keller2016","8375",0.001,"1/1000","paraffin oil"
"232",232,"keller2016","8375",1e-05,"1/100000","paraffin oil"
"233",233,"keller2016","14491",1e-07,"1/10000000","paraffin oil"
"234",234,"keller2016","14491",1e-05,"1/100000","paraffin oil"
"235",235,"keller2016","4133",0.001,"1/1000","paraffin oil"
"236",236,"keller2016","4133",1e-05,"1/100000","paraffin oil"
"237",237,"keller2016","14514",0.001,"1/1000","paraffin oil"
"238",238,"keller2016","14514",1e-05,"1/100000","paraffin oil"
"239",239,"keller2016","3102",0.001,"1/1000","paraffin oil"
"240",240,"keller2016","3102",0.1,"1/10","paraffin oil"
"241",241,"keller2016","660",0.001,"1/1000","paraffin oil"
"242",242,"keller2016","660",1e-05,"1/100000","paraffin oil"
"243",243,"keller2016","8419",0.001,"1/1000","paraffin oil"
"244",244,"keller2016","8419",0.1,"1/10","paraffin oil"
"245",245,"keller2016","6114390",0.001,"1/1000","paraffin oil"
"246",246,"keller2016","6114390",1e-05,"1/100000","paraffin oil"
"247",247,"keller2016","61048",0.1,"1/10","paraffin oil"
"248",248,"keller2016","61048",0.001,"1/1000","paraffin oil"
"249",249,"keller2016","2345",0.1,"1/10","paraffin oil"
"250",250,"keller2016","2345",0.001,"1/1000","paraffin oil"
"251",251,"keller2016","8438",0.001,"1/1000","paraffin oil"
"252",252,"keller2016","8438",0.1,"1/10","paraffin oil"
"253",253,"keller2016","637796",1e-05,"1/100000","paraffin oil"
"254",254,"keller2016","637796",0.001,"1/1000","paraffin oil"
"255",255,"keller2016","8452",0.1,"1/10","paraffin oil"
"256",256,"keller2016","8452",0.001,"1/1000","paraffin oil"
"257",257,"keller2016","8467",0.1,"1/10","paraffin oil"
"258",258,"keller2016","8467",0.001,"1/1000","paraffin oil"
"259",259,"keller2016","1183",0.001,"1/1000","paraffin oil"
"260",260,"keller2016","1183",0.1,"1/10","paraffin oil"
"261",261,"keller2016","8468",0.001,"1/1000","paraffin oil"
"262",262,"keller2016","8468",0.1,"1/10","paraffin oil"
"263",263,"keller2016","326",0.001,"1/1000","paraffin oil"
"264",264,"keller2016","326",1e-05,"1/100000","paraffin oil"
"265",265,"keller2016","31209",0.001,"1/1000","paraffin oil"
"266",266,"keller2016","31209",0.1,"1/10","paraffin oil"
"267",267,"keller2016","31210",0.001,"1/1000","paraffin oil"
"268",268,"keller2016","31210",1e-05,"1/100000","paraffin oil"
"269",269,"keller2016","31219",0.001,"1/1000","paraffin oil"
"270",270,"keller2016","31219",1e-05,"1/100000","paraffin oil"
"271",271,"keller2016","778574",0.1,"1/10","paraffin oil"
"272",272,"keller2016","778574",0.001,"1/1000","paraffin oil"
"273",273,"keller2016","31225",1e-05,"1/100000","paraffin oil"
"274",274,"keller2016","31225",0.001,"1/1000","paraffin oil"
"275",275,"keller2016","61052",1e-05,"1/100000","paraffin oil"
"276",276,"keller2016","61052",0.001,"1/1000","paraffin oil"
"277",277,"keller2016","31234",0.001,"1/1000","paraffin oil"
"278",278,"keller2016","31234",1e-05,"1/100000","paraffin oil"
"279",279,"keller2016","126",0.001,"1/1000","paraffin oil"
"280",280,"keller2016","126",0.1,"1/10","paraffin oil"
"281",281,"keller2016","31244",0.001,"1/1000","paraffin oil"
"282",282,"keller2016","31244",1e-05,"1/100000","paraffin oil"
"283",283,"keller2016","31246",1e-05,"1/100000","paraffin oil"
"284",284,"keller2016","31246",0.001,"1/1000","paraffin oil"
"285",285,"keller2016","31249",0.1,"1/10","paraffin oil"
"286",286,"keller2016","31249",0.001,"1/1000","paraffin oil"
"287",287,"keller2016","31252",1e-05,"1/100000","paraffin oil"
"288",288,"keller2016","31252",1e-07,"1/10000000","paraffin oil"
"289",289,"keller2016","31260",1e-05,"1/100000","paraffin oil"
"290",290,"keller2016","31260",0.001,"1/1000","paraffin oil"
"291",291,"keller2016","31265",1e-05,"1/100000","paraffin oil"
"292",292,"keller2016","31265",0.001,"1/1000","paraffin oil"
"293",293,"keller2016","31266",0.001,"1/1000","paraffin oil"
"294",294,"keller2016","31266",1e-05,"1/100000","paraffin oil"
"295",295,"keller2016","261",0.001,"1/1000","paraffin oil"
"296",296,"keller2016","261",1e-05,"1/100000","paraffin oil"
"297",297,"keller2016","31268",1e-07,"1/10000000","paraffin oil"
"298",298,"keller2016","31268",1e-05,"1/100000","paraffin oil"
"299",299,"keller2016","31272",0.001,"1/1000","paraffin oil"
"300",300,"keller2016","31272",1e-05,"1/100000","paraffin oil"
"301",301,"keller2016","31276",1e-05,"1/100000","paraffin oil"
"302",302,"keller2016","31276",0.001,"1/1000","paraffin oil"
"303",303,"keller2016","196",0.001,"1/1000","paraffin oil"
"304",304,"keller2016","196",0.1,"1/10","paraffin oil"
"305",305,"keller2016","31283",0.001,"1/1000","paraffin oil"
"306",306,"keller2016","31283",0.1,"1/10","paraffin oil"
"307",307,"keller2016","379",1e-05,"1/100000","paraffin oil"
"308",308,"keller2016","379",0.001,"1/1000","paraffin oil"
"309",309,"keller2016","454",0.001,"1/1000","paraffin oil"
"310",310,"keller2016","454",1e-05,"1/100000","paraffin oil"
"311",311,"keller2016","1060",0.001,"1/1000","paraffin oil"
"312",312,"keller2016","1060",1e-05,"1/100000","paraffin oil"
"313",313,"keller2016","31404",0.1,"1/10","paraffin oil"
"314",314,"keller2016","31404",0.001,"1/1000","paraffin oil"
"315",315,"keller2016","8615",0.001,"1/1000","paraffin oil"
"316",316,"keller2016","8615",0.1,"1/10","paraffin oil"
"317",317,"keller2016","875",0.1,"1/10","paraffin oil"
"318",318,"keller2016","875",0.001,"1/1000","paraffin oil"
"319",319,"keller2016","8635",0.001,"1/1000","paraffin oil"
"320",320,"keller2016","8635",1e-05,"1/100000","paraffin oil"
"321",321,"keller2016","8658",1e-05,"1/100000","paraffin oil"
"322",322,"keller2016","8658",0.001,"1/1000","paraffin oil"
"323",323,"keller2016","61641",1e-07,"1/10000000","paraffin oil"
"324",324,"keller2016","61641",1e-05,"1/100000","paraffin oil"
"325",325,"keller2016","61653",1e-05,"1/100000","paraffin oil"
"326",326,"keller2016","61653",1e-07,"1/10000000","paraffin oil"
"327",327,"keller2016","61659",1e-05,"1/100000","paraffin oil"
"328",328,"keller2016","61659",0.001,"1/1000","paraffin oil"
"329",329,"keller2016","1136",0.001,"1/1000","paraffin oil"
"330",330,"keller2016","1136",1e-05,"1/100000","paraffin oil"
"331",331,"keller2016","8712",1e-05,"1/100000","paraffin oil"
"332",332,"keller2016","8712",1e-07,"1/10000000","paraffin oil"
"333",333,"keller2016","61670",1e-05,"1/100000","paraffin oil"
"334",334,"keller2016","61670",1e-07,"1/10000000","paraffin oil"
"335",335,"keller2016","8723",0.001,"1/1000","paraffin oil"
"336",336,"keller2016","8723",1e-05,"1/100000","paraffin oil"
"337",337,"keller2016","26331",1e-05,"1/100000","paraffin oil"
"338",338,"keller2016","26331",0.001,"1/1000","paraffin oil"
"339",339,"keller2016","444539",0.001,"1/1000","paraffin oil"
"340",340,"keller2016","444539",0.1,"1/10","paraffin oil"
"341",341,"keller2016","8785",1e-05,"1/100000","paraffin oil"
"342",342,"keller2016","8785",0.001,"1/1000","paraffin oil"
"343",343,"keller2016","8797",1e-05,"1/100000","paraffin oil"
"344",344,"keller2016","8797",0.001,"1/1000","paraffin oil"
"345",345,"keller2016","8815",0.001,"1/1000","paraffin oil"
"346",346,"keller2016","8815",1e-05,"1/100000","paraffin oil"
"347",347,"keller2016","1549025",0.001,"1/1000","paraffin oil"
"348",348,"keller2016","1549025",0.1,"1/10","paraffin oil"
"349",349,"keller2016","8857",1e-05,"1/100000","paraffin oil"
"350",350,"keller2016","8857",0.001,"1/1000","paraffin oil"
"351",351,"keller2016","8878",0.001,"1/1000","paraffin oil"
"352",352,"keller2016","8878",1e-05,"1/100000","paraffin oil"
"353",353,"keller2016","8892",0.001,"1/1000","paraffin oil"
"354",354,"keller2016","8892",1e-05,"1/100000","paraffin oil"
"355",355,"keller2016","8908",1e-05,"1/100000","paraffin oil"
"356",356,"keller2016","8908",0.001,"1/1000","paraffin oil"
"357",357,"keller2016","3893",0.1,"1/10","paraffin oil"
"358",358,"keller2016","3893",0.001,"1/1000","paraffin oil"
"359",359,"keller2016","8914",0.001,"1/1000","paraffin oil"
"360",360,"keller2016","8914",1e-05,"1/100000","paraffin oil"
"361",361,"keller2016","8918",0.1,"1/10","paraffin oil"
"362",362,"keller2016","8918",0.001,"1/1000","paraffin oil"
"363",363,"keller2016","15037",0.001,"1/1000","paraffin oil"
"364",364,"keller2016","15037",1e-05,"1/100000","paraffin oil"
"365",365,"keller2016","61771",0.001,"1/1000","paraffin oil"
"366",366,"keller2016","61771",0.1,"1/10","paraffin oil"
"367",367,"keller2016","145742",0.1,"1/10","paraffin oil"
"368",368,"keller2016","145742",0.001,"1/1000","paraffin oil"
"369",369,"keller2016","8697",0.1,"1/10","paraffin oil"
"370",370,"keller2016","8697",0.001,"1/1000","paraffin oil"
"371",371,"keller2016","994",0.001,"1/1000","paraffin oil"
"372",372,"keller2016","994",0.1,"1/10","paraffin oil"
"373",373,"keller2016","9012",0.001,"1/1000","paraffin oil"
"374",374,"keller2016","9012",0.1,"1/10","paraffin oil"
"375",375,"keller2016","9016",1e-07,"1/10000000","paraffin oil"
"376",376,"keller2016","9016",1e-05,"1/100000","paraffin oil"
"377",377,"keller2016","9024",0.1,"1/10","paraffin oil"
"378",378,"keller2016","9024",0.001,"1/1000","paraffin oil"
"379",379,"keller2016","9025",0.001,"1/1000","paraffin oil"
"380",380,"keller2016","9025",1e-05,"1/100000","paraffin oil"
"381",381,"keller2016","5363491",0.1,"1/10","paraffin oil"
"382",382,"keller2016","5363491",0.001,"1/1000","paraffin oil"
"383",383,"keller2016","165675",0.001,"1/1000","paraffin oil"
"384",384,"keller2016","165675",0.1,"1/10","paraffin oil"
"385",385,"keller2016","27440",0.001,"1/1000","paraffin oil"
"386",386,"keller2016","27440",1e-05,"1/100000","paraffin oil"
"387",387,"keller2016","61809",0.001,"1/1000","paraffin oil"
"388",388,"keller2016","61809",1e-05,"1/100000","paraffin oil"
"389",389,"keller2016","27457",0.001,"1/1000","paraffin oil"
"390",390,"keller2016","27457",1e-05,"1/100000","paraffin oil"
"391",391,"keller2016","27458",1e-07,"1/10000000","paraffin oil"
"392",392,"keller2016","27458",1e-05,"1/100000","paraffin oil"
"393",393,"keller2016","15380",1e-07,"1/10000000","paraffin oil"
"394",394,"keller2016","15380",1e-05,"1/100000","paraffin oil"
"395",395,"keller2016","565690",0.001,"1/1000","paraffin oil"
"396",396,"keller2016","565690",1e-05,"1/100000","paraffin oil"
"397",397,"keller2016","85522",0.001,"1/1000","paraffin oil"
"398",398,"keller2016","85522",1e-05,"1/100000","paraffin oil"
"399",399,"keller2016","15510",1e-05,"1/100000","paraffin oil"
"400",400,"keller2016","15510",1e-07,"1/10000000","paraffin oil"
"401",401,"keller2016","641256",1e-05,"1/100000","paraffin oil"
"402",402,"keller2016","641256",0.001,"1/1000","paraffin oil"
"403",403,"keller2016","15606",0.001,"1/1000","paraffin oil"
"404",404,"keller2016","15606",1e-05,"1/100000","paraffin oil"
"405",405,"keller2016","15654",0.001,"1/1000","paraffin oil"
"406",406,"keller2016","15654",1e-05,"1/100000","paraffin oil"
"407",407,"keller2016","15717",1e-07,"1/10000000","paraffin oil"
"408",408,"keller2016","15717",1e-05,"1/100000","paraffin oil"
"409",409,"keller2016","440967",0.1,"1/10","paraffin oil"
"410",410,"keller2016","440967",0.001,"1/1000","paraffin oil"
"411",411,"keller2016","519539",0.001,"1/1000","paraffin oil"
"412",412,"keller2016","519539",1e-05,"1/100000","paraffin oil"
"413",413,"keller2016","106997",0.001,"1/1000","paraffin oil"
"414",414,"keller2016","106997",1e-05,"1/100000","paraffin oil"
"415",415,"keller2016","5318599",1e-05,"1/100000","paraffin oil"
"416",416,"keller2016","5318599",0.001,"1/1000","paraffin oil"
"417",417,"keller2016","61130",1e-05,"1/100000","paraffin oil"
"418",418,"keller2016","61130",1e-07,"1/10000000","paraffin oil"
"419",419,"keller2016","62725",1e-05,"1/100000","paraffin oil"
"420",420,"keller2016","62725",1e-07,"1/10000000","paraffin oil"
"421",421,"keller2016","641423",1e-05,"1/100000","paraffin oil"
"422",422,"keller2016","641423",0.001,"1/1000","paraffin oil"
"423",423,"keller2016","16255",0.1,"1/10","paraffin oil"
"424",424,"keller2016","16255",0.001,"1/1000","paraffin oil"
"425",425,"keller2016","16324",0.001,"1/1000","paraffin oil"
"426",426,"keller2016","16324",1e-05,"1/100000","paraffin oil"
"427",427,"keller2016","89440",0.001,"1/1000","paraffin oil"
"428",428,"keller2016","89440",0.1,"1/10","paraffin oil"
"429",429,"keller2016","16537",0.001,"1/1000","paraffin oil"
"430",430,"keller2016","16537",1e-05,"1/100000","paraffin oil"
"431",431,"keller2016","61293",1e-05,"1/100000","paraffin oil"
