,Accession Number,Name,CAS
145,T3D0168,"2,3,4,7,8-Pentachlorodibenzofuran",57117-31-4
146,T3D0170,p-Cresol,106-44-5
147,T3D0172,"1,2-Dichlorobenzene",95-50-1
148,T3D0173,"trans-1,2-Dichloroethene",156-60-5
149,T3D0174,"Indeno(1,2,3-cd)pyrene",193-39-5
150,T3D0176,Carbon disulfide,75-15-0
151,T3D0177,"2,3,4,5-Tetrachlorophenol",25167-83-3
152,T3D0178,Americium,7440-35-9
153,T3D0179,Uranium-233,13968-55-3
154,T3D0180,Palladium,7440-05-03
155,T3D0182,Phenol,108-95-2
156,T3D0183,Chloroethane,75-00-3
157,T3D0184,Acetone,67-64-1
158,T3D0185,p-Xylene,106-42-3
159,T3D0187,Aluminum,7429-90-5
160,T3D0189,Carbon monoxide,630-08-0
161,T3D0191,Hydrogen sulfide,7783-06-04
162,T3D0194,Bis(2-methoxyethyl) phthalate,34006-76-3
163,T3D0195,Benzyl butyl phthalate,85-68-7
164,T3D0196,o-Cresol,95-48-7
165,T3D0198,Vanadium,7440-62-2
166,T3D0199,N-Nitrosodimethylamine,62-75-9
167,T3D0200,"1,2,4-Trichlorobenzene",120-82-1
168,T3D0207,"2,3,7,8-Tetrachlorodibenzofuran",51207-31-9
169,T3D0209,"2,4-Dichlorophenol",120-83-2
170,T3D0210,"1,4-Dioxane",123-91-1
171,T3D0211,Fluorine,7782-41-4
172,T3D0212,Nitrite,14797-65-0
173,T3D0213,Cesium-137,10045-97-3
174,T3D0214,Silver,7440-22-4
175,T3D0215,Chromic acid,7738-94-5
176,T3D0216,Nitrate,14797-55-8
177,T3D0217,Potassium-40,13966-00-2
178,T3D0219,Antimony,7440-36-0
179,T3D0221,Thorium-227,15623-47-9
180,T3D0222,"2,4,5-Trichlorophenol",95-95-4
181,T3D0223,Arsenate,15584-04-00
182,T3D0224,Arsenic trioxide,1327-53-3
183,T3D0225,Phorate,298-02-2
184,T3D0226,Benzo[e]pyrene,192-97-2
185,T3D0229,Dimethoate,60-51-5
186,T3D0230,Actinium-227,14952-40-0
187,T3D0232,4-Aminobiphenyl,92-67-1
188,T3D0233,Pyrethrum,8003-34-7
189,T3D0234,Arsine,7784-42-1
190,T3D0235,(±)-Naled,300-76-5
191,T3D0237,Ethoprop,13194-48-4
192,T3D0240,Dichlorvos,62-73-7
193,T3D0241,Calcium arsenate,7778-44-1
194,T3D0242,Mercuric chloride,7487-94-7
195,T3D0243,Sodium arsenite,7784-46-5
196,T3D0244,Formaldehyde,50-00-0
197,T3D0245,2-Chlorophenol,95-57-8
198,T3D0246,Phenanthrene,85-01-8
199,T3D0247,Hydrogen fluoride,7664-39-3
200,T3D0248,"2,4-Dichlorophenoxyacetic acid",94-75-7
201,T3D0249,Dibromochloromethane,124-48-1
202,T3D0252,"N,N-Dimethylformamide",1968-12-02
203,T3D0253,Pyrene,129-00-0
204,T3D0255,Ethyl ether,60-29-7
205,T3D0257,4-Nitrophenol,100-02-7
206,T3D0259,Phosphine,7803-51-2
207,T3D0261,"2,6-Dinitrotoluene",606-20-2
208,T3D0264,Methyl parathion,298-00-0
209,T3D0265,Pentaerythritol tetranitrate,1978-11-05
210,T3D0271,Styrene,100-42-5
211,T3D0275,Adamsite,578-94-9
212,T3D0276,Arsenic trisulfide,1303-33-9
213,T3D0277,Arsenic disulfide,1303-32-8
214,T3D0278,Arsenic pentasulfide,1303-34-0
215,T3D0279,Arsenic trichloride,7784-34-1
216,T3D0282,Arsenous acid,13464-58-9
217,T3D0285,Ammonium arsenate,7784-44-3
218,T3D0286,Copper(II) arsenite,10290-12-7
219,T3D0287,Gallium arsenide,1303-00-0
220,T3D0288,Copper arsenate,10103-61-4
221,T3D0289,Copper arsenate hydroxide,16102-92-4
222,T3D0290,Potassium arsenite,10124-50-2
223,T3D0292,Arsenic pentoxide,1303-28-2
224,T3D0293,Magnesium arsenate,10103-50-1
225,T3D0294,Manganese arsenate,61136-68-3
226,T3D0296,Lead arsenate,7784-40-9
227,T3D0297,Potassium arsenate,7784-41-0
228,T3D0298,Sodium arsenate,7631-89-2
229,T3D0299,Zinc arsenate,13464-44-3
230,T3D0300,Arsanilic acid,98-50-0
231,T3D0301,Arsenobetaine,64436-13-1
232,T3D0302,Arsenocholine,39895-81-3
233,T3D0303,Methylarsine,593-52-2
234,T3D0304,Dimethylarsine,593-57-7
235,T3D0305,Trimethylarsine,593-88-4
236,T3D0308,"Methylarsonic acid, disodium salt",19444-53-2
237,T3D0309,"Methylarsonic acid, monosodium salt",2163-80-6
238,T3D0310,Benzenearsonic acid,98-05-5
239,T3D0311,Roxarsone,121-19-7
240,T3D0312,"4,4-Arsenobis(2-aminophenol) dihydrochloride",139-93-5
241,T3D0313,[4-(Aminocarbonyl-amino)phenyl] arsonic acid,121-59-5
242,T3D0314,Tryparsamide,554-72-3
243,T3D0315,Nitarsone,98-72-6
244,T3D0316,Sodium arsanilate,127-85-5
245,T3D0317,Sodium dimethylarsinate,124-65-2
246,T3D0318,Trimethylarsine oxide,4964-14-1
247,T3D0319,Lead acetate,301-04-2
248,T3D0320,Lead arsenite,10031-13-7
249,T3D0321,Lead azide,13424-46-9
250,T3D0322,Lead bromide,10031-22-8
251,T3D0323,Lead carbonate,598-63-0
252,T3D0324,Lead chloride,7758-95-4
253,T3D0325,Lead chromate,7758-97-6
254,T3D0326,Lead fluoroborate,13814-96-5
255,T3D0327,Lead iodide,10101-63-0
256,T3D0328,Lead molybdenum chromate,12709-98-7
257,T3D0329,Lead nitrate,10099-74-8
258,T3D0330,Lead oxide,1317-36-8
259,T3D0331,Lead dioxide,1309-60-0
260,T3D0332,Lead tetroxide,1314-41-6
261,T3D0333,Lead phosphate,7446-27-7
262,T3D0334,Lead styphnate,15245-44-0
263,T3D0335,Lead sulfate,7446-14-2
264,T3D0336,Lead sulfide,1314-87-0
265,T3D0337,Tetramethyl lead,75-74-1
266,T3D0338,Tetraethyl lead,78-00-2
267,T3D0340,Mercury(II) fulminate,628-86-4
268,T3D0341,Mercury(II) sulfide,1344-48-5
269,T3D0342,Mercury(II) oxide,21908-53-2
270,T3D0343,Mercury(I) chloride,10112-91-1
271,T3D0344,Phenylmercuric acetate,62-38-4
272,T3D0345,Mercury selenide,20601-83-6
273,T3D0346,Mercury telluride,12068-90-5
274,T3D0347,Mercury cadmium telluride,29870-72-2
275,T3D0348,Mercury(II) acetate,1600-27-7
276,T3D0349,Mercury(I) acetate,631-60-7
277,T3D0350,Mercury(II) iodide,7774-29-0
278,T3D0351,Mercury(I) iodide,15385-57-6
279,T3D0352,Mercury(I) bromide,15385-58-7
280,T3D0353,Mercury(II) bromide,7789-47-1
281,T3D0354,Mercury(II) nitrate,10045-94-0
282,T3D0355,Mercury(I) nitrate,10415-75-5
283,T3D0356,Mercury(II) thiocyanate,592-85-8
284,T3D0357,Mercury(II) sulfate,7783-35-9
285,T3D0358,Mercury(I) sulfate,7783-36-0
286,T3D0360,Methylmercuric chloride,125-09-3
287,T3D0361,Dimethyl mercury,593-74-8
288,T3D0362,Mercuric potassium iodide,7783-33-7
289,T3D0363,Mercury(II) cyanide,592-04-1
290,T3D0364,Cadmium acetate,543-90-8
291,T3D0367,Cadmium arsenide,12006-15-4
292,T3D0368,Cadmium bromate,14518-94-6
293,T3D0369,Cadmium bromide,7789-42-6
294,T3D0370,Cadmium carbonate,513-78-0
295,T3D0371,Cadmium chloride,10108-64-2
296,T3D0372,Cadmium fluoborate,14486-19-2
297,T3D0373,Cadmium fluoride,7790-79-6
298,T3D0374,Cadmium fluosilicate,17010-21-8
299,T3D0375,Cadmium hydroxide,21041-95-2
300,T3D0376,Cadmium iodide,7790-80-9
301,T3D0377,Cadmium lactate,16039-55-7
302,T3D0378,Cadmium nitrate,10325-94-7
303,T3D0380,Cadmium oxide fume,1306-19-0
304,T3D0381,Cadmium phosphate,13477-17-3
305,T3D0382,Cadmium selenide,1306-24-7
306,T3D0383,Cadmium succinate,141-00-4
307,T3D0384,Cadmium sulfate,10124-36-4
308,T3D0386,Cadmium sulphide,1306-23-6
309,T3D0387,Cadmium telluride,1306-25-8
310,T3D0388,Cadmium tungstate,7790-85-4
311,T3D0389,Biphenyl,92-52-4
312,T3D0390,2-Chlorobiphenyl,2051-60-7
313,T3D0391,3-Chlorobiphenyl,2051-61-8
314,T3D0392,4-Chlorobiphenyl,2051-62-9
315,T3D0393,"2,2'-Dichlorobiphenyl",13029-08-8
316,T3D0394,"2,3-Dichlorobiphenyl",16605-91-7
317,T3D0395,"2,3'-Dichlorobiphenyl",25569-80-6
318,T3D0396,"2,4-Dichlorobiphenyl",33284-50-3
319,T3D0397,"2,4'-Dichlorobiphenyl",34883-43-7
320,T3D0398,"2,5-Dichlorobiphenyl",34883-39-1
321,T3D0399,"2,6-Dichlorobiphenyl",33146-45-1
322,T3D0400,"3,3'-Dichlorobiphenyl",2050-67-1
323,T3D0401,"3,4-Dichlorobiphenyl",2974-92-7
324,T3D0402,"3,4'-Dichlorobiphenyl",2974-90-5
325,T3D0403,"3,5-Dichlorobiphenyl",34883-41-5
326,T3D0404,"4,4'-Dichlorobiphenyl",2050-68-2
327,T3D0405,"2,2',3-Trichlorobiphenyl",38444-78-9
328,T3D0406,"2,2',4-Trichlorobiphenyl",37680-66-3
329,T3D0407,"2,2',5-Trichlorobiphenyl",37680-65-2
330,T3D0408,"2,2',6-Trichlorobiphenyl",38444-73-4
331,T3D0409,"2,3,3'-Trichlorobiphenyl",38444-84-7
332,T3D0410,"2,3,4-Trichlorobiphenyl",55702-46-0
333,T3D0411,"2,3,4'-Trichlorobiphenyl",38444-85-8
334,T3D0412,"2,3,5-Trichlorobiphenyl",55720-44-0
335,T3D0413,"2,3,6-Trichlorobiphenyl",55702-45-9
336,T3D0414,"2,3',4-Trichlorobiphenyl",55712-37-3
337,T3D0415,"2,3',5-Trichlorobiphenyl",38444-81-4
338,T3D0416,"2,3',6-Trichlorobiphenyl",38444-76-7
339,T3D0417,"2,4,4'-Trichlorobiphenyl",7012-37-5
340,T3D0418,"2,4,5-Trichlorobiphenyl",15862-07-4
341,T3D0419,"2,4,6-Trichlorobiphenyl",35693-92-6
342,T3D0420,"2,4',5-Trichlorobiphenyl",16606-02-3
343,T3D0421,"2,4',6-Trichlorobiphenyl",38444-77-8
344,T3D0422,"2,3',4'-Trichlorobiphenyl",38444-86-9
345,T3D0423,"2,3',5'-Trichlorobiphenyl",37680-68-5
346,T3D0424,"3,3',4-Trichlorobiphenyl",37680-69-6
347,T3D0426,"3,4,4'-Trichlorobiphenyl",38444-90-5
348,T3D0427,"3,4,5-Tricholobiphenyl",53555-66-1
349,T3D0428,"3,4',5-Trichlorobiphenyl",38444-88-1
350,T3D0429,"2,2',3,3'-Tetrachlorobiphenyl",38444-93-8
351,T3D0430,"2,2',3,4-Tetrachlorobiphenyl",52663-59-9
352,T3D0431,"2,2',3,4'-Tetrachlorobiphenyl",36559-22-5
353,T3D0432,"2,2',3,5-Tetrachlorobiphenyl",70362-46-8
354,T3D0433,"2,2',3,5'-Tetrachlorobiphenyl",41464-39-5
355,T3D0434,"2,2',3,6-Tetrachlorobiphenyl",70362-45-7
356,T3D0435,"2,2',3,6'-Tetrachlorobiphenyl",41464-47-5
357,T3D0437,"2,2',4,5-Tetrachlorobiphenyl",70362-47-9
358,T3D0438,"2,2',4,5'-Tetrachlorobiphenyl",41464-40-8
359,T3D0439,"2,2',4,6-Tetrachlorobiphenyl",62796-65-0
360,T3D0440,"2,2',4,6'-Tetrachlorobiphenyl",68194-04-7
361,T3D0441,"2,2',5,5'-Tetrachlorobiphenyl",35693-99-3
362,T3D0442,"2,2',5,6'-Tetrachlorobiphenyl",41464-41-9
363,T3D0443,"2,2',6,6'-Tetrachlorobiphenyl",15968-05-5
364,T3D0444,"2,3,3',4-Tetrachlorobiphenyl",74338-24-2
365,T3D0445,"2,3,3',4'-Tetrachlorobiphenyl",41464-43-1
366,T3D0446,"2,3,3',5-Tetrachlorobiphenyl",70424-67-8
367,T3D0447,"2,3,3',5'-Tetrachlorobiphenyl",41464-49-7
368,T3D0448,"2,3,3',6-Tetrachlorobiphenyl",74472-33-6
369,T3D0449,"2,3,4,4'-Tetrachlorobiphenyl",33025-41-1
370,T3D0450,"2,3,4,5-Tetrachlorobiphenyl",33284-53-6
371,T3D0451,"2,3,4,6-Tetrachlorobiphenyl",54230-22-7
372,T3D0452,"2,3,4',5-Tetrachlorobiphenyl",74472-34-7
373,T3D0453,"2,3,4',6-Tetrachlorobiphenyl",52663-58-8
374,T3D0454,"2,3,5,6-Tetrachlorobiphenyl",33284-54-7
375,T3D0455,"2,3',4,4'-Tetrachlorobiphenyl",32598-10-0
376,T3D0456,"2,3',4,5-Tetrachlorobiphenyl",73575-53-8
377,T3D0457,"2,3',4,5'-Tetrachlorobiphenyl",73575-52-7
378,T3D0458,"2,3',4,6-Tetrachlorobiphenyl",60233-24-1
379,T3D0459,"2,3',4',5-Tetrachlorobiphenyl",32598-11-1
380,T3D0460,"2,3',4',6-Tetrachlorobiphenyl",41464-46-4
381,T3D0461,"2,3',5,5'-Tetrachlorobiphenyl",41464-42-0
382,T3D0462,"2,3',5',6-Tetrachlorobiphenyl",74338-23-1
383,T3D0463,"2,4,4',5-Tetrachlorobiphenyl",32690-93-0
384,T3D0464,"2,4,4',6-Tetrachlorobiphenyl",32598-12-2
385,T3D0465,"2,3',4',5'-Tetrachlorobiphenyl",70362-48-0
386,T3D0466,"3,3',4,4'-Tetrachlorobiphenyl",32598-13-3
387,T3D0467,"3,3',4,5-Tetrachlorobiphenyl",70362-49-1
388,T3D0468,"3,3',4,5'-Tetrachlorobiphenyl",41464-48-6
389,T3D0470,"3,4,4',5-Tetrachlorobiphenyl",70362-50-4
390,T3D0472,"2,2',3,3',5-Pentachlorobiphenyl",60145-20-2
391,T3D0473,"2,2',3,3',6-Pentachlorobiphenyl",52663-60-2
392,T3D0474,"2,2',3,4,4'-Pentachlorobiphenyl",65510-45-4
393,T3D0475,"2,2',3,4,5-Pentachlorobiphenyl",55312-69-1
394,T3D0476,"2,2',3,4,5'-Pentachlorobiphenyl",38380-02-8
395,T3D0477,"2,2',3,4,6-Pentachlorobiphenyl",55215-17-3
396,T3D0478,"2,2',3,4,6'-Pentachlorobiphenyl",73575-57-2
397,T3D0479,"2,2',3,4',5-Pentachlorobiphenyl",68194-07-0
398,T3D0480,"2,2',3,4',6-Pentachlorobiphenyl",68194-05-8
399,T3D0481,"2,2',3,5,5'-Pentachlorobiphenyl",52663-61-3
400,T3D0482,"2,2',3,5,6-Pentachlorobiphenyl",73575-56-1
401,T3D0483,"2,2',3,5,6'-Pentachlorobiphenyl",73575-55-0
402,T3D0484,"2,2',3,5',6-Pentachlorobiphenyl",38379-99-6
403,T3D0485,"2,2',3,6,6'-Pentachlorobiphenyl",73575-54-9
404,T3D0486,"2,2',3,4',5'-Pentachlorobiphenyl",41464-51-1
405,T3D0487,"2,2',3,4',6'-Pentachlorobiphenyl",60233-25-2
406,T3D0488,"2,2',4,4',5-Pentachlorobiphenyl",38380-01-7
407,T3D0489,"2,2',4,4',6-Pentachlorobiphenyl",39485-83-1
408,T3D0490,"2,2',4,5,5'-Pentachlorobiphenyl",37680-73-2
409,T3D0491,"2,2',4,5,6'-Pentachlorobiphenyl",68194-06-9
410,T3D0492,"2,2',4,5',6-Pentachlorobiphenyl",60145-21-3
411,T3D0493,"2,2',4,6,6'-Pentachlorobiphenyl",56558-16-8
412,T3D0494,"2,3,3',4,4'-Pentachlorobiphenyl",32598-14-4
413,T3D0495,"2,3,3',4,5-Pentachlorobiphenyl",70424-69-0
414,T3D0496,"2,3,3',4',5-Pentachlorobiphenyl",70424-68-9
415,T3D0497,"2,3,3',4,5'-Pentachlorobiphenyl",70362-41-3
416,T3D0498,"2,3,3',4,6-Pentachlorobiphenyl",74472-35-8
417,T3D0499,"2,3,3',4',6-Pentachlorobiphenyl",38380-03-9
418,T3D0500,"2,3,3',5,5'-Pentachlorobiphenyl",39635-32-0
419,T3D0501,"2,3,3',5,6-Pentachlorobiphenyl",74472-36-9
420,T3D0502,"2,3,3',5',6-Pentachlorobiphenyl",68194-10-5
421,T3D0503,"2,3,4,4',5-Pentachlorobiphenyl",74472-37-0
422,T3D0504,"2,3,4,4',6-Pentachlorobiphenyl",74472-38-1
423,T3D0505,"2,3,4,5,6-Pentachlorobiphenyl",18259-05-7
424,T3D0506,"2,3,4',5,6-Pentachlorobiphenyl",68194-11-6
425,T3D0507,"2,3',4,4',5-Pentachlorobiphenyl",31508-00-6
426,T3D0508,"2,3',4,4',6-Pentachlorobiphenyl",56558-17-9
427,T3D0509,"2,3',4,5,5'-Pentachlorobiphenyl",68194-12-7
428,T3D0510,"2,3',4,5',6-Pentachlorobiphenyl",56558-18-0
429,T3D0511,"2,3,3',4',5'-Pentachlorobiphenyl",76842-07-4
430,T3D0512,"2,3',4,4',5'-Pentachlorobiphenyl",65510-44-3
431,T3D0513,"2,3',4',5,5'-Pentachlorobiphenyl",70424-70-3
432,T3D0514,"2,3',4',5',6-Pentachlorobiphenyl",74472-39-2
433,T3D0515,"3,3',4,4',5-Pentachlorobiphenyl",57465-28-8
434,T3D0516,"3,3',4,5,5'-Pentachlorobiphenyl",39635-33-1
435,T3D0518,"2,2',3,3',4,5-Hexachlorobiphenyl",55215-18-4
436,T3D0519,"2,2',3,3',4,5'-Hexachlorobiphenyl",52663-66-8
437,T3D0520,"2,2',3,3',4,6-Hexachlorobiphenyl",61798-70-7
438,T3D0521,"2,2',3,3',4,6'-Hexachlorobiphenyl",38380-05-1
439,T3D0522,"2,2',3,3',5,5'-Hexachlorobiphenyl",35694-04-3
440,T3D0523,"2,2',3,3',5,6-Hexachlorobiphenyl",52704-70-8
441,T3D0524,"2,2',3,3',5,6'-Hexachlorobiphenyl",52744-13-5
442,T3D0525,"2,2',3,3',6,6'-Hexachlorobiphenyl",38411-22-2
443,T3D0526,"2,2',3,4,4',5-Hexachlorobiphenyl",35694-06-5
444,T3D0527,"2,2',3,4,4',5'-Hexachlorobiphenyl",35065-28-2
445,T3D0528,"2,2',3,4,4',6-Hexachlorobiphenyl",56030-56-9
446,T3D0529,"2,2',3,4,4',6'-Hexachlorobiphenyl",59291-64-4
447,T3D0530,"2,2',3,4,5,5'-Hexachlorobiphenyl",52712-04-6
448,T3D0531,"2,2',3,4,5,6-Hexachlorobiphenyl",41411-61-4
449,T3D0532,"2,2',3,4,5,6'-Hexachlorobiphenyl",68194-15-0
450,T3D0533,"2,2',3,4,5',6-Hexachlorobiphenyl",68194-14-9
451,T3D0534,"2,2',3,4,6,6'-Hexachlorobiphenyl",74472-40-5
452,T3D0535,"2,2',3,4',5,5'-Hexachlorobiphenyl",51908-16-8
453,T3D0536,"2,2',3,4',5,6-Hexachlorobiphenyl",68194-13-8
454,T3D0537,"2,2',3,4',5,6'-Hexachlorobiphenyl",74472-41-6
455,T3D0538,"2,2',3,4',5',6-Hexachlorobiphenyl",38380-04-0
456,T3D0539,"2,2',3,4',6,6'-Hexachlorobiphenyl",68194-08-1
457,T3D0540,"2,2',3,5,5',6-Hexachlorobiphenyl",52663-63-5
458,T3D0541,"2,2',3,5,6,6'-Hexachlorobiphenyl",68194-09-2
459,T3D0542,"2,2',4,4',5,5'-Hexachlorobiphenyl",35065-27-1
460,T3D0543,"2,2',4,4',5,6'-Hexachlorobiphenyl",60145-22-4
461,T3D0544,"2,2',4,4',6,6'-Hexachlorobiphenyl",33979-03-2
462,T3D0545,"2,3,3',4,4',5-Hexachlorobiphenyl",38380-08-4
463,T3D0546,"2,3,3',4,4',5'-Hexachlorobiphenyl",69782-90-7
464,T3D0547,"2,3,3',4,4',6-Hexachlorobiphenyl",74472-42-7
465,T3D0548,"2,3,3',4,5,5'-Hexachlorobiphenyl",39635-35-3
466,T3D0549,"2,3,3',4,5,6-Hexachlorobiphenyl",41411-62-5
467,T3D0550,"2,3,3',4,5',6-Hexachlorobiphenyl",74472-43-8
468,T3D0551,"2,3,3',4',5,5'-Hexachlorobiphenyl",39635-34-2
469,T3D0552,"2,3,3',4',5,6-Hexachlorobiphenyl",74472-44-9
470,T3D0553,"2,3,3',4',5',6-Hexachlorobiphenyl",74472-45-0
471,T3D0554,"2,3,3',5,5',6-Hexachlorobiphenyl",74472-46-1
472,T3D0555,"2,3,4,4',5,6-Hexachlorobiphenyl",41411-63-6
473,T3D0556,"2,3',4,4',5,5'-Hexachlorobiphenyl",52663-72-6
474,T3D0557,"2,3',4,4',5',6-Hexachlorobiphenyl",59291-65-5
475,T3D0558,"3,3',4,4',5,5'-Hexachlorobiphenyl",32774-16-6
