subject,experiment,cell,filename
2_35,2,35,a200624-001_bank1.mat
2_36,2,36,a200624-001_bank1.mat
2_37,2,37,a200624-001_bank1.mat
2_38,2,38,a200624-001_bank1.mat
2_39,2,39,a200624-001_bank1.mat
2_40,2,40,a200624-001_bank1.mat
2_41,2,41,a200624-001_bank1.mat
2_42,2,42,a200624-001_bank1.mat
2_43,2,43,a200624-001_bank1.mat
2_44,2,44,a200624-001_bank1.mat
2_45,2,45,a200624-001_bank1.mat
2_46,2,46,a200624-001_bank1.mat
2_47,2,47,a200624-001_bank1.mat
2_48,2,48,a200624-001_bank1.mat
2_49,2,49,a200624-001_bank1.mat
2_50,2,50,a200624-001_bank1.mat
2_51,2,51,a200624-001_bank1.mat
2_52,2,52,a200624-001_bank1.mat
2_53,2,53,a200624-001_bank1.mat
2_54,2,54,a200624-001_bank1.mat
3_0,3,0,a201006-003_bank1.mat
3_1,3,1,a201006-003_bank1.mat
3_2,3,2,a201006-003_bank1.mat
3_3,3,3,a201006-003_bank1.mat
3_4,3,4,a201006-003_bank1.mat
3_5,3,5,a201006-003_bank1.mat
3_6,3,6,a201006-003_bank1.mat
3_7,3,7,a201006-003_bank1.mat
3_8,3,8,a201006-003_bank1.mat
3_9,3,9,a201006-003_bank1.mat
3_10,3,10,a201006-003_bank1.mat
3_11,3,11,a201006-003_bank1.mat
3_12,3,12,a201006-003_bank1.mat
3_13,3,13,a201006-003_bank1.mat
3_14,3,14,a201006-003_bank1.mat
3_15,3,15,a201006-003_bank1.mat
3_16,3,16,a201006-003_bank1.mat
3_17,3,17,a201006-003_bank1.mat
3_18,3,18,a201006-003_bank1.mat
3_19,3,19,a201006-003_bank1.mat
3_20,3,20,a201006-003_bank1.mat
3_21,3,21,a201006-003_bank1.mat
3_22,3,22,a201006-003_bank1.mat
3_23,3,23,a201006-003_bank1.mat
3_24,3,24,a201006-003_bank1.mat
3_25,3,25,a201006-003_bank1.mat
3_26,3,26,a201006-003_bank1.mat
3_27,3,27,a201006-003_bank1.mat
3_28,3,28,a201006-003_bank1.mat
4_0,4,0,a210103-001_bank1.mat
4_1,4,1,a210103-001_bank1.mat
4_2,4,2,a210103-001_bank1.mat
4_3,4,3,a210103-001_bank1.mat
4_4,4,4,a210103-001_bank1.mat
4_5,4,5,a210103-001_bank1.mat
4_6,4,6,a210103-001_bank1.mat
4_7,4,7,a210103-001_bank1.mat
4_8,4,8,a210103-001_bank1.mat
4_9,4,9,a210103-001_bank1.mat
4_10,4,10,a210103-001_bank1.mat
4_11,4,11,a210103-001_bank1.mat
4_12,4,12,a210103-001_bank1.mat
4_13,4,13,a210103-001_bank1.mat
4_14,4,14,a210103-001_bank1.mat
4_15,4,15,a210103-001_bank1.mat
4_16,4,16,a210103-001_bank1.mat
4_17,4,17,a210103-001_bank1.mat
4_18,4,18,a210103-001_bank1.mat
4_19,4,19,a210103-001_bank1.mat
4_20,4,20,a210103-001_bank1.mat
4_21,4,21,a210103-001_bank1.mat
4_22,4,22,a210103-001_bank1.mat
4_23,4,23,a210103-001_bank1.mat
4_24,4,24,a210103-001_bank1.mat
4_25,4,25,a210103-001_bank1.mat
4_26,4,26,a210103-001_bank1.mat
4_27,4,27,a210103-001_bank1.mat
4_28,4,28,a210103-001_bank1.mat
4_29,4,29,a210103-001_bank1.mat
4_30,4,30,a210103-001_bank1.mat
4_31,4,31,a210103-001_bank1.mat
4_32,4,32,a210103-001_bank1.mat
4_33,4,33,a210103-001_bank1.mat
4_34,4,34,a210103-001_bank1.mat
4_35,4,35,a210103-001_bank1.mat
4_36,4,36,a210103-001_bank1.mat
4_37,4,37,a210103-001_bank1.mat
4_38,4,38,a210103-001_bank1.mat
4_39,4,39,a210103-001_bank1.mat
4_40,4,40,a210103-001_bank1.mat
4_41,4,41,a210103-001_bank1.mat
5_0,5,0,a210129-001_bank1.mat
5_1,5,1,a210129-001_bank1.mat
5_2,5,2,a210129-001_bank1.mat
5_3,5,3,a210129-001_bank1.mat
5_4,5,4,a210129-001_bank1.mat
5_5,5,5,a210129-001_bank1.mat
5_6,5,6,a210129-001_bank1.mat
5_7,5,7,a210129-001_bank1.mat
5_8,5,8,a210129-001_bank1.mat
5_9,5,9,a210129-001_bank1.mat
5_10,5,10,a210129-001_bank1.mat
5_11,5,11,a210129-001_bank1.mat
5_12,5,12,a210129-001_bank1.mat
5_13,5,13,a210129-001_bank1.mat
5_14,5,14,a210129-001_bank1.mat
5_15,5,15,a210129-001_bank1.mat
5_16,5,16,a210129-001_bank1.mat
5_17,5,17,a210129-001_bank1.mat
5_18,5,18,a210129-001_bank1.mat
5_19,5,19,a210129-001_bank1.mat
5_20,5,20,a210129-001_bank1.mat
5_21,5,21,a210129-001_bank1.mat
5_22,5,22,a210129-001_bank1.mat
5_23,5,23,a210129-001_bank1.mat
5_24,5,24,a210129-001_bank1.mat
5_25,5,25,a210129-001_bank1.mat
5_26,5,26,a210129-001_bank1.mat
5_27,5,27,a210129-001_bank1.mat
5_28,5,28,a210129-001_bank1.mat
5_29,5,29,a210129-001_bank1.mat
5_30,5,30,a210129-001_bank1.mat
6_0,6,0,a201205-001_bank1.mat
6_1,6,1,a201205-001_bank1.mat
6_2,6,2,a201205-001_bank1.mat
6_3,6,3,a201205-001_bank1.mat
6_4,6,4,a201205-001_bank1.mat
6_5,6,5,a201205-001_bank1.mat
6_6,6,6,a201205-001_bank1.mat
6_7,6,7,a201205-001_bank1.mat
6_8,6,8,a201205-001_bank1.mat
6_9,6,9,a201205-001_bank1.mat
6_10,6,10,a201205-001_bank1.mat
6_11,6,11,a201205-001_bank1.mat
6_12,6,12,a201205-001_bank1.mat
6_13,6,13,a201205-001_bank1.mat
6_14,6,14,a201205-001_bank1.mat
6_15,6,15,a201205-001_bank1.mat
6_16,6,16,a201205-001_bank1.mat
6_17,6,17,a201205-001_bank1.mat
6_18,6,18,a201205-001_bank1.mat
6_19,6,19,a201205-001_bank1.mat
6_20,6,20,a201205-001_bank1.mat
6_21,6,21,a201205-001_bank1.mat
6_22,6,22,a201205-001_bank1.mat
6_23,6,23,a201205-001_bank1.mat
6_24,6,24,a201205-001_bank1.mat
6_25,6,25,a201205-001_bank1.mat
6_26,6,26,a201205-001_bank1.mat
6_27,6,27,a201205-001_bank1.mat
6_28,6,28,a201205-001_bank1.mat
6_29,6,29,a201205-001_bank1.mat
6_30,6,30,a201205-001_bank1.mat
6_31,6,31,a201205-001_bank1.mat
6_32,6,32,a201205-001_bank1.mat
6_33,6,33,a201205-001_bank1.mat
6_34,6,34,a201205-001_bank1.mat
6_35,6,35,a201205-001_bank1.mat
6_36,6,36,a201205-001_bank1.mat
6_37,6,37,a201205-001_bank1.mat
6_38,6,38,a201205-001_bank1.mat
6_39,6,39,a201205-001_bank1.mat
6_40,6,40,a201205-001_bank1.mat
6_41,6,41,a201205-001_bank1.mat
6_42,6,42,a201205-001_bank1.mat
6_43,6,43,a201205-001_bank1.mat
6_44,6,44,a201205-001_bank1.mat
6_45,6,45,a201205-001_bank1.mat
6_46,6,46,a201205-001_bank1.mat
6_47,6,47,a201205-001_bank1.mat
6_48,6,48,a201205-001_bank1.mat
6_49,6,49,a201205-001_bank1.mat
6_50,6,50,a201205-001_bank1.mat
6_51,6,51,a201205-001_bank1.mat
6_52,6,52,a201205-001_bank1.mat
6_53,6,53,a201205-001_bank1.mat
6_54,6,54,a201205-001_bank1.mat
6_55,6,55,a201205-001_bank1.mat
6_56,6,56,a201205-001_bank1.mat
6_57,6,57,a201205-001_bank1.mat
6_58,6,58,a201205-001_bank1.mat
6_59,6,59,a201205-001_bank1.mat
6_60,6,60,a201205-001_bank1.mat
6_61,6,61,a201205-001_bank1.mat
6_62,6,62,a201205-001_bank1.mat
7_0,7,0,a190912-001_bank1.mat
7_1,7,1,a190912-001_bank1.mat
7_2,7,2,a190912-001_bank1.mat
7_3,7,3,a190912-001_bank1.mat
7_4,7,4,a190912-001_bank1.mat
7_5,7,5,a190912-001_bank1.mat
7_6,7,6,a190912-001_bank1.mat
7_7,7,7,a190912-001_bank1.mat
7_8,7,8,a190912-001_bank1.mat
7_9,7,9,a190912-001_bank1.mat
7_10,7,10,a190912-001_bank1.mat
7_11,7,11,a190912-001_bank1.mat
7_12,7,12,a190912-001_bank1.mat
7_13,7,13,a190912-001_bank1.mat
7_14,7,14,a190912-001_bank1.mat
7_15,7,15,a190912-001_bank1.mat
7_16,7,16,a190912-001_bank1.mat
7_17,7,17,a190912-001_bank1.mat
7_18,7,18,a190912-001_bank1.mat
7_19,7,19,a190912-001_bank1.mat
7_20,7,20,a190912-001_bank1.mat
7_21,7,21,a190912-001_bank1.mat
7_22,7,22,a190912-001_bank1.mat
7_23,7,23,a190912-001_bank1.mat
7_24,7,24,a190912-001_bank1.mat
7_25,7,25,a190912-001_bank1.mat
7_26,7,26,a190912-001_bank1.mat
7_27,7,27,a190912-001_bank1.mat
7_28,7,28,a190912-001_bank1.mat
7_29,7,29,a190912-001_bank1.mat
7_30,7,30,a190912-001_bank1.mat
7_31,7,31,a190912-001_bank1.mat
7_32,7,32,a190912-001_bank1.mat
7_33,7,33,a190912-001_bank1.mat
7_34,7,34,a190912-001_bank1.mat
7_35,7,35,a190912-001_bank1.mat
7_36,7,36,a190912-001_bank1.mat
7_37,7,37,a190912-001_bank1.mat
7_38,7,38,a190912-001_bank1.mat
7_39,7,39,a190912-001_bank1.mat
7_40,7,40,a190912-001_bank1.mat
7_41,7,41,a190912-001_bank1.mat
7_42,7,42,a190912-001_bank1.mat
7_43,7,43,a190912-001_bank1.mat
7_44,7,44,a190912-001_bank1.mat
7_45,7,45,a190912-001_bank1.mat
7_46,7,46,a190912-001_bank1.mat
7_47,7,47,a190912-001_bank1.mat
7_48,7,48,a190912-001_bank1.mat
7_49,7,49,a190912-001_bank1.mat
7_50,7,50,a190912-001_bank1.mat
7_51,7,51,a190912-001_bank1.mat
7_52,7,52,a190912-001_bank1.mat
7_53,7,53,a190912-001_bank1.mat
7_54,7,54,a190912-001_bank1.mat
7_55,7,55,a190912-001_bank1.mat
7_56,7,56,a190912-001_bank1.mat
7_57,7,57,a190912-001_bank1.mat
7_58,7,58,a190912-001_bank1.mat
7_59,7,59,a190912-001_bank1.mat
7_60,7,60,a190912-001_bank1.mat
7_61,7,61,a190912-001_bank1.mat
7_62,7,62,a190912-001_bank1.mat
7_63,7,63,a190912-001_bank1.mat
7_64,7,64,a190912-001_bank1.mat
7_65,7,65,a190912-001_bank1.mat
7_66,7,66,a190912-001_bank1.mat
7_67,7,67,a190912-001_bank1.mat
7_68,7,68,a190912-001_bank1.mat
7_69,7,69,a190912-001_bank1.mat
7_70,7,70,a190912-001_bank1.mat
7_71,7,71,a190912-001_bank1.mat
7_72,7,72,a190912-001_bank1.mat
7_73,7,73,a190912-001_bank1.mat
7_74,7,74,a190912-001_bank1.mat
7_75,7,75,a190912-001_bank1.mat
7_76,7,76,a190912-001_bank1.mat
7_77,7,77,a190912-001_bank1.mat
7_78,7,78,a190912-001_bank1.mat
8_0,8,0,a190911-001_bank1.mat
8_1,8,1,a190911-001_bank1.mat
8_2,8,2,a190911-001_bank1.mat
8_3,8,3,a190911-001_bank1.mat
8_4,8,4,a190911-001_bank1.mat
8_5,8,5,a190911-001_bank1.mat
8_6,8,6,a190911-001_bank1.mat
8_7,8,7,a190911-001_bank1.mat
8_8,8,8,a190911-001_bank1.mat
8_9,8,9,a190911-001_bank1.mat
8_10,8,10,a190911-001_bank1.mat
8_11,8,11,a190911-001_bank1.mat
8_12,8,12,a190911-001_bank1.mat
8_13,8,13,a190911-001_bank1.mat
8_14,8,14,a190911-001_bank1.mat
8_15,8,15,a190911-001_bank1.mat
8_16,8,16,a190911-001_bank1.mat
8_17,8,17,a190911-001_bank1.mat
8_18,8,18,a190911-001_bank1.mat
8_19,8,19,a190911-001_bank1.mat
8_20,8,20,a190911-001_bank1.mat
8_21,8,21,a190911-001_bank1.mat
8_22,8,22,a190911-001_bank1.mat
8_23,8,23,a190911-001_bank1.mat
8_24,8,24,a190911-001_bank1.mat
8_25,8,25,a190911-001_bank1.mat
8_26,8,26,a190911-001_bank1.mat
8_27,8,27,a190911-001_bank1.mat
8_28,8,28,a190911-001_bank1.mat
8_29,8,29,a190911-001_bank1.mat
8_30,8,30,a190911-001_bank1.mat
8_31,8,31,a190911-001_bank1.mat
8_32,8,32,a190911-001_bank1.mat
8_33,8,33,a190911-001_bank1.mat
8_34,8,34,a190911-001_bank1.mat
8_35,8,35,a190911-001_bank1.mat
8_36,8,36,a190911-001_bank1.mat
8_37,8,37,a190911-001_bank1.mat
8_38,8,38,a190911-001_bank1.mat
8_39,8,39,a190911-001_bank1.mat
8_40,8,40,a190911-001_bank1.mat
8_41,8,41,a190911-001_bank1.mat
8_42,8,42,a190911-001_bank1.mat
8_43,8,43,a190911-001_bank1.mat
8_44,8,44,a190911-001_bank1.mat
8_45,8,45,a190911-001_bank1.mat
8_46,8,46,a190911-001_bank1.mat
8_47,8,47,a190911-001_bank1.mat
8_48,8,48,a190911-001_bank1.mat
8_49,8,49,a190911-001_bank1.mat
8_50,8,50,a190911-001_bank1.mat
8_51,8,51,a190911-001_bank1.mat
8_52,8,52,a190911-001_bank1.mat
8_53,8,53,a190911-001_bank1.mat
8_54,8,54,a190911-001_bank1.mat
8_55,8,55,a190911-001_bank1.mat
8_56,8,56,a190911-001_bank1.mat
8_57,8,57,a190911-001_bank1.mat
8_58,8,58,a190911-001_bank1.mat
8_59,8,59,a190911-001_bank1.mat
8_60,8,60,a190911-001_bank1.mat
8_61,8,61,a190911-001_bank1.mat
8_62,8,62,a190911-001_bank1.mat
8_63,8,63,a190911-001_bank1.mat
8_64,8,64,a190911-001_bank1.mat
8_65,8,65,a190911-001_bank1.mat
8_66,8,66,a190911-001_bank1.mat
8_67,8,67,a190911-001_bank1.mat
8_68,8,68,a190911-001_bank1.mat
8_69,8,69,a190911-001_bank1.mat
8_70,8,70,a190911-001_bank1.mat
8_71,8,71,a190911-001_bank1.mat
8_72,8,72,a190911-001_bank1.mat
8_73,8,73,a190911-001_bank1.mat
8_74,8,74,a190911-001_bank1.mat
8_75,8,75,a190911-001_bank1.mat
9_0,9,0,a201002-002_bank1.mat
9_1,9,1,a201002-002_bank1.mat
9_2,9,2,a201002-002_bank1.mat
9_3,9,3,a201002-002_bank1.mat
9_4,9,4,a201002-002_bank1.mat
9_5,9,5,a201002-002_bank1.mat
9_6,9,6,a201002-002_bank1.mat
9_7,9,7,a201002-002_bank1.mat
9_8,9,8,a201002-002_bank1.mat
9_9,9,9,a201002-002_bank1.mat
9_10,9,10,a201002-002_bank1.mat
9_11,9,11,a201002-002_bank1.mat
9_12,9,12,a201002-002_bank1.mat
9_13,9,13,a201002-002_bank1.mat
9_14,9,14,a201002-002_bank1.mat
9_15,9,15,a201002-002_bank1.mat
9_16,9,16,a201002-002_bank1.mat
9_17,9,17,a201002-002_bank1.mat
9_18,9,18,a201002-002_bank1.mat
9_19,9,19,a201002-002_bank1.mat
9_20,9,20,a201002-002_bank1.mat
9_21,9,21,a201002-002_bank1.mat
9_22,9,22,a201002-002_bank1.mat
9_23,9,23,a201002-002_bank1.mat
9_24,9,24,a201002-002_bank1.mat
9_25,9,25,a201002-002_bank1.mat
9_26,9,26,a201002-002_bank1.mat
9_27,9,27,a201002-002_bank1.mat
9_28,9,28,a201002-002_bank1.mat
9_29,9,29,a201002-002_bank1.mat
9_30,9,30,a201002-002_bank1.mat
9_31,9,31,a201002-002_bank1.mat
9_32,9,32,a201002-002_bank1.mat
10_0,10,0,a201013-001_bank1.mat
10_1,10,1,a201013-001_bank1.mat
10_2,10,2,a201013-001_bank1.mat
10_3,10,3,a201013-001_bank1.mat
10_4,10,4,a201013-001_bank1.mat
10_5,10,5,a201013-001_bank1.mat
10_6,10,6,a201013-001_bank1.mat
10_7,10,7,a201013-001_bank1.mat
10_8,10,8,a201013-001_bank1.mat
10_9,10,9,a201013-001_bank1.mat
10_10,10,10,a201013-001_bank1.mat
10_11,10,11,a201013-001_bank1.mat
10_12,10,12,a201013-001_bank1.mat
10_13,10,13,a201013-001_bank1.mat
10_14,10,14,a201013-001_bank1.mat
10_15,10,15,a201013-001_bank1.mat
10_16,10,16,a201013-001_bank1.mat
10_17,10,17,a201013-001_bank1.mat
10_18,10,18,a201013-001_bank1.mat
10_19,10,19,a201013-001_bank1.mat
10_20,10,20,a201013-001_bank1.mat
10_21,10,21,a201013-001_bank1.mat
10_22,10,22,a201013-001_bank1.mat
10_23,10,23,a201013-001_bank1.mat
10_24,10,24,a201013-001_bank1.mat
10_25,10,25,a201013-001_bank1.mat
10_26,10,26,a201013-001_bank1.mat
10_27,10,27,a201013-001_bank1.mat
10_28,10,28,a201013-001_bank1.mat
10_29,10,29,a201013-001_bank1.mat
10_30,10,30,a201013-001_bank1.mat
10_31,10,31,a201013-001_bank1.mat
10_32,10,32,a201013-001_bank1.mat
10_33,10,33,a201013-001_bank1.mat
10_34,10,34,a201013-001_bank1.mat
10_35,10,35,a201013-001_bank1.mat
10_36,10,36,a201013-001_bank1.mat
10_37,10,37,a201013-001_bank1.mat
10_38,10,38,a201013-001_bank1.mat
10_39,10,39,a201013-001_bank1.mat
10_40,10,40,a201013-001_bank1.mat
10_41,10,41,a201013-001_bank1.mat
10_42,10,42,a201013-001_bank1.mat
10_43,10,43,a201013-001_bank1.mat
10_44,10,44,a201013-001_bank1.mat
10_45,10,45,a201013-001_bank1.mat
10_46,10,46,a201013-001_bank1.mat
10_47,10,47,a201013-001_bank1.mat
10_48,10,48,a201013-001_bank1.mat
10_49,10,49,a201013-001_bank1.mat
10_50,10,50,a201013-001_bank1.mat
10_51,10,51,a201013-001_bank1.mat
10_52,10,52,a201013-001_bank1.mat
10_53,10,53,a201013-001_bank1.mat
10_54,10,54,a201013-001_bank1.mat
10_55,10,55,a201013-001_bank1.mat
10_56,10,56,a201013-001_bank1.mat
11_0,11,0,a201015-001_bank1.mat
11_1,11,1,a201015-001_bank1.mat
11_2,11,2,a201015-001_bank1.mat
11_3,11,3,a201015-001_bank1.mat
11_4,11,4,a201015-001_bank1.mat
11_5,11,5,a201015-001_bank1.mat
11_6,11,6,a201015-001_bank1.mat
11_7,11,7,a201015-001_bank1.mat
11_8,11,8,a201015-001_bank1.mat
11_9,11,9,a201015-001_bank1.mat
11_10,11,10,a201015-001_bank1.mat
11_11,11,11,a201015-001_bank1.mat
11_12,11,12,a201015-001_bank1.mat
11_13,11,13,a201015-001_bank1.mat
11_14,11,14,a201015-001_bank1.mat
11_15,11,15,a201015-001_bank1.mat
11_16,11,16,a201015-001_bank1.mat
11_17,11,17,a201015-001_bank1.mat
11_18,11,18,a201015-001_bank1.mat
11_19,11,19,a201015-001_bank1.mat
11_20,11,20,a201015-001_bank1.mat
11_21,11,21,a201015-001_bank1.mat
11_22,11,22,a201015-001_bank1.mat
11_23,11,23,a201015-001_bank1.mat
11_24,11,24,a201015-001_bank1.mat
11_25,11,25,a201015-001_bank1.mat
11_26,11,26,a201015-001_bank1.mat
11_27,11,27,a201015-001_bank1.mat
11_28,11,28,a201015-001_bank1.mat
11_29,11,29,a201015-001_bank1.mat
11_30,11,30,a201015-001_bank1.mat
11_31,11,31,a201015-001_bank1.mat
11_32,11,32,a201015-001_bank1.mat
11_33,11,33,a201015-001_bank1.mat
11_34,11,34,a201015-001_bank1.mat
11_35,11,35,a201015-001_bank1.mat
11_36,11,36,a201015-001_bank1.mat
11_37,11,37,a201015-001_bank1.mat
11_38,11,38,a201015-001_bank1.mat
11_39,11,39,a201015-001_bank1.mat
11_40,11,40,a201015-001_bank1.mat
11_41,11,41,a201015-001_bank1.mat
11_42,11,42,a201015-001_bank1.mat
11_43,11,43,a201015-001_bank1.mat
11_44,11,44,a201015-001_bank1.mat
11_45,11,45,a201015-001_bank1.mat
11_46,11,46,a201015-001_bank1.mat
11_47,11,47,a201015-001_bank1.mat
11_48,11,48,a201015-001_bank1.mat
11_49,11,49,a201015-001_bank1.mat
11_50,11,50,a201015-001_bank1.mat
11_51,11,51,a201015-001_bank1.mat
11_52,11,52,a201015-001_bank1.mat
11_53,11,53,a201015-001_bank1.mat
11_54,11,54,a201015-001_bank1.mat
11_55,11,55,a201015-001_bank1.mat
11_56,11,56,a201015-001_bank1.mat
12_0,12,0,a201124-002_bank1.mat
12_1,12,1,a201124-002_bank1.mat
12_2,12,2,a201124-002_bank1.mat
12_3,12,3,a201124-002_bank1.mat
12_4,12,4,a201124-002_bank1.mat
12_5,12,5,a201124-002_bank1.mat
12_6,12,6,a201124-002_bank1.mat
12_7,12,7,a201124-002_bank1.mat
12_8,12,8,a201124-002_bank1.mat
12_9,12,9,a201124-002_bank1.mat
12_10,12,10,a201124-002_bank1.mat
12_11,12,11,a201124-002_bank1.mat
12_12,12,12,a201124-002_bank1.mat
12_13,12,13,a201124-002_bank1.mat
12_14,12,14,a201124-002_bank1.mat
12_15,12,15,a201124-002_bank1.mat
12_16,12,16,a201124-002_bank1.mat
12_17,12,17,a201124-002_bank1.mat
12_18,12,18,a201124-002_bank1.mat
12_19,12,19,a201124-002_bank1.mat
12_20,12,20,a201124-002_bank1.mat
12_21,12,21,a201124-002_bank1.mat
12_22,12,22,a201124-002_bank1.mat
12_23,12,23,a201124-002_bank1.mat
12_24,12,24,a201124-002_bank1.mat
12_25,12,25,a201124-002_bank1.mat
12_26,12,26,a201124-002_bank1.mat
12_27,12,27,a201124-002_bank1.mat
12_28,12,28,a201124-002_bank1.mat
12_29,12,29,a201124-002_bank1.mat
12_30,12,30,a201124-002_bank1.mat
12_31,12,31,a201124-002_bank1.mat
12_32,12,32,a201124-002_bank1.mat
12_33,12,33,a201124-002_bank1.mat
12_34,12,34,a201124-002_bank1.mat
12_35,12,35,a201124-002_bank1.mat
12_36,12,36,a201124-002_bank1.mat
12_37,12,37,a201124-002_bank1.mat
12_38,12,38,a201124-002_bank1.mat
12_39,12,39,a201124-002_bank1.mat
12_40,12,40,a201124-002_bank1.mat
12_41,12,41,a201124-002_bank1.mat
12_42,12,42,a201124-002_bank1.mat
12_43,12,43,a201124-002_bank1.mat
12_44,12,44,a201124-002_bank1.mat
12_45,12,45,a201124-002_bank1.mat
12_46,12,46,a201124-002_bank1.mat
12_47,12,47,a201124-002_bank1.mat
12_48,12,48,a201124-002_bank1.mat
12_49,12,49,a201124-002_bank1.mat
13_0,13,0,a201011-001_bank1.mat
13_1,13,1,a201011-001_bank1.mat
13_2,13,2,a201011-001_bank1.mat
13_3,13,3,a201011-001_bank1.mat
13_4,13,4,a201011-001_bank1.mat
13_5,13,5,a201011-001_bank1.mat
13_6,13,6,a201011-001_bank1.mat
13_7,13,7,a201011-001_bank1.mat
13_8,13,8,a201011-001_bank1.mat
13_9,13,9,a201011-001_bank1.mat
13_10,13,10,a201011-001_bank1.mat
13_11,13,11,a201011-001_bank1.mat
13_12,13,12,a201011-001_bank1.mat
13_13,13,13,a201011-001_bank1.mat
13_14,13,14,a201011-001_bank1.mat
13_15,13,15,a201011-001_bank1.mat
13_16,13,16,a201011-001_bank1.mat
13_17,13,17,a201011-001_bank1.mat
13_18,13,18,a201011-001_bank1.mat
13_19,13,19,a201011-001_bank1.mat
13_20,13,20,a201011-001_bank1.mat
13_21,13,21,a201011-001_bank1.mat
13_22,13,22,a201011-001_bank1.mat
13_23,13,23,a201011-001_bank1.mat
14_0,14,0,a201028-001_bank1.mat
14_1,14,1,a201028-001_bank1.mat
14_2,14,2,a201028-001_bank1.mat
14_3,14,3,a201028-001_bank1.mat
14_4,14,4,a201028-001_bank1.mat
14_5,14,5,a201028-001_bank1.mat
14_6,14,6,a201028-001_bank1.mat
14_7,14,7,a201028-001_bank1.mat
14_8,14,8,a201028-001_bank1.mat
14_9,14,9,a201028-001_bank1.mat
14_10,14,10,a201028-001_bank1.mat
14_11,14,11,a201028-001_bank1.mat
14_12,14,12,a201028-001_bank1.mat
14_13,14,13,a201028-001_bank1.mat
