Stimulus,MolecularWeight,IsomericSMILES,IUPACName,name
82229,152.23,C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,"(1R,4S)-1,3,3-trimethylbicyclo[2.2.1]heptan-2-one", einecs 232-107-5
155529,116.23,CCCC1CCS1,2-propylthietane,"thietane, 2-propyl-"
165675,156.26,C[C@H]1CC[C@@H]([C@H](C1)O)C(C)C,"(1S,2R,5S)-5-methyl-2-propan-2-ylcyclohexan-1-ol",(+)-menthol
206245,129.23,CC(C)C1=NCCS1,"2-propan-2-yl-4,5-dihydro-1,3-thiazole","thiazole, 4,5-dihydro-2-(1-methylethyl)-"
263626,129.23,CC1C(SC(=N1)C)C,"2,4,5-trimethyl-4,5-dihydro-1,3-thiazole","2,4,5-trimethyl-4,5-dihydrothiazole"
439250,136.23,CC1=CC[C@H](CC1)C(=C)C,(4S)-1-methyl-4-prop-1-en-2-ylcyclohexene,(-)-limonene
439570,150.22,CC1=CC[C@H](CC1=O)C(=C)C,(5R)-2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one,(-)-carvone
440917,136.23,CC1=CC[C@@H](CC1)C(=C)C,(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene,d-limonene
443159,154.25,C[C@H]1CC[C@@H](C(=O)C1)C(C)C,"(2R,5S)-5-methyl-2-propan-2-ylcyclohexan-1-one",(+)-menthone
637566,154.25,CC(=CCC/C(=C/CO)/C)C,"(2E)-3,7-dimethylocta-2,6-dien-1-ol",geraniol
638011,152.23,CC(=CCC/C(=C/C=O)/C)C,"(2E)-3,7-dimethylocta-2,6-dienal",citral
5281167,100.16,CC/C=C\CCO,(Z)-hex-3-en-1-ol,cis-3-hexen-1-ol
5281168,98.14,CCC/C=C/C=O,(E)-hex-2-enal,trans-2-hexenal
5281516,204.35,CC(=CCC/C(=C/C/C=C(\C)/C=C)/C)C,"(3E,6E)-3,7,11-trimethyldodeca-1,3,6,10-tetraene",alpha-farnesene
5281517,204.35,CC(=CCC/C(=C/CCC(=C)C=C)/C)C,"(6E)-7,11-dimethyl-3-methylidenedodeca-1,6,10-triene",trans-beta-farnesene
5282108,192.30,CC1=CCCC(C1/C=C/C(=O)C)(C)C,"(E)-4-(2,6,6-trimethylcyclohex-2-en-1-yl)but-3-en-2-one",alpha-ionone
5315941,250.4,C1CCC/C=C\CCCCCCCC(=O)CCC1,(9Z)-cycloheptadec-9-en-1-one,civetone
5365703,252.39,C1CCCCOC(=O)CCCCC/C=C\CCC1,(8Z)-1-oxacycloheptadec-8-en-2-one,ambrettolid
16213045,152.23,CC1([C@@H]2CCC(C2)(C1=O)C)C,"(4R)-1,3,3-trimethylbicyclo[2.2.1]heptan-2-one","(4R)-1,3,3-trimethylbicyclo[2.2.1]heptan-2-one"
