CID,experimental value (kcal/mol),experimental uncertainty (kcal/mol),Mobley group calculated value (GAFF) (kcal/mol),calculated uncertainty (kcal/mol)
7970,-4.77,0.6,-3.22,0.03
7972,-6.32,0.6,-5.77,0.03
7975,-4.63,0.6,-3.5,0.03
7976,-5.51,0.6,-6.16,0.03
7977,-4.39,0.6,-3.87,0.03
7991,-6.16,0.6,-9.05,0.03
7997,-2.79,0.6,-3.49,0.03
8002,-0.4,0.6,0.7,0.02
8003,2.3,0.2,2.67,0.02
8004,1.68,0.6,2.53,0.02
8005,-0.16,0.6,0.99,0.02
8007,-4.24,0.6,-2.96,0.03
8008,-3.64,0.6,-2.29,0.02
8012,-0.99,0.6,-0.17,0.02
8018,-6.55,0.6,-5.03,0.03
8019,-6.62,0.4,-4.69,0.03
8020,-2.93,0.2,-3.22,0.04
8021,-4.07,0.6,-2.99,0.03
8025,-2.56,0.6,-3.87,0.02
8027,-4.78,0.6,-4.01,0.02
8028,-3.47,0.6,-2.2,0.02
8030,-1.4,0.2,-0.36,0.02
8038,-2.36,0.6,-2.9,0.03
8051,-3.04,0.6,-2.94,0.03
8052,-2.13,0.6,-3.41,0.03
8057,-0.1,0.2,0.82,0.03
8058,2.48,0.6,2.85,0.03
8059,-2.32,0.6,-0.4,0.03
8060,-4.09,0.6,-2.83,0.03
8061,-3.52,0.6,-2.15,0.02
8063,-3.03,0.6,-2.93,0.03
8071,-4.84,0.6,-3.1,0.03
8073,-2.48,0.6,-3.7,0.02
8076,-6.69,0.6,-4.41,0.03
8077,-1.64,0.6,-0.98,0.03
8078,1.23,0.6,1.5,0.02
8079,0.14,0.1,1.18,0.02
8082,-5.11,0.6,-3.87,0.03
8083,-7.17,0.6,-6.12,0.03
8091,-2.04,0.6,-3.04,0.04
8093,-2.88,0.6,-2.76,0.03
8095,-5.31,0.1,-5.75,0.03
8101,0.18,0.6,1.08,0.03
8102,-3.95,0.6,-2.77,0.03
8103,-4.4,0.6,-3.0,0.03
8114,-1.16,0.6,-0.0,0.03
8115,-4.23,0.2,-2.25,0.04
8118,-1.28,0.6,0.64,0.03
8121,-6.34,0.2,-8.33,0.04
8121,-6.34,0.6,-8.29,0.04
8125,1.92,0.6,2.9,0.03
8127,-3.79,0.6,-2.55,0.03
8129,-4.21,0.6,-2.92,0.03
8130,-2.67,0.6,-2.7,0.03
8133,-6.25,0.6,-3.85,0.04
8140,0.52,0.6,1.35,0.03
8141,3.13,0.6,3.22,0.03
8143,-3.65,0.6,-2.59,0.03
8148,-3.24,0.6,-2.08,0.03
8163,-2.15,0.6,-2.2,0.04
8174,-3.64,0.6,-2.45,0.04
8252,1.32,0.6,2.33,0.02
8254,-1.91,0.6,-0.85,0.02
8255,1.16,0.6,2.33,0.02
8263,3.43,0.03,3.08,0.03
8302,2.93,0.6,2.31,0.02
8323,-9.53,0.28,-10.98,0.05
8341,-11.53,0.29,-13.89,0.04
8370,-2.33,1.16,0.38,0.04
8418,-3.95,0.6,-5.19,0.04
8434,-9.2,0.3,-9.54,0.04
8452,-4.7,0.6,-3.89,0.02
8471,-3.22,0.6,-1.96,0.03
8499,-5.33,0.6,-6.46,0.03
8500,-4.7,0.6,-4.91,0.03
8640,-7.28,0.6,-7.78,0.03
8663,-8.11,0.6,-7.85,0.03
8857,-2.94,0.6,-3.75,0.03
8881,-1.89,0.6,-0.42,0.02
8882,0.56,0.6,1.23,0.02
8892,-6.21,0.6,-7.88,0.03
8894,-3.12,0.6,-1.81,0.02
8900,2.67,0.6,2.92,0.03
8902,-3.65,0.6,-2.23,0.03
8908,-2.26,0.6,-2.22,0.03
8909,-0.83,0.6,0.14,0.03
8914,-3.88,0.6,-2.56,0.03
9005,-4.42,0.6,-4.62,0.03
9007,-7.66,0.6,-6.97,0.04
9216,-3.15,0.1,-4.9,0.02
9253,1.2,0.6,1.65,0.02
9321,-9.3,0.6,-6.51,0.02
9589,-8.26,0.6,-7.84,0.03
9609,-1.46,0.6,0.3,0.02
9707,-5.29,0.6,-3.35,0.04
9732,-6.19,0.6,-4.96,0.03
9818,1.07,0.6,-1.44,0.03
9893,-1.1,0.6,-1.35,0.02
10008,-0.8,0.6,-0.04,0.02
10041,2.51,0.6,2.51,0.02
10326,-1.46,0.6,-1.75,0.03
10371,-7.1,0.6,-7.42,0.03
10399,-5.48,0.6,-4.34,0.03
10405,-2.64,0.6,-2.36,0.03
10422,-5.56,0.6,-3.86,0.02
10430,-6.09,0.6,-8.84,0.03
10485,0.84,0.6,0.44,0.02
10486,1.09,0.6,0.83,0.02
10541,-8.7,0.1,-10.64,0.03
10553,1.31,0.6,2.27,0.02
10566,0.4,0.6,1.86,0.03
10686,-1.21,0.6,-0.88,0.03
10687,-6.16,0.6,-5.15,0.03
10722,-3.93,0.1,-4.55,0.03
10740,-2.78,0.1,-2.47,0.04
10784,-6.2,0.6,-3.22,0.04
10822,-4.73,0.6,-3.19,0.03
10823,-4.59,0.6,-2.96,0.03
10824,-7.29,0.6,-7.2,0.03
10864,-0.23,0.6,-0.09,0.02
10870,0.16,0.6,-0.26,0.03
10882,-2.49,0.6,-3.11,0.03
10899,-0.33,0.6,0.97,0.02
10903,-2.1,0.6,-0.71,0.02
10907,2.89,0.6,2.54,0.03
10943,-0.98,0.6,-0.11,0.03
10957,-2.22,0.6,-3.46,0.03
10962,-0.25,0.6,-0.22,0.03
10974,-1.88,0.1,-1.83,0.03
10977,-0.1,0.2,1.08,0.03
10992,0.0,0.6,1.26,0.03
11000,-0.99,0.6,-0.1,0.03
11124,-2.93,0.6,-3.65,0.03
11126,-1.38,0.6,-0.3,0.02
11137,-9.62,0.6,-7.89,0.03
11182,-1.66,0.6,-0.6,0.02
11229,2.56,0.6,2.59,0.03
11239,1.83,0.6,2.45,0.02
11251,-3.24,0.6,-3.08,0.03
11269,2.56,0.6,2.67,0.03
11271,-2.74,0.6,-2.63,0.03
11304,-2.82,0.6,-3.08,0.03
11327,-2.47,0.6,-3.0,0.03
11335,-5.26,0.6,-4.31,0.03
11386,-2.78,0.6,-2.95,0.03
11387,-2.63,0.6,-2.85,0.03
11417,-5.22,0.6,-3.2,0.03
11420,-4.82,0.6,-3.37,0.03
11428,-4.35,0.6,-2.79,0.03
11523,2.11,0.6,1.92,0.03
11526,-4.72,0.6,-3.17,0.03
11542,2.88,0.6,2.69,0.03
11543,-3.92,0.6,-2.78,0.03
11565,-4.84,0.6,-2.87,0.03
11574,0.67,0.6,1.34,0.03
11575,-1.74,0.6,-1.06,0.03
11582,2.93,0.6,2.89,0.03
11583,-3.28,0.6,-3.01,0.03
11587,0.93,0.6,2.36,0.02
11597,1.58,0.6,2.63,0.03
11598,1.01,0.6,2.49,0.02
11610,1.66,0.6,2.76,0.03
11638,-0.22,0.6,0.88,0.01
11643,-0.77,0.6,-0.17,0.02
11721,-2.01,0.6,-0.66,0.02
11903,-0.85,0.1,-0.76,0.03
11916,-9.29,0.6,-8.11,0.03
11940,-3.78,0.1,-4.3,0.04
12083,-6.88,0.6,-6.59,0.03
12101,-6.25,0.6,-5.27,0.03
12160,-0.95,0.6,-0.57,0.03
12180,-2.83,0.6,-3.55,0.03
12206,-2.56,0.6,-3.49,0.03
12217,-2.11,0.6,-2.18,0.03
12230,-1.5,0.2,0.39,0.02
12232,-1.83,0.6,-0.09,0.02
12257,-2.02,0.6,-3.59,0.03
12264,-1.21,0.6,0.14,0.03
12287,-4.01,0.6,-2.77,0.03
12291,-3.88,0.6,-3.47,0.03
12302,-3.09,0.6,-1.45,0.03
12309,0.01,0.6,0.47,0.02
12332,-9.31,0.6,-8.1,0.03
12335,-0.14,0.6,-0.11,0.03
12348,-2.51,0.6,-2.56,0.03
12350,0.6,0.6,0.64,0.03
12369,0.34,0.6,1.22,0.03
12370,0.71,0.6,0.83,0.03
12371,0.29,0.6,1.47,0.03
12375,-3.54,0.6,-3.42,0.04
12418,-1.43,0.1,-0.09,0.03
12463,-1.34,0.6,-0.3,0.03
12468,-1.62,0.6,0.14,0.03
12527,0.08,0.6,0.04,0.03
12580,-5.21,0.69,-5.21,0.03
12732,0.29,0.6,0.55,0.02
12741,-2.34,0.6,-2.57,0.04
12986,1.47,0.6,2.49,0.03
13004,-4.61,0.6,-3.04,0.03
13019,-10.17,0.6,-8.39,0.03
13081,-6.5,0.83,-7.02,0.05
13187,-2.49,0.6,-2.56,0.03
13195,-10.27,0.6,-8.21,0.03
13207,-3.9,0.6,-4.0,0.03
13263,-7.65,0.45,-10.55,0.04
13389,-7.0,0.6,-7.34,0.03
13394,-9.65,0.6,-7.74,0.03
13450,-6.68,0.42,-9.27,0.04
13567,-2.09,0.1,-1.94,0.03
14109,-0.04,0.6,-0.1,0.04
14215,-3.64,1.93,-4.57,0.04
14282,-7.62,0.6,-7.57,0.03
14315,-2.4,0.6,-2.96,0.03
15050,-4.42,0.6,-3.7,0.04
15413,-2.21,0.6,-0.69,0.03
15546,-16.43,1.93,-16.04,0.04
15600,3.16,0.6,3.33,0.03
15625,-3.37,1.0,-2.54,0.04
15758,-17.74,0.78,-16.61,0.03
16003,-4.13,1.36,-4.57,0.04
16270,2.13,0.6,2.1,0.03
16318,-2.98,1.0,0.76,0.05
16628,1.58,0.6,1.69,0.03
16666,-3.2,0.28,-3.35,0.04
17739,-5.26,0.18,-4.13,0.05
17756,-6.4,0.6,-3.94,0.03
18636,-4.53,1.0,-1.15,0.04
19041,2.93,0.6,2.97,0.03
19540,2.55,0.6,2.38,0.03
20274,0.27,0.6,0.23,0.03
20528,-14.21,1.1,-13.6,0.05
20748,-3.3,0.6,-4.38,0.03
20848,-7.98,1.93,-11.25,0.05
22188,-11.14,1.93,-13.77,0.04
22227,-3.75,0.21,-3.34,0.03
26331,-5.45,0.6,-5.81,0.03
26447,-2.53,0.25,-3.52,0.03
27588,-2.28,0.12,-1.23,0.04
30209,-1.66,0.1,-1.6,0.02
31234,-6.92,0.6,-5.77,0.04
31242,-6.13,0.6,-5.45,0.03
31246,-2.92,0.6,-2.7,0.03
31249,-5.71,0.6,-8.68,0.05
31260,-4.42,0.6,-3.24,0.03
31265,-2.23,0.6,-2.93,0.03
31268,-5.48,0.6,-4.28,0.02
31272,-2.64,0.6,-3.41,0.03
31275,-5.06,0.6,-4.27,0.02
31276,-2.21,0.6,-3.07,0.03
31285,2.06,0.6,3.0,0.03
31289,-2.07,0.6,-2.34,0.03
31297,-4.87,0.6,-6.22,0.02
31347,-8.61,0.31,-9.62,0.03
31373,0.1,0.6,1.33,0.02
31420,-11.85,0.35,-15.25,0.04
31423,-4.52,0.6,-6.79,0.04
31645,-9.41,1.93,-13.87,0.04
33500,-2.45,1.37,-1.96,0.04
33643,-0.53,0.6,-0.44,0.02
34468,-5.66,1.93,-7.5,0.04
34586,-3.56,1.0,-3.59,0.04
34591,-5.04,0.6,-5.5,0.03
35454,-3.81,0.14,-2.77,0.04
36401,-3.48,1.0,-1.31,0.04
36613,-3.67,0.12,-3.32,0.04
36980,-2.46,0.1,-1.9,0.04
37037,-4.4,0.1,-0.81,0.04
37207,-3.52,0.1,-4.47,0.04
37247,-2.16,0.1,-1.15,0.04
38019,-3.04,0.1,-1.08,0.04
38251,-3.71,1.0,-1.88,0.04
38252,-3.1,0.1,-4.05,0.04
38253,-4.05,0.1,-3.16,0.04
38254,-4.15,1.0,-2.31,0.04
38306,-3.17,0.1,-0.82,0.04
39253,-4.61,0.25,-0.04,0.05
39912,-7.0,0.64,-10.86,0.05
40818,-5.73,0.1,-6.23,0.03
48889,-3.84,1.0,-2.66,0.04
53167,-7.77,0.6,-8.17,0.03
53476,-8.68,0.76,-9.85,0.04
53479,-7.78,0.77,-8.29,0.06
61362,-4.51,0.1,-3.83,0.03
63079,-4.38,0.22,-0.7,0.04
63088,-3.61,0.13,-0.92,0.04
64689,-25.47,0.22,-18.09,0.07
69027,-2.4,0.6,-3.3,0.03
69672,-18.72,0.64,-17.74,0.03
69720,-4.04,0.6,-5.56,0.04
72099,-8.42,0.16,-13.95,0.05
73272,-15.83,1.22,-15.13,0.03
74626,-3.82,0.6,-5.44,0.03
76122,-4.1,0.6,-3.6,0.03
77650,-9.8,0.6,-7.83,0.03
77918,-7.63,0.12,-8.0,0.03
81226,-5.99,0.1,-5.36,0.03
81713,-11.01,0.6,-9.62,0.04
84179,-9.76,0.2,-8.08,0.04
84440,-5.23,0.6,-5.2,0.04
85254,-8.18,0.1,-6.68,0.03
91662,-1.96,0.1,-0.48,0.04
93462,-6.44,0.38,-5.98,0.04
94221,-4.44,0.43,-3.26,0.04
96257,-4.8,0.39,-5.32,0.03
138975,-11.95,0.6,-10.04,0.04
141897,-5.73,0.6,-5.44,0.04
144381,-6.4,0.6,-5.86,0.03
144702,-4.59,0.6,-3.64,0.03
156391,-10.21,0.18,-12.2,0.05
220639,-2.82,0.6,-1.32,0.03
222536,-4.97,0.6,-8.01,0.03
223106,1.07,0.2,-0.34,0.03
249266,-2.69,0.1,-2.51,0.03
442474,-2.49,0.85,-2.96,0.04
444683,-4.62,0.6,-3.15,0.03
445258,-0.11,0.6,0.21,0.02
447466,-4.22,0.6,-3.34,0.02
637146,0.0,0.6,0.93,0.02
637566,-4.45,0.24,-2.52,0.04
637572,-4.42,0.6,-3.0,0.03
638047,2.52,0.6,2.62,0.03
638098,-4.06,0.6,-2.58,0.03
638186,-0.78,0.6,1.02,0.02
639662,1.68,0.6,2.78,0.03
643820,-4.78,0.25,-2.6,0.04
643833,-1.17,0.6,1.16,0.02
667550,-10.78,0.18,-17.24,0.06
688400,-6.23,1.93,-5.38,0.04
2724159,-4.09,0.17,-3.59,0.03
5281168,-3.68,0.6,-3.12,0.03
5283324,-3.43,0.6,-2.71,0.03
5326160,1.31,0.6,2.37,0.02
5377791,-7.07,1.37,-9.03,0.05
6604183,-12.74,1.93,-13.42,0.04
6993809,-4.2,0.2,-3.49,0.03
6999801,-3.88,0.6,-2.42,0.03
6999971,-4.16,0.6,-3.52,0.03
6999987,-3.73,0.6,-2.91,0.03
7014876,-4.39,0.6,-2.94,0.03
7567598,-2.92,0.6,-1.79,0.03
7568485,-3.3,0.6,-1.98,0.02
9570071,-9.84,0.1,-9.68,0.05
10407447,-4.82,0.1,-5.18,0.04
10909617,-0.45,0.6,-0.22,0.03
11095291,0.1,0.6,-1.16,0.03
12263095,2.97,0.6,3.03,0.03
12309460,-4.23,0.26,-9.79,0.04
12358970,-8.15,0.21,-11.19,0.06
13238893,-1.92,0.6,-3.96,0.03
13800357,2.71,0.6,2.81,0.03
17753912,-1.27,0.6,-0.27,0.03
18927701,-0.8,0.2,-2.32,0.03
21075956,-4.95,0.1,-5.65,0.04
40475911,-9.73,1.93,-14.5,0.04
54289557,-5.73,0.15,-3.89,0.04
76961009,0.5,0.6,0.23,0.02
85364152,-2.55,0.1,-0.97,0.04
86308705,-5.74,1.93,-16.52,0.07
86336697,-9.01,1.93,-8.72,0.04
92272508,-1.82,0.1,-1.86,0.03
101940534,-4.29,0.39,-4.94,0.02
129856713,-1.29,0.6,-3.04,0.04
