Stimulus,Subject,Minimum Activating Concentration [M],log2 (Fold Change),P Value,FDR
Hexanoic_Acid,MOR4-1,1000,1.56,2.88e-09,6.32e-05
Hexanoic_Acid,MOR5-1,1000,1.92,2.91e-12,6.41e-08
Iso_E_Super,MOR158-1,1000,2.54,3.4e-14,7.48e-10
Lyral,MOR120-1,1000,1.38,7.24e-08,0.00159
Methyl_salicylate,MOR19-1,1000,3.16,6.68e-54,1.48e-49
Neryl_isobutyrate,MOR139-1,1000,1.25,4.09e-10,8.98e-06
Nonanal,MOR23-1,1000,1.62,2.89e-09,6.36e-05
Nonanal,MOR30-1,1000,2.22,1.91e-17,4.21e-13
Nonanal,MOR5-1,1000,1.87,1.35e-11,2.98e-07
Nonanethiol,MOR120-1,1000,1.47,7.88e-09,0.000173
Nonanoic_Acid,MOR23-1,1000,1.48,1.04e-07,0.00228
Nonanoic_Acid,MOR25-1,1000,2.38,9.68e-22,2.14e-17
Nonanoic_Acid,MOR30-1,100,2.57,3e-24,6.63e-20
Nonanoic_Acid,MOR5-1,100,1.87,1.84e-11,4.04e-07
Octanal,MOR23-1,100,1.75,8.65e-11,1.9e-06
Octanal,MOR5-1,1000,2.24,2.67e-17,5.89e-13
Octyl_formate,MOR165-1,1000,1.62,6.46e-11,1.42e-06
Olibanum_Coeur_MD,MOR136-1,1000,1.65,2.15e-11,4.74e-07
Olibanum_Coeur_MD,MOR5-1,1000,1.71,1.21e-09,2.65e-05
Pentanoic_Acid,MOR13-1,1000,1.24,8.16e-08,0.00179
Pentanoic_Acid,MOR4-1,1000,1.49,1.52e-08,0.000334
Piperonal,MOR170-1,1000,3.62,1.9e-64,4.19e-60
Piperonal,MOR258-5,1000,2.87,2.35e-48,5.2e-44
Piperonyl_acetate,MOR170-1,1000,2.97,9.55e-39,2.11e-34
Piperonyl_acetate,MOR203-1,1000,2.07,7.94e-21,1.75e-16
Quinoline,MOR139-1,100,1.53,4.01e-15,8.83e-11
Quinoline,MOR170-1,100,1.38,4.01e-07,0.00878
Quinoline,MOR189-1,1000,1.45,1.04e-12,2.29e-08
Quinoline,MOR258-5,1000,2.07,3.98e-22,8.79e-18
Vanillin,MOR170-1,1000,1.6,1.61e-09,3.54e-05
a-Amylcinnamaldehyde_dimethyl_acetal,MOR180-1,1000,1.8,6.93e-15,1.53e-10
benzyl_benzoate,MOR170-1,10,1.6,1.6e-09,3.53e-05
benzyl_benzoate,MOR189-1,1000,1.23,4.09e-09,8.99e-05
beta-Damascone,MOR189-1,1000,2.11,6.8e-29,1.5e-24
beta-ionone,MOR139-1,1000,1.04,3.66e-07,0.00802
beta-ionone,MOR189-1,1000,1.38,1.76e-11,3.87e-07
cis-4-Decenal,MOR5-1,1000,1.72,1.11e-09,2.43e-05
cis-6-Nonenal,MOR5-1,1000,2.2,1.47e-16,3.25e-12
decanedioic_acid,MOR165-1,1000,2.36,2.45e-25,5.41e-21
ethyl_maltol,MOR170-1,1000,1.87,3.23e-13,7.12e-09
ethyl_maltol,MOR199-1,100,2.14,1.83e-23,4.04e-19
ethyl_maltol,MOR258-5,1000,1.21,2.66e-07,0.00583
galaxolide,MOR112-1,100,2.04,2.42e-13,5.34e-09
galaxolide,MOR131-1,1000,1.5,3.77e-09,8.27e-05
galaxolide,MOR9-1,1000,1.71,2.63e-09,5.79e-05
helional,MOR139-1,1000,1.09,8.32e-08,0.00182
helional,MOR170-1,1000,1.53,9.98e-09,0.000219
helional,MOR203-1,1000,1.27,1.46e-07,0.0032
n-Decyl_acetate,MOR119-1,100,2.31,8.44e-16,1.86e-11
trans-2-Methyl-2-butenal,MOR13-1,1000,1.22,1.26e-07,0.00275
