network_for_specie,from_compound_metacyc_id,to_compound_metacyc_id,from_compound_smiles,to_compound_smiles
ORG-5993,GDP-L-GALACTOSE,GDP-D-GLUCOSE,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
ORG-5993,GDP-MANNOSE,GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)C1=O
ORG-5993,MANNOSE-1P,GDP-MANNOSE,O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
ORG-5993,MANNOSE-1P,CPDQT-4,O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,O=P([O-])([O-])O[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O
ORG-5993,GDP-D-GLUCOSE,GDP-MANNOSE,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
ORG-5993,SPERMIDINE,SPERMINE,[NH3+]CCCC[NH2+]CCC[NH3+],[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+]
ORG-5993,SPERMIDINE,5-METHYLTHIOADENOSINE,[NH3+]CCCC[NH2+]CCC[NH3+],CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
ORG-5993,SPERMIDINE,PUTRESCINE,[NH3+]CCCC[NH2+]CCC[NH3+],[NH3+]CCCC[NH3+]
ORG-5993,S-ADENOSYLMETHIONINAMINE,SPERMINE,C[S+](CCC[NH3+])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+]
ORG-5993,S-ADENOSYLMETHIONINAMINE,SPERMIDINE,C[S+](CCC[NH3+])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,[NH3+]CCCC[NH2+]CCC[NH3+]
ORG-5993,5-METHYLTHIOADENOSINE,CPD-560,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,CSC[C@H]1OC(O)[C@H](O)[C@@H]1O
ORG-5993,PUTRESCINE,SPERMIDINE,[NH3+]CCCC[NH3+],[NH3+]CCCC[NH2+]CCC[NH3+]
ORG-5993,XANTHINE,URATE,O=c1[nH]c(=O)c2nc[nH]c2[nH]1,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1
ORG-5993,XANTHOSINE,XANTHINE,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1,O=c1[nH]c(=O)c2nc[nH]c2[nH]1
ORG-5993,GUANOSINE,XANTHOSINE,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1
ORG-5993,GUANOSINE,GUANINE,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,Nc1nc2[nH]cnc2c(=O)[nH]1
ORG-5993,GMP,GUANOSINE,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
ORG-5993,GUANINE,XANTHINE,Nc1nc2[nH]cnc2c(=O)[nH]1,O=c1[nH]c(=O)c2nc[nH]c2[nH]1
ORG-5993,IMP,ADENYLOSUCC,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,O=C([O-])CC(Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O)C(=O)[O-]
ORG-5993,IMP,INOSINE,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
ORG-5993,IMP,XANTHOSINE-5-PHOSPHATE,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1
ORG-5993,ADENYLOSUCC,AMP,O=C([O-])CC(Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O)C(=O)[O-],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
ORG-5993,L-ASPARTATE,ADENYLOSUCC,[NH3+][C@@H](CC(=O)[O-])C(=O)[O-],O=C([O-])CC(Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O)C(=O)[O-]
ORG-5993,L-ASPARTATE,P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE,[NH3+][C@@H](CC(=O)[O-])C(=O)[O-],Nc1c(C(=O)NC(CC(=O)[O-])C(=O)[O-])ncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
ORG-5993,L-ASPARTATE,CARBAMYUL-L-ASPARTATE,[NH3+][C@@H](CC(=O)[O-])C(=O)[O-],NC(=O)N[C@@H](CC(=O)[O-])C(=O)[O-]
ORG-5993,L-ASPARTATE,L-BETA-ASPARTYL-P,[NH3+][C@@H](CC(=O)[O-])C(=O)[O-],[NH3+][C@@H](CC(=O)OP(=O)([O-])[O-])C(=O)[O-]
ORG-5993,PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE,P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE,Nc1c(C(=O)[O-])ncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,Nc1c(C(=O)NC(CC(=O)[O-])C(=O)[O-])ncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
ORG-5993,5-P-BETA-D-RIBOSYL-AMINE,5-PHOSPHO-RIBOSYL-GLYCINEAMIDE,[NH3+][C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,[NH3+]CC(=O)N[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
ORG-5993,GLY,5-PHOSPHO-RIBOSYL-GLYCINEAMIDE,[NH3+]CC(=O)[O-],[NH3+]CC(=O)N[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
ORG-5993,GLY,SER,[NH3+]CC(=O)[O-],[NH3+][C@@H](CO)C(=O)[O-]
ORG-5993,GLY,METHYLENE-THF-GLU-N,[NH3+]CC(=O)[O-],
ORG-5993,AMP,IMP,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
ORG-5993,ADP,DADP,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O1
ORG-5993,DADP,DATP,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O1,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O1
ORG-5993,BENZOATE,CPD-12630,O=C([O-])c1ccccc1,O=C(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1
ORG-5993,BENZOATE,CPD-6441,O=C([O-])c1ccccc1,COC(=O)c1ccccc1
ORG-5993,NARINGENIN-CMPD,DIHYDROKAEMPFEROL-CMPD,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1O
ORG-5993,DIHYDROKAEMPFEROL-CMPD,CPD-474,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1O,O=C1c2c(O)cc([O-])cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O
ORG-5993,DIHYDROKAEMPFEROL-CMPD,LEUCOPELARGONIDIN-CMPD,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1O,Oc1ccc([C@H]2Oc3cc(O)cc(O)c3[C@H](O)[C@@H]2O)cc1
ORG-5993,DIHYDROKAEMPFEROL-CMPD,CPD-7087,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1O,O=C1c2c(O)cc([O-])cc2O[C@H](c2cc(O)c(O)c(O)c2)[C@H]1O
ORG-5993,DIHYDROKAEMPFEROL-CMPD,CPD1F-90,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1O,O=c1c([O-])c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
ORG-5993,GLYCEROL,GLYCEROL-3P,OCC(O)CO,O=P([O-])([O-])OC[C@H](O)CO
ORG-5993,GLYCEROL-3P,ACYL-SN-GLYCEROL-3P,O=P([O-])([O-])OC[C@H](O)CO,
ORG-5993,PHOSPHATIDYLCHOLINE,|2-Lysophosphatidylcholines|,,
ORG-5993,PHOSPHATIDYLCHOLINE,DIACYLGLYCEROL,,
ORG-5993,PHOSPHATIDYLCHOLINE,2-Acylglycero-Phosphocholines,,
ORG-5993,PHOSPHATIDYLCHOLINE,L-PHOSPHATIDATE,,
ORG-5993,PHOSPHATIDYLCHOLINE,CHOLINE,,C[N+](C)(C)CCO
ORG-5993,PHOSPHATIDYLCHOLINE,Diacylglycerides,,
ORG-5993,PHOSPHATIDYL-MYO-INOSITOL-45-BISPHOSPHA,DIACYLGLYCEROL,,
ORG-5993,DIACYLGLYCEROL,L-1-PHOSPHATIDYL-ETHANOLAMINE,,
ORG-5993,DIACYLGLYCEROL,D-Galactosyl-12-diacyl-glycerols,,
ORG-5993,DIACYLGLYCEROL,L-PHOSPHATIDATE,,
ORG-5993,DIACYLGLYCEROL,Triacylglycerols,,
ORG-5993,L-PHOSPHATIDATE,DIACYLGLYCEROL-PYROPHOSPHATE,,
ORG-5993,L-PHOSPHATIDATE,CDPDIACYLGLYCEROL,,
ORG-5993,1-2-Diglycerides,CPD-409,,
ORG-5993,INOSITOL-1-4-5-TRISPHOSPHATE,CPD-506,O=P([O-])([O-])O[C@@H]1[C@@H](O)[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@H]1O,O=P([O-])([O-])O[C@H]1[C@@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@@H]1OP(=O)([O-])[O-]
ORG-5993,INOSITOL-1-4-5-TRISPHOSPHATE,INOSITOL-1-4-BISPHOSPHATE,O=P([O-])([O-])O[C@@H]1[C@@H](O)[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@H]1O,O=P([O-])([O-])O[C@@H]1[C@@H](O)[C@@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](O)[C@H]1O
ORG-5993,CPD-506,CPD-1107,O=P([O-])([O-])O[C@H]1[C@@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@@H]1OP(=O)([O-])[O-],O=P([O-])([O-])O[C@H]1[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@H](OP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@@H]1OP(=O)([O-])[O-]
ORG-5993,1-PHOSPHATIDYL-1D-MYO-INOSITOL-5-PHOSPHA,PHOSPHATIDYL-MYO-INOSITOL-45-BISPHOSPHA,,
ORG-5993,L-1-phosphatidyl-inositols,CPD-1108,,
ORG-5993,FERULOYL-COA,CPD-12214,COc1cc(/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)([O-])[O-])ccc1O,COc1cc(/C=C/C(=O)NCCCCN(CCCNC(=O)/C=C/c2ccc(O)c(OC)c2)C(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O
ORG-5993,FERULOYL-COA,CPD-440,COc1cc(/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)([O-])[O-])ccc1O,COc1cc(/C=C/C(=O)NCCc2ccc(O)cc2)ccc1O
ORG-5993,CAFFEOYL-COA,CPD-12213,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccc(O)c(O)c1,O=C(/C=C/c1ccc(O)c(O)c1)NCCCCN(CCCNC(=O)/C=C/c1ccc(O)c(O)c1)C(=O)/C=C/c1ccc(O)c(O)c1
ORG-5993,P-COUMAROYL-COA,CPD-12212,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccc(O)cc1,O=C(/C=C/c1ccc(O)cc1)NCCCCN(CCCNC(=O)/C=C/c1ccc(O)cc1)C(=O)/C=C/c1ccc(O)cc1
ORG-5993,CPD-15870,CPD-15871,Nc1nc2c(c(=O)[nH]1)N[C@H]1C3=C(S[Mo](=O)(=O)([O-])S3)[C@@H](COP(=O)([O-])[O-])O[C@H]1N2,Nc1nc2c(c(=O)[nH]1)N[C@H]1C3=C(S[Mo](=O)([O-])(=S)S3)[C@@H](COP(=O)([O-])[O-])O[C@H]1N2
ORG-5993,PRECURSOR-Z,CPD-4,Nc1nc2c(c(=O)[nH]1)N[C@H]1C(=O)C3OP(=O)([O-])OCC3O[C@H]1N2,Nc1nc2c(c(=O)[nH]1)N[C@H]1C(S)=C([S-])[C@@H](COP(=O)([O-])[O-])O[C@H]1N2
ORG-5993,CPD-4,CPD-8122,Nc1nc2c(c(=O)[nH]1)N[C@H]1C(S)=C([S-])[C@@H](COP(=O)([O-])[O-])O[C@H]1N2,Nc1nc2c(c(=O)[nH]1)N[C@H]1C(S)=C([S-])[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)O[C@H]1N2
ORG-5993,GTP,PRECURSOR-Z,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,Nc1nc2c(c(=O)[nH]1)N[C@H]1C(=O)C3OP(=O)([O-])OCC3O[C@H]1N2
ORG-5993,GTP,CPD-12366,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,Nc1nc2c([nH]c(=O)n2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
ORG-5993,CPD-8122,CPD-8123,Nc1nc2c(c(=O)[nH]1)N[C@H]1C(S)=C([S-])[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)O[C@H]1N2,Nc1nc2c(c(=O)[nH]1)N[C@H]1C3=C(S[Mo](=O)(=O)S3)[C@@H](COP(=O)([O-])[O-])O[C@H]1N2
ORG-5993,CARBAMATE,AMMONIA,NC(=O)[O-],N
ORG-5993,CARBAMATE,CARBON-DIOXIDE,NC(=O)[O-],O=C=O
ORG-5993,CARBON-DIOXIDE,HCO3,O=C=O,O=C([O-])O
ORG-5993,CARBON-DIOXIDE,CPD-9406,O=C=O,CC[C@@H](C(=O)[O-])C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
ORG-5993,CARBON-DIOXIDE,METHYL-MALONYL-COA,O=C=O,C[C@H](C(=O)[O-])C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
ORG-5993,HCO3,CARBON-DIOXIDE,O=C([O-])O,O=C=O
ORG-5993,HCO3,CARBAMATE,O=C([O-])O,NC(=O)[O-]
ORG-5993,HCO3,OXALACETIC_ACID,O=C([O-])O,O=C([O-])CC(=O)C(=O)[O-]
ORG-5993,CPD-69,CARBON-DIOXIDE,N#C[O-],O=C=O
ORG-5993,CPD-69,CARBAMATE,N#C[O-],NC(=O)[O-]
ORG-5993,HOMO-CYS,MET,[NH3+][C@@H](CCS)C(=O)[O-],CSCC[C@H]([NH3+])C(=O)[O-]
ORG-5993,HOMO-CYS,L-CYSTATHIONINE,[NH3+][C@@H](CCS)C(=O)[O-],[NH3+][C@@H](CCSC[C@H]([NH3+])C(=O)[O-])C(=O)[O-]
ORG-5993,MET,S-ADENOSYLMETHIONINE,CSCC[C@H]([NH3+])C(=O)[O-],C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
ORG-5993,MET,CPD-397,CSCC[C@H]([NH3+])C(=O)[O-],C[S+](C)CC[C@H]([NH3+])C(=O)[O-]
ORG-5993,ADENOSYL-HOMO-CYS,HOMO-CYS,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O,[NH3+][C@@H](CCS)C(=O)[O-]
ORG-5993,S-ADENOSYLMETHIONINE,CPD-68,C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,[NH3+]C1(C(=O)[O-])CC1
ORG-5993,S-ADENOSYLMETHIONINE,CPD-12221,C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,CBr
ORG-5993,S-ADENOSYLMETHIONINE,CPD-845,C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,CCl
ORG-5993,S-ADENOSYLMETHIONINE,CPD-7676,C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,CI
ORG-5993,GLT,GLN,[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],NC(=O)CC[C@H]([NH3+])C(=O)[O-]
ORG-5993,GLT,Charged-GLT-tRNAs,[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],
ORG-5993,GLT,2-KETOGLUTARATE,[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],O=C([O-])CCC(=O)C(=O)[O-]
ORG-5993,GLT,GLUTAMYL-TRNA-GLN,[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-],
ORG-5993,GLN,GLT,NC(=O)CC[C@H]([NH3+])C(=O)[O-],[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]
ORG-5993,GLN,CTP,NC(=O)CC[C@H]([NH3+])C(=O)[O-],Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1
ORG-5993,GLN,PYRIDOXAL_PHOSPHATE,NC(=O)CC[C@H]([NH3+])C(=O)[O-],Cc1ncc(COP(=O)([O-])[O-])c(C=O)c1O
ORG-5993,AMMONIUM,GLN,[NH4+],NC(=O)CC[C@H]([NH3+])C(=O)[O-]
ORG-5993,CPD-1091,UREA,NC(=O)N[C@H](O)C(=O)[O-],NC(N)=O
ORG-5993,CPD-1091,GLYOX,NC(=O)N[C@H](O)C(=O)[O-],O=CC(=O)[O-]
ORG-5993,CPD0-2298,CPD-1091,NC(=O)N[C@@H]([NH3+])C(=O)[O-],NC(=O)N[C@H](O)C(=O)[O-]
ORG-5993,DIACYLGLYCEROL-PYROPHOSPHATE,L-PHOSPHATIDATE,,
ORG-5993,CPD-8158,CPD-8159,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C
ORG-5993,CPD-8157,CPD-8158,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C
ORG-5993,CPD-8090,1-183-2-183-SN-GLYCEROL-PHOSPHOCHOLINE,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC
