"compound.name","SMILES","chemical.cluster","amount.in.jar","number.trials","number.correct.trials","p.value","mean.confidence.in.choice","initial.odor.class","QC.reclassified","reclassified.reason","final.odor.class"
"acetyl methyl carbinol","CC(=O)C(O)C",23,"1g",55,55,5.42541348929088e-27,0.875090909090909,"Odor","no",NA,"Odor"
"adipic acid","C(CCC(=O)O)CC(=O)O",6,"1g",90,34,0.21358085874797,0.150666666666667,"Odorless","no",NA,"Odorless"
"aldehyde c-14","CCCCCCC[C@@H]1CCC(=O)O1",26,"1mL",70,69,5.25971781728424e-32,0.917714285714286,"Odor","no",NA,"Odor"
"allyl phenylacetate","C=CCOC(=O)CC1=CC=CC=C1",22,"1mL",55,55,5.42541348929088e-27,0.948545454545455,"Odor","no",NA,"Odor"
"alpha-terpineol","CC1=CCC(CC1)C(O)(C)C",25,"1mL",60,57,6.2695719960047e-24,0.925166666666667,"Odor","no",NA,"Odor"
"aspartic acid","C([C@@H](C(=O)O)N)C(=O)O",6,"1g",70,64,3.30486301702008e-24,0.779142857142857,"Odor","yes","target not found in GCMS spectra","Odorless"
"benzaldehyde","C1=CC=C(C=C1)C=O",14,"1mL",60,60,2.22153935051535e-29,0.9065,"Odor","no",NA,"Odor"
"benzocaine","CCOC(=O)C1=CC=C(C=C1)N",28,"1g",90,21,0.985131390519562,0.154444444444444,"Odorless","no",NA,"Odorless"
"beta-cyclodextrin","OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]3[C@@H](CO)O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]3[C@@H](CO)O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]3[C@H](O[C@H](O[C@@H]4[C@H](O[C@H](O[C@@H]5[C@H](O[C@H](O[C@H]1[C@H]([C@H]2O)O)[C@H](O)[C@H]5O)CO)[C@H](O)[C@H]4O)CO)[C@H](O)[C@H]3O)CO",20,"1g",75,37,0.00293128614481321,0.260533333333333,"Odor","yes","target not found in GCMS spectra","Odorless"
"beta-ionone","CC1=C(C(CCC1)(C)C)C=CC(=O)C",5,"1mL",55,55,5.42541348929088e-27,0.906727272727273,"Odor","no",NA,"Odor"
"borneol","CC1(C2CCC1(C(C2)O)C)C",13,"1g",85,85,2.55717145592966e-41,0.977058823529412,"Odor","no",NA,"Odor"
"caffeine","CN1C=NC2=C1C(=O)N(C(=O)N2C)C",19,"1g",95,39,0.0691791941167667,0.130842105263158,"Odorless","no",NA,"Odorless"
"camphor","CC1(C2CCC1(C(=O)C2)C)C",13,"1g",60,60,2.22153935051535e-29,0.773833333333333,"Odor","no",NA,"Odor"
"chlorothymol","CC(c1ccc(c(c1O)Cl)C)C",28,"1g",55,55,5.42541348929088e-27,0.841454545454545,"Odor","no",NA,"Odor"
"cis-2-nonen-1-ol","CCCCCC/C=C\CO",16,"1mL",75,75,1.52516739715073e-36,0.945733333333333,"Odor","no",NA,"Odor"
"cis-3-hexenyl acetate","CC/C=C\CCOC(=O)C",2,"1mL",70,69,5.25971781728424e-32,0.879571428571429,"Odor","no",NA,"Odor"
"cis-3-hexenyl phenylacetate","CC/C=C\CCOC(=O)CC1=CC=CC=C1",22,"1mL",55,51,3.09607936638695e-20,0.789818181818182,"Odor","no",NA,"Odor"
"citral","CC(=CCCC(=CC=O)C)C",2,"1mL",60,60,2.22153935051535e-29,0.9465,"Odor","no",NA,"Odor"
"citronellal","O=CCC(CCC=C(C)C)C",2,"1mL",60,59,2.69206538772811e-27,0.840666666666667,"Odor","no",NA,"Odor"
"coumarin","C1=CC=C2C(=C1)C=CC(=O)O2",3,"1g",70,69,5.25971781728424e-32,0.856714285714286,"Odor","no",NA,"Odor"
"cyclotene","CC1=C(C(=O)CC1)O",11,"1g",85,85,2.55717145592966e-41,0.964941176470588,"Odor","no",NA,"Odor"
"d-(+)-sucrose octaacetate","CC(=O)OC[C@]1(O[C@H]2O[C@@H](COC(=O)C)[C@@H]([C@H]([C@@H]2OC(=O)C)OC(=O)C)OC(=O)C)O[C@H]([C@@H]([C@H]1OC(=O)C)OC(=O)C)COC(=O)C",9,"0.5g",75,65,1.42065939917915e-21,0.6416,"Odor","yes","target not found in GCMS spectra","Odorless"
"d-decalactone","CCCCCC1CCCC(=O)O1",30,"1mL",60,60,2.22153935051535e-29,0.794166666666667,"Odor","no",NA,"Odor"
"d-undecalactone","CCCCCCC1CCCC(=O)O1",30,"1mL",70,70,3.72474328127861e-34,0.945285714285714,"Odor","no",NA,"Odor"
"dimethyl benzyl carbinyl butyrate","CCCC(=O)OC(Cc1ccccc1)(C)C",12,"1mL",70,64,3.30486301702008e-24,0.742285714285714,"Odor","no",NA,"Odor"
"dimethyl phthalate","COC(=O)C1=CC=CC=C1C(=O)OC",19,"1mL",70,68,3.66151241097359e-30,0.761857142857143,"Odor","no",NA,"Odor"
"dimethylthiomethane","CSCSC",15,"0.2uL",70,70,3.72474328127861e-34,0.989285714285714,"Odor","no",NA,"Odor"
"diosmin","COc1ccc(cc1O)c1cc(=O)c2c(o1)cc(cc2O)O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O)[C@H]([C@@H]([C@H]1O)O)O",9,"0.5g",75,64,1.69750938902217e-20,0.728133333333333,"Odor","yes","no odor corresponding to target RT","Odorless"
"ethyl 2-furoate","CCOC(=O)C1=CC=CO1",28,"1g",130,130,8.27466376992819e-63,0.880461538461538,"Odor","no",NA,"Odor"
"ethyl 3-(furfurylthio)propionate","CCOC(=O)CCSCC1=CC=CO1",22,"1mL",80,80,6.24508969792133e-39,0.951875,"Odor","no",NA,"Odor"
"ethyl 3-methyl-3-phenylglycidate","CCOC(=O)C1C(O1)(C)C2=CC=CC=C2",12,"1mL",85,80,2.78975202937752e-32,0.716588235294118,"Odor","no",NA,"Odor"
"ethyl pentadecanoate","CCCCCCCCCCCCCCC(=O)OCC",8,"1mL",75,72,8.44823122801756e-31,0.784666666666667,"Odor","yes","target not found in GCMS spectra","Odorless"
"ethylene brassylate","C1CCCCCC(=O)OCCOC(=O)CCCCC1",1,"1mL",70,53,4.66932143147917e-13,0.475714285714286,"Odor","no",NA,"Odor"
"ethylene glycol","C(CO)O",18,"1mL",85,73,1.52558369931584e-23,0.444588235294118,"Odor","no",NA,"Odor"
"fenofibrate","CC(OC(=O)C(Oc1ccc(cc1)C(=O)c1ccc(cc1)Cl)(C)C)C",17,"0.5g",75,31,0.0894274164345559,0.159466666666667,"Odorless","no",NA,"Odorless"
"finasteride","O=C1C=C[C@]2([C@H](N1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)NC(C)(C)C)C)C",4,"0.06g",70,24,0.475160415472793,0.129285714285714,"Odorless","no",NA,"Odorless"
"formaldehyde diethylacetal","CCOCOCC",15,"1mL",70,70,3.72474328127861e-34,0.998285714285714,"Odor","no",NA,"Odor"
"galaxolide","CC1COCc2c1cc1c(c2)C(C(C1(C)C)C)(C)C",24,"10mg",75,73,1.72108789721036e-32,0.815733333333333,"Odor","no",NA,"Odor"
"gamma decalactone","CCCCCCC1CCC(=O)O1",30,"1mL",70,70,3.72474328127861e-34,0.991428571428571,"Odor","no",NA,"Odor"
"geranylacetone","CC(=CCC/C(=C/CCC(=O)C)/C)C",26,"1mL",75,69,2.07119633143903e-26,0.7804,"Odor","no",NA,"Odor"
"glycyrrhizic acid","O[C@@H]1[C@@H](O[C@H]2O[C@H](C(=O)O)[C@H]([C@H]([C@@H]2O)O)O)[C@@H](O[C@@H]([C@H]1O)C(=O)O)O[C@@H]1CC[C@@]2([C@@H](C1(C)C)CC[C@@]1([C@H]2C(=O)C=C2[C@@]1(C)CC[C@@]1([C@H]2C[C@](C)(CC1)C(=O)O)C)C)C",20,"1g",65,25,0.224377786453922,0.0946153846153846,"Odorless","no",NA,"Odorless"
"hexyl 2-methylbutanoate","CCCCCCOC(=O)C(CC)C",30,"1mL",75,75,1.52516739715073e-36,0.908933333333333,"Odor","no",NA,"Odor"
"hydratropaldehyde dimethylacetal","COC(C(c1ccccc1)C)OC",12,"1mL",55,55,5.42541348929088e-27,0.804727272727273,"Odor","no",NA,"Odor"
"isoamyl octanoate","CCCCCCCC(=O)OCCC(C)C",10,"1g",60,58,1.60449733289614e-25,0.949166666666667,"Odor","no",NA,"Odor"
"isoeugenyl phenylacetate","CC=Cc1ccc(c(c1)OC)OC(=O)Cc1ccccc1",29,"1mL",70,70,3.72474328127861e-34,0.990571428571429,"Odor","yes","target not found in GCMS spectra","Odorless"
"l-arginine","C(CC(C(=O)O)N)CN=C(N)N",6,"1g",90,23,0.955241499794438,0.143555555555556,"Odorless","no",NA,"Odorless"
"l-ascorbic acid","OCC(C1OC(=C(C1=O)O)O)O",11,"1g",70,27,0.20790185756856,0.140714285714286,"Odorless","no",NA,"Odorless"
"l-isoleucine","CCC(C)C(C(=O)O)N",27,"1g",70,65,1.51008980969174e-25,0.730142857142857,"Odor","yes","target not found in GCMS spectra","Odorless"
"l-leucine","CC(C)CC(C(=O)O)N",27,"1g",85,47,2.51805703609855e-05,0.216235294117647,"Odor","yes","target not found in GCMS spectra","Odorless"
"l-valine","CC(C)C(C(=O)O)N",23,"1g",55,44,1.53634278530633e-12,0.313636363636364,"Odor","yes","target not found in GCMS spectra","Odorless"
"linalyl acetate","C=CC(OC(=O)C)(CCC=C(C)C)C",26,"1mL",60,58,1.60449733289614e-25,0.948,"Odor","no",NA,"Odor"
"linalyl benzoate","C=CC(OC(=O)c1ccccc1)(CCC=C(C)C)C",29,"1mL",70,69,5.25971781728424e-32,0.869285714285714,"Odor","no",NA,"Odor"
"lovastatin","CC[C@@H](C(=O)O[C@H]1C[C@@H](C)C=C2[C@H]1[C@@H](CC[C@@H]1C[C@@H](O)CC(=O)O1)[C@H](C=C2)C)C",4,"0.25g",80,22,0.890096751365228,0.096875,"Odorless","no",NA,"Odorless"
"maltol","CC1=C(C(=O)C=CO1)O",14,"1g",70,64,3.30486301702008e-24,0.899142857142857,"Odor","no",NA,"Odor"
"menthol","CC1CCC(C(C1)O)C(C)C",25,"1g",95,95,4.28748074948202e-46,0.782631578947368,"Odor","no",NA,"Odor"
"menthyl isovalerate","CC1CCC(C(C1)OC(=O)CC(C)C)C(C)C",1,"1mL",70,43,1.35240329388932e-06,0.206,"Odor","no",NA,"Odor"
"methyl 2-methylbutyrate","CCC(C)C(=O)OC",27,"1mL",60,60,2.22153935051535e-29,0.82,"Odor","no",NA,"Odor"
"methyl acetate","CC(=O)OC",18,"1mL",75,73,1.72108789721036e-32,0.951866666666667,"Odor","no",NA,"Odor"
"methyl benzoate","COC(=O)C1=CC=CC=C1",3,"1g",85,84,4.37929050416686e-39,0.910823529411765,"Odor","no",NA,"Odor"
"methyl laurate","CCCCCCCCCCCC(=O)OC",10,"1mL",65,56,1.6367257150261e-18,0.604461538461538,"Odor","no",NA,"Odor"
"nabumetone","CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC",19,"1g",95,66,6.5591778377815e-13,0.291157894736842,"Odor","yes","target not found in GCMS spectra","Odorless"
"neryl isobutyrate","CC(=CCOC(=O)C(C)C)CCC=C(C)C",1,"1mL",80,80,6.24508969792133e-39,0.950125,"Odor","no",NA,"Odor"
"nonan-2-ol","CCCCCCCC(C)O",16,"1mL",70,70,3.72474328127861e-34,0.840857142857143,"Odor","no",NA,"Odor"
"nootkatone","O=C1CC(C)C2(C(=C1)CCC(C2)C(=C)C)C",24,"0.5g",75,70,8.79377258709206e-28,0.798266666666667,"Odor","no",NA,"Odor"
"nystatin","OC1CCC(O)C(O)CC(=O)CC(O)C(C(=O)O)C(O)CC(/C=C/C=C/C=C/C=C/CC/C=C/C=C/C(C(C(C(OC(=O)CC(CC(C1)O)O)C)C)O)C)O[C@@H]1O[C@H](C)[C@H]([C@@H]([C@@H]1O)N)O",20,"0.5g",75,58,7.0932351920168e-15,0.614133333333333,"Odor","no",NA,"Odor"
"octisalate","CCCCC(COC(=O)c1ccccc1O)CC",29,"250uL",75,40,0.000276361614302474,0.292133333333333,"Odor","no",NA,"Odor"
"pentylamine","CCCCCN",15,"50uL",70,57,1.66057051429835e-16,0.548285714285714,"Odor","no",NA,"Odor"
"phenanthrene","C1=CC=C2C(=C1)C=CC3=CC=CC=C32",19,"1g",95,87,1.41401875832769e-32,0.609894736842105,"Odor","no",NA,"Odor"
"phenethyl benzoate","C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2",22,"1mL",70,68,3.66151241097359e-30,0.823428571428571,"Odor","no",NA,"Odor"
"piperine","C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3",29,"1g",80,80,6.24508969792133e-39,0.924875,"Odor","yes","target not found in GCMS spectra","Odorless"
"polyethylene glycol sorbitan monostearate","OCCOC(C1OCC(C1OCCO)OCCO)COCCOC(=O)CCCCCCCCCCC",7,"1g",65,62,3.27013102702519e-26,0.673538461538462,"Odor","yes","target not found in GCMS spectra","Odorless"
"progesterone","O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C",4,"1g",70,21,0.759652719264673,0.141428571428571,"Odorless","no",NA,"Odorless"
"propionaldehyde","CCC=O",18,"1mL",70,66,5.66472162123978e-27,0.812571428571429,"Odor","no",NA,"Odor"
"pyridine","C1=CC=NC=C1",18,"5uL",70,67,1.67511321518992e-28,0.903857142857143,"Odor","no",NA,"Odor"
"rac-glycerol 1-myristate","CCCCCCCCCCCCCC(=O)OCC(CO)O",8,"0.05g",75,29,0.192952670737784,0.206266666666667,"Odorless","no",NA,"Odorless"
"ramipril","CCOC(=O)[C@@H](N[C@H](C(=O)N1[C@H]2CCC[C@H]2C[C@H]1C(=O)O)C)CCc1ccccc1",17,"0.25g",80,39,0.0030060913861886,0.169625,"Odor","yes","target not found in GCMS spectra","Odorless"
"reserpine","COc1ccc2c(c1)[nH]c1c2CCN2[C@@H]1C[C@H]1[C@@H](C2)C[C@H]([C@@H]([C@H]1C(=O)OC)OC)OC(=O)c1cc(OC)c(c(c1)OC)OC",9,"0.25g",70,64,3.30486301702008e-24,0.660428571428571,"Odor","yes","target not found in GCMS spectra","Odorless"
"simvastatin","CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C",4,"10mg",65,20,0.710169456463534,0.0990769230769231,"Odorless","no",NA,"Odorless"
"spansorbitan stearate","CCCCCCCCCCCCCCCCCC(=O)OCC([C@H]1OC[C@H]([C@@H]1O)O)O",7,"1g",65,58,8.70217784251291e-21,0.623538461538462,"Odor","yes","target not found in GCMS spectra","Odorless"
"spiramycin","O=CC[C@H]1C[C@@H](C)[C@H](/C=C/C=C/C[C@H](OC(=O)C[C@H]([C@@H]([C@H]1OC1OC(C)C(C(C1O)N(C)C)OC1OC(C)C(C(C1)(C)O)O)OC)O)C)OC1CCC(C(O1)C)N(C)C",20,"0.5g",65,53,1.7160870959304e-15,0.646307692307692,"Odor","yes","target not found in GCMS spectra","Odorless"
"squalene","C/C(=C\CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/CC/C=C(/CCC=C(C)C)\C",7,"1mL",65,62,3.27013102702519e-26,0.822,"Odor","yes","target not found in GCMS spectra","Odorless"
"stearic acid","CCCCCCCCCCCCCCCCCC(=O)O",8,"1g",90,74,1.68697891000329e-21,0.477222222222222,"Odor","yes","target not found in GCMS spectra","Odorless"
"succinic acid","C(CC(=O)O)C(=O)O",23,"1g",75,25,0.54089183729875,0.148266666666667,"Odorless","no",NA,"Odorless"
"sucrose","C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O",21,"1g",95,78,1.65475819955216e-22,0.444842105263158,"Odor","yes","target not found in GCMS spectra","Odorless"
"sulfadoxin","COc1c(OC)ncnc1NS(=O)(=O)c1ccc(cc1)N",21,"1g",75,27,0.350097165423659,0.1616,"Odorless","no",NA,"Odorless"
"sulfameter","COc1cnc(nc1)NS(=O)(=O)c1ccc(cc1)N",21,"1g",75,38,0.00140170433700426,0.2636,"Odor","yes","target not found in GCMS spectra","Odorless"
"sulfamethoxypyridazine","COc1ccc(nn1)NS(=O)(=O)c1ccc(cc1)N",21,"1g",75,39,0.000638060046149098,0.213733333333333,"Odor","yes","target not found in GCMS spectra","Odorless"
"sulfanilamide","C1=CC(=CC=C1N)S(=O)(=O)N",3,"1g",90,23,0.955241499794438,0.132,"Odorless","no",NA,"Odorless"
"suloctidil","CCCCCCCCN[C@@H]([C@H](c1ccc(cc1)SC(C)C)O)C",29,"0.25g",80,46,7.67541362151846e-06,0.19975,"Odor","yes","target not found in GCMS spectra","Odorless"
"sulpiride","CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC",17,"1g",85,42,0.00153197769707422,0.239411764705882,"Odor","yes","target not found in GCMS spectra","Odorless"
"terconazole","Clc1ccc(c(c1)Cl)[C@]1(OC[C@@H](O1)COc1ccc(cc1)N1CCN(CC1)C(C)C)Cn1cncn1",9,"100mg",70,26,0.28611386358819,0.0798571428571429,"Odorless","no",NA,"Odorless"
"tonalide","CC1CC(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)(C)C",24,"0.4g",55,55,5.42541348929088e-27,0.916545454545455,"Odor","no",NA,"Odor"
"trans-2-methyl-2-butenoic acid","C/C(=C\C)/C(=O)O",23,"1g",65,65,9.09651788869127e-32,1,"Odor","no",NA,"Odor"
"trans-cinnamic acid","C1=CC=C(C=C1)/C=C/C(=O)O",3,"1g",80,70,1.14896145563233e-23,0.6965,"Odor","no",NA,"Odor"
"trans,trans-2,4-undecadienal","CCCCCCC=CC=CC=O",16,"1mL",70,70,3.72474328127861e-34,0.785857142857143,"Odor","no",NA,"Odor"
"triacetin","CC(=O)OCC(COC(=O)C)OC(=O)C",6,"1mL",80,67,1.81566808453248e-20,0.48875,"Odor","no",NA,"Odor"
"tributyl-2-acetylcitrate","C(CCC)OC(C(C(O)(C(=O)OCCCC)CC(=O)OCCCC)C(C)=O)=O",17,"1mL",60,43,1.42691331349619e-09,0.2625,"Odor","yes","target not found in GCMS spectra","Odorless"
"tributyrin","CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC",1,"1mL",80,77,4.20347242209203e-33,0.80825,"Odor","no",NA,"Odor"
"triethylene glycol","C(COCCOCCO)O",16,"1mL",85,80,2.78975202937752e-32,0.665294117647059,"Odor","no",NA,"Odor"
"undecanoic acid","CCCCCCCCCCC(=O)O",10,"1g",70,68,3.66151241097359e-30,0.822857142857143,"Odor","no",NA,"Odor"
"valencene","CC1CCC=C2C1(CC(CC2)C(=C)C)C",5,"1mL",60,59,2.69206538772811e-27,0.808333333333333,"Odor","no",NA,"Odor"
"vanillin","COC1=C(C=CC(=C1)C=O)O",3,"1g",60,60,2.22153935051535e-29,0.780666666666667,"Odor","no",NA,"Odor"
