Stimulus,Description
95,"Peculiar herbaceous-fruity odor, softer than Amylsalicylate, slightly more fruity, not as harsh. A faint undertone of ‘“Wintergreen” character."
96,"Pungent-fruity, diffusive, Pineapple-1ike, sweet odor."
97,"Extremely penetrating, pungent and stinging odor."
98,"Mild, herbaceous-fruity odor with a faint green note."
99,"Vinous-fruity, fatty and powerful Banana- Pineapple type odor with Coconut-like background. Also reminiscent of Peach and Mango."
100,"Fatty, Coconut-Pineapple type odor, powerful Rum-like background, reminiscent of Rum-residue, heavy, oily-sweet"
101,"Powerful winey-fruity, “fermented”, Applelike odor."
102,"White crystals of Vanillin-like odor, somewhat weaker than Vanillin, but also more naturaI Vanilla-like."
103,Arnbrein is an odorless solid material
104,"rich and extremely tenacious floral-musky, sweet odor."
105,"Faint, musky odor, weaker than Ambrelto-lide"
106,"Faint, musky odor, weaker than Ambret{olide."
107,"The title materials are bridly mentioned in this work because of their potential interest to the perfumer. “They are natural components of Ambregris, and they are considered of major importance to the olfactory properties of natural Ambregris and Ambre~is tincture."
108,"Heavy-sweet, somewhat animal-floral odor of considerable tenacity, faintly reminiscent of tobacco leaf odor."
109,"In the dry state, this chemical has only a very faint caramellicsweet odor."
110,Practically odorless in the dry state.
111,"Virtually odorless when pure. Commercial products often have a slightly sweet-musty, bland odor."
112,"Strong odor of Ammonia,"
113,Strong aqueous solutions and heated crystals show odor of Ammonia.
114,"Powerful and very diffusive, volatile odor. Violent chemical reaction upon mucous membranes."
115,used in flavors
116,Its strong odor is mainly due to decomposition which takes place even at room temperature.
117,"The compound material has a sharp, cheesy, but also somewhat sweet odor and taste."
118,"Pronounced fruity-fresh odor, sweet but slightly nauseating. In dilution reminiscent of Pear, Banana, Apple. Very volatile."
119,"Powerful and diffusive, fruity, Banana-like odor, also resembling ‘“overripe Pears”."
120,"Fresh-minty, fruity odor, not quite as sweet as the common iso-Amyl acetate."
121,"Fruity-fresh, somewhat green odor, reminiscent of Apples, not quite as sweet as the odor of the iso-Amyl acetate."
122,"Ethereal-fruity, somewhat green-herbaceous, winey-sweet odor."
123,"Peculiar green-leafy, “foliage” type odor, not as “fatty” as Octanal."
124,"Somewhat harsh, chemical odor, reminiscent of Fusel oil, but not as heavy, however, more penetrating, nauseating, cough-provoking. Only in high dilution fairly pleasant."
125,"Choking, disagreeable, cough-provoking, somewhat alcoholic odor, only in high dilution becoming pleasant, fruity-winey."
126,"Winey-ethereal, rather choking odor, somewhat drier than that of commercial 4’Amyl alcohol”."
127,"Unpleasant Ammonia type odor with a decay-like, “decomposition”’ odor."
128,"Warm-herbaceous, yet refreshing-ethereal odor with winey-fruity undertones."
129,"Mild, sweet floral odor reminiscent of Heliotrope, fresh, soft, agreable and very tenacious."
130,"Fruity-Plum-like, Ambre-Neroli type of odor"
131,"Balsamic, mild, sweet, slightly musky Ambre- type odor. Fruity cloverlike background. Quite tenacious."
132,"Peculiar green-floral, sweet and somewhat herbaceous odor of good tenacity."
133,Sweet and somewhat honey-like odor of good tenacity.
134,"Floral-fruity odor, somewhat greener, more herbaceous than Benzyl acetate, and much more tenacious. Overall more Gardenia-like, less Jasmin-like."
135,"Strong ethereal-fruity odor, reminiscent of Apricot, Banana, Pineapple."
136,"Powerful and diffusive fruity, sweet Apricot-Banana-Pineapple-like odor, somewhat sharper than that of the iso-Amyl-iso-buty rate."
137,"Fruity-Apricot-Pineapple type odor, softer and sweeter than that of the iso-Amyl-n-butyrate."
138,"Fruity, heavy-sweet, diffusive odor, reminiscent of Banana and Peach."
139,"Musky, Ambregris-like odor with an oilyfatty note."
140,"Oily-winey, brandy-like odor with mild fruity undertones."
141,"Pungent-fruity, yet refreshing odor, reminiscent of Pineapple, Apple, and remotely of Pear."
142,"Somewhat sharp, Apple-Banana-Pineapplelike odor."
143,"Sweet-oily, fruity odor with distinct “perfumey” floralness: Orris-Elderflower notes, under a Banana-like topnote."
144,"Peculiar oily-fruity, slightly animal odor reminiscent of Elderflower, with orris undertones."
145,practically odorless.
146,"Faintly balsamic, mild Ambre-like, Cocoabean-like (fresh beans), with undertones of Orchid-Labdanum, slightly animal and very tenacious odor."
147,"Very mild, oily-waxy-floral, sweet and pleasant, tenacious odor."
148,"Very mild oily -herbaceous and somewhat floral odor, reminiscent of many types of natural flowers, but mostly of Jasmin, Gardenia and Tuberose."
149,"Warm-oily, herbaceous odor, less floral, but warmer than n-Amy lcinnamic aldehyde, Its lower boiling point results in a poorer tenacity and a somewhat less delicate initial note."
150,"Practically odorless when pure, but may introduce mild-herbaceous, oily-green and slightly vinous notes when used as a modifier of the Aldehyde or its lower Acetals."
151,"Faint and rather nondescript odor, somewhat herbaceous and oily-green, overall nonfloral. Apparently weak, but quite tenacious."
152,"This acetal is described as having a Caraway- type odor, but the author does not quite agree, since he finds only a very mild, warmherbaceous, almost floral-green odor with a trace of spicy undertones."
153,"Faintly oily, green-leafy and simultaneously floral odor, reminiscent of the herbal-floral part of Jasmin. Good tenacity."
154,"Peculiar animal-green odor, mild and reminiscent of parts of the Jasmin complex, although not very floral unless composed with related Jasmin chemicals."
155,"Oily -herbaceous, somewhat green-balsamic odor, not very characteristic of any natural material"
156,"Sweet-floral, predominantly Orangeblossom-like odor with oily -herbaceous undertones, reminiscent of Honeysuckle, Gardenia, Tuberose, remotely of Jasmin and other heavy florals."
157,Mild oily -fruity and somewhat green odor with balsamic and faintly floral undertones.
158,"Oily-herbaceous, sweet and slightly green balsamic odor with some resemblance to Butter caramel."
159,"Peculiar herbaceous-green, somewhat earthy- nutlike odor."
160,"Mild fruit y, somewhat herbaceous-tobaccolike odor."
161,"Very faint odor, vinous-herbaceous type."
162,"Powerful, sweet and fruity odor of moderate tenacity. The fruity notes are rather nondescript, or they may be classified as remotely resembling Raspberry-Banana type."
163,"Powerful, sweet-fruity odor of Banana- Pineapple-Pear type, but far from being a “natural”’ odor. Moderate to good tenacity."
164,"Dry, pine-woody odor of good tenacity, yet of considerable diffusive power."
165,"Very powerful, diffusive, woody-camphoraceous odor, slightly earthy, yet with some resemblance to Orris root, overall very dry."
166,"Camphoraceous, balsamic-green and somewhat sweet odor, reminiscent of certain Pine needle oils, and with good tenacity. Its woody undertones makes it compatible with Patchouli oil, making the overall odor drier."
167,"Fruity, fresh-floral and Jasmin-like odor, but it lacks the “bread-like” note of the Jasmine, a note found in cis-Jasmone and in the Methyl jasmonates. The odor of Amyl cyclopentenone is not as rich as the odor of the named materials."
168,"Pecidiar faint odor, yet choking-nauseating when concentrated. Ethereal without being winey, green but not natural. Has a slightly metallic undertone. In dilution remotely reminiscent of Pear."
169,"Sweet-spicy, somewhat herbaceous-floral, heavy odor of considerable tenacity"
170,"Heavy-sweet, balsamic-floral and very faintly spicy odor of exceptional tenacity."
171,"Powerful ethereal-vinous, somewhat dry-earthy, yet fruity odor with earthy-green undertones."
172,"Peculiar green-fruity, deep-sweet odor, almost nauseating undertone. Ethereal-volatile (diffusive) apple-winey topnote. Resembles also Blackcurrant and Plum."
173,"Sweet-buttery, fruity and caramel-like odor, rather heavy, but also natural and pleasant in high dilution."
174,"Sweet -green, somewhat floral odor with a distinctly fruity note, sweet-caramellic undertone."
175,"Sweet-herbaceous, floral, somewhat spicy- Ambre-like odor of good tenacity."
176,"Heavy, pungent, sweet-fruity odor, remi- niscent of Pineapple, Rum, fruit preserves, wine, etc. with a herbaceous-floral undertone."
177,"Sweet-caramellic-winey, “fermented” odor."
178,"Sweet-fruity, caramellic and somewhat floral odor."
179,"Mild, herbaceous-winey, remotely floral odor of moderate tenacity."
180,"Powerful, but also sweet-leafy-green odor, closely resembling the odor of crushed Violet leaves. Less pungent, and less fatty than the lower alkyl heptin carbonates."
181,Mild citrusy-waxy odor with a faintly fruity note reminiscent of Banana pulp (the nonethereal note) or Peach (the dry note).
182,"Peculiar oily-green, dry-fruity odor."
183,"Peculiar green-fruity, somewhat grassy odor, reminiscent of Bananas and unripe fruits."
184,"Oily-green, herbal odor, reminiscent of fresh-cut flowers stems, rather bitter-green, but refreshing and natural."
185,"Mild, faint, oily -herbaceous odor, sweet and tenacious, like green wood"
186,"Faint, oily-floral, also somewhat herbaceous-green odor, overall very mild and bearing some similarity to the odor of Amylcinnamic aldehyde diethylacetal."
187,"Fruity-winey, somewhat ethereal odor with caramellic undertone."
188,"Rather sharp, fatty-fruity and sweet odor, reminiscent of Apricot and Orange."
189,Very mild oily -winey odor. To some people virtually odorless.
190,"Its odor is extremely faint, oily-fatty, dependent upon the quality of the parent Laurie acid."
191,"Warm, winey-carameliic odor of good tenacity."
192,"Mild, fruity odor with a somewhat greenherbaceous undertone."
193,"Extremely penetrating, unpleasant odor, typical of the mercaptans, sulfuraceous, choking, gassy."
194,"Powerful ethereal, pungent, fruity-apple- Iike very diffusive odor. Somewhat choking, remotely reminiscent of Pineapple."
195,"Fruity, somewhat green, but ak.o sweet and tenacious odor, remotely reminiscent of Strawberry, with a “cooked” note, almost caramellic."
196,"Very mild, waxy odor, to some persons it is absolutely odorless."
197,"Ethereal-fruity, vinous odor with a peculiar musty undertone, rather typical of many alkyl nitrates."
198,"Extremely diffusive, ethereal-fruity, penetrating odor."
199,"Somewhat nutty-oily, fruity-vinous, Apricotlike odor with a faint floral background, remotely rosy."
200,"Powerful green foliage odor, less pungent and less sharp than the Methyl heptin carbonate, and not as fatty, overall more “oily”, yet pleasant."
201,"Very faint “oily” odor, varying with the quality and age of the material."
202,"Virtually odorless when pure, this ester may have a trace of an odor, depending upon its quality."
203,"Sharp and pungent green foliags type odor, almost choking-gassy in the pure state, more pleasant at concentrations below 0.1 ‘?Oin an odorless solvent."
204,"Very dry “phenolic” - medicinal odor, sometimes described as “’leatherlike”, but more appropriately “tanning-odor”."
205,"Heavy green, “twig-like” odor, also bark- or sap-like with a fruity undertone."
206,"Peculiar fruity-green, more grassy, less woody odor, as compared to the aldehyde itself. Much sweeter, not near] y as dry or harsh."
207,"Sweet and very tenacious, musky-animal odor with a fruity -balsamic undertone reminiscent of (fresh) Cocoa beans."
208,"Peculiar earthy-floral, somewhat camphoraceous and rather dry odor, remotely reminiscent of Rose and Hyacinth."
209,"Powerful Rose-Hyacinth-like odor, somewhat earthy-green, not really pleasant in the pure state, but quite attractive and interesting when diluted."
210,"Sweet and somewhat floral odor of great tenacity. Faintly reminiscent of Amyl ‘salicylate, but more haylike-herbaceous."
211,no information
212,"Very sweet-fruity, Apricot-Pineapple type odor with a somewhat harsh overtone and considerable radiance"
213,"Herbaceous and green-spicy, fairly tenacious odor, reminiscent of vegetables and condiments."
214,"Sweet-herbaceous, slightly floral tobacco- Iike note, somewhat reminiscent of Elderflow - ers (animal undertones)."
215,"Sweet and somewhat floral odor, not without a note of animal, amine-like character. Overall less pleasant than many Alkyl pyridines"
216,Fresh ethereal caramel-Rum-like odor with fruity-floral undertones.
217,"Sweet herbaceous-green, slightly floral odor. Very tenacious, somewhat woody-earthy, sweet dryout notes. Refined qualities of this ester may show a marked difference in odor, particularly richer in sweetness and floral tones."
218,"Very faint waxy-fatty odor, or practically odorless."
219,"Virtually odorless, useful as a solvent, but does not seem to offer significant advantages over the much less expensive Diethyl phthalate."
220,"Pleasant, mild, aromatic odor, suggestive of Gooseberry with a Grape-like, winey undertone, but overall weak."
221,"Very faint odor, remotely reminiscent of Brandy, nondescript fruity"
222,"Dry-woody, somewhat camphoraceous odor."
223,"faint, but pleasant aromatic- herbaceous odor, remotely reminiscent of Amyl acetate."
224,"Herbaceous-winey, overall pleasant odor reminiscent of sweet medicinal herbs (meadowlike odor). The odor bears quite some resemblance to that of the -angelate."
225,"Oily-rosy odor with vinous-brandylike undertone, overall mild and by some observers described as “odorless”."
226,"Somewhat fatty-green, oily and fruity, Apricotlike odor with a faintly floral (Rose) undertone. pronounced brandy like, winey herbaceous in high dilution, but becomes rather unpleasant, almost “rubberlike”’ at high concentrations."
227,"Fruity-ethereal, heavy, Apple-like odor, not as fresh-druity as the iso-Amyl-iso-valerate."
228,"Peculiar fruity odor reminiscent of ripe apples, or more like the overwhelmingly choking odor of apples stored in a warehouse, almost a “fermented” apple odor."
229,Very faint balsamic-animal odor with floral undertones.
230,"Very powerful, sweet-earthy, almost buttery and fungus- or fermentation-like odor with a strong herbaceous note, -suggestive of Lavender- Lavandin-Rose and Hay."
231,"Fresh-herbaccous, fruity -minty odor, recalling the topnotes in Lavender and Lavandin (and many other herbaceous essential oils) less warm and not buttery as the alcohol, more citrusy, and almost geranium-like in topnote. Some observers find a rosy note in this ester."
232,"Fruity -herbaceous, almost haylike-sweet odor, recalling topnotes in Lavender-Clary Sage. Less Lavandin-like, more Lavender- Clary-Sage-like than the Acetate, and also sweeter-warmer."
233,See comments under monograph : Androstenone
234,Reported as having a penetrating urine-like odor
235,"Very sweet, herbaceous-wrarm odor, sweet taste. It is the prototype of odors described as “anisic”."
236,"Pleasant, sweet-herbaceous odor, perhaps less sweet than Anethole, but with a freshness instead."
237,"Peculiar spicy -caramellic, slightly acid odor."
238,"lts intensely sweet-herbaceous, almost tobacco-like odor makes this chemical interesting for application in new fragrance types."
239,"When absolutely pure, this material has a warm, sweet and actually pleasant odor - in suitabie dilution. Commercial grades are often unsuitable for smelling because of traces of very ill-smelfing Amines and other off-odors, by-product, etc."
240,"Intensely sweet floral, yet somewhat “hayIike” odor, generally described as HawthorneIike."
241,"This Acetal has an odor distinctly different from that of the parent aldehyde, and the Acetal is much weaker of odor,"
242,"Herbal-green, somewhat floral odor, suggestive of Lilac (“Lilac-green’”), Hyacinth, Appleblossom, etc."
243,"Heavy-sweet, intensely floral odor with fruity undertones. Resembling the odor of the flowers of Robinia pscudoacacia, remotely resembling notes in Gardenia (fruity-Peachlike notes)."
244,"Practically odorless when pure, this chemical may carry some odor from the starting material (Anethole, or other)."
245,"Powerful and harsh, yet very sweet odor, rather chemical and not reminiscent of any natural material, except perhaps remotely of Anise, Its odor is often classified as “anisic”, but the author finds that this term would not be used by perfumers."
246,"Mild fruity-floral, slightly balsamic-vanillialike odor in the Plum and Lilac type, also reminiscent of certain types of Cherry."
247,"Intensely sweet, floral and slightly fruity, Cherry-preserve-like odor of good tenacity. It has considerable resemblance to Heliotropine in its overall performance in a composition. The main difference is in the fruity character, which is described as “Raspberrylike”’ by some perfumers (while Heliotropine is more ““Cherry-like”) and in the lack of “’powdery”’ notes in the"
248,"Mild-floral, very sweet odor, reminiscent of Lilac and Vanilla with a faint, delicate, balsamic background."
249,"Very faint, balsamic-floral odor of great tenacity. The odor quality varies considerably with the origin of the material."
250,Reponed as having a sweet ““bitter Almond”’ and somewhat floral odor
251,"Mild floral, intensely sweet and warmslightly fruity, Plum-like odor."
252,"Heavy-sweet, floral and mildly fruity odor. Somewhat fresher than the n-Butyrate, and not as “jam-like”."
253,"Sweet herbaceous-green, yet somewhat dry odor with a faintly musty, but not unpleasant undertone. Reminiscent of Vanilla beans (cured) with an exotic-floral background, much drier than the acetate."
254,"Very faint fruity odor, reminiscent of Peach juice or Apricot juice. Very tenacious, and this ester may under proper condi~ions of blending contribute pleasantly to a composition of lower boiling materials."
255,"Slightly pungent, but in dilution sweet, floral and creamy odor of considerable tenaIcity."
256,"Very sweet, fruity -herbaceous, Mimosa- Honey-like, tenacious odor."
257,"Very faint balsamic-rosy odor of great tenacity. Less honey like, more floral than Benzyl phenylacetate, also more fruity than this."
258,"Sweet fruity, floral and somewhat Vanillalike odor."
259,"Very sweet, fruity-Apricot-Nectarine-Grenadine- like odor."
260,"Faint, herbaceous-warm, Parsley"
261,"Warm-herbaceous, more resinous-earth) than Apiole. Less Parsley-like."
262,"Green-herbaceous odor, at the same time warm and minty, slightly bitter-woody."
263,Pure Asarone is reported to be virtually odorless
264,"Nauseating “headachy” odor, chokingherbaceous, minty undertone"
265,
266,"Woody-animal, rather powerful odor with pleasant sweet background."
267,"Powerfull sweet odor, reminiscent of freshly crushed bitter almonds. "
268,"Sweet and mild, green odor, faintly reminiscent of the odor of Bitter Almond, but more herbaceous."
269,"Mild-herbaceous, sweet and floral odor. The odor varies considerably with the age of the material; and samples from different suppliers have shown quite different odor characteristics."
270,"Sweet-green and warm odor, remotely reminiscent of Nuts and Bitter Almonds."
271,Almost odorless
272,"The acetal itself has a very faint odor, barely reminiscent of Bitter Almond"
273,The acetal itself is practically odorless
274,The crystals have a very faint musty-rosy odor
275,"Odorless when pure. However, the commercial product usually carries a peculiar, unpleasant ‘“Urine-like” or faint Carbylamine- like odor,"
276,"Very faint, sweet, nondescript odor."
277,"Characteristic “gassy” hydrocarbon odor, choking, diffusive, warm."
278,stabilizer
279,"Very faint, powdery-rosy, geranium-like odor with a slightly metallic note."
280,"Powerful, but relatively sweet buttery- Iodine-like odor."
281,"Penetrating Chlorine-Iodine-like odor, pungent,“medicinal”. The vapors are irritating to human mucous membranes and eyes."
282,"Faint, but very tenacious balsamic-sweet, Vanilla-1ike odor of “’oriental” fragrance type. Also described as Tolu-balsam-like,"
283,mild balsamic-spicy odor of great tenacity and warm underlines. The spicy notes are more pronounced in older material. Freshly prepared material may be almost odorless
284,"Very faint, balsamic-sweet odor, usually carrying a trace of Vaniliin-like odor."
285,"Powerful but “thin”, sweet floral, fresh and light, fruity odor reminiscent of Jasmin, Gardenia, Muguet, Lily and other flowers. Poor tenacity."
286,"Pleasant balsamic-herbaceous and fruity odor, suggestive of “Oriental”’ fragrances, Ambre, etc."
287,"Floral-green odor, fresher than that of Benzylacetate, more lasting. Stable in soap."
288,"Mild and sweet, balsamic-floral odor of excellent tenacity"
289,"Faint, nondescript odor, rather sweet, but varies considerably with the quality of the alcohol."
290,"Faint, but pleasant floral-citrusy odor, as always depending upon the quality of the ester, and the method of preparation."
291,"Faint, sweet-balsamic odor, floral undertone. Trace impurities may ruin the odor picture from a perfumery point of view."
292,"Heavy, fruity-floral odor, main]> fruit). like Plum."
293,"Fruity-floral odor, somewhat fresher than that of the n-Butyrate, not as heavy."
294,"Very faint, sweet-balsamic odor of great tenacity. Sometimes described as resembling the odor of Tolu balsam."
295,"Very faint, fatty-waxy, remotely floral odor"
296,"Sweet, mild-fruity, slightly green odor, reminiscent of Apricot, but with a distinctly floral note."
297,"Flat, but fruity odor, more peachy than Apricot-like, and with a herbaceous-fatty"
298,Mild. sweet-balsamic and somewhat floral odor of great tenacity.
299,"Rich, sweet-rosy odor, warmer than that of Citronellol."
300,"Warm-herbaceous, mildly spicy, but not pungent odor of moderate tenacity"
301,"Peculiar herbaceous-green, yet very sweet and heavy-floral in its undertones. lt is reminiscent of the odor of Orange leaf water absolute, also of Orange flower water absolute."
302,"Mild, but intensely sweet, floral odor in the  Jasmin-Orange flower theme. Excellent tenacity"
303,Practically odorless
304,"Warm-herbaceous-ethereal odor with fruityspicy character, quite powerful."
305,"Mild, but rich-fruity, sweet, Plum-1ike, marmelade-like odor with a peculiar mint>- herbaceous character."
306,"Powerful “bumt-caramellic” aroma, unpleasant at high concentration but resembling the odor of roasted carbohydrates when sufficiently diluted."
307,"Sweet floral odor, reminiscent of the odors of Benzyl acetate and Benzyl propionate, sweeter, less pungent than that of the acetate, not as fruity as that of the propionate."
308,Su eet balsamic and very tenacious odor.
309,":%lild, oily -herbaceous, almost earthy odor with only a trace of fruity notes. Good tenacity."
310,"Very faint, warm-spicy odor with a haylike undertone. Like most other crystalline materials, it can display a range of unusual odors mostly deriving from surface adsorption"
311,Faintly rosy-balsamic-carnat ion type odor of exceptional tenacity. It is overall sweet and generally floral when blended with lower boiling components.
312,"Very mild floral-spicy odor, balsamicsweet, delicate. Only in actual use it is reminiscent of certain flowers, such as Carnation, Rose, Magnolia, etc."
313,"Powerful, fruity-green, herbaceous-earthy, yet somewhat floral, heavy, but not very tenacious odor."
314,Virtually odorless when pure.
315,Oily-green foliage odor with faintly floral undertone.
316,"Herbaceous-fruity odor, remotely remini-scent of the fruity notes in Clary Sage or certain types of Lavender"
317,"Sweet, but rather pungent odor with a creamy-floral note."
318,"Sweet floral, balsamic and heavy odor, somewhat herbaceous-warm undertone"
