Index,Name,CAS
PC001069,Daidzein,486-66-8
PC001066,p-Coumaric acid,7400-08-0
PC001065,Citronellal,106-23-0
PC001064,D-Camphor,464-49-3
PC001063,Caffeine,58-08-2
PC001062,Catechin,154-23-4
PC001061,Coniferyl alcohol,458-35-5
PC001060,Capsaicin,404-86-4
PC001059,Cafestol,469-83-0
PC001057,Biochanin A,491-80-5
PC001056,Bergaptol,486-60-2
PC001055,Bergapten,484-20-8
PC001054,Bergamottin,7380-40-7
PC001053,beta-Carotene,7235-40-7
PC001052,Aucubin,479-98-1
PC001050,quercetin-3´-O-sulfate,
PC001049,silybin B 20-O-sulfate,
PC001048,silybin A 20-O-sulfate,
PC001046,(Epi)catechin-4′-O-sulfate,
PC001045,(Epi)catechin-3′-O-sulfate,
PC001044,4′-O-methyl(epi)catechin,
PC001043,3′-O-methyl(epi)catechin,480-19-3
PC001042,Quercetin 3-O-glucuronide,
PC001041, Quercetin-4'-O-sulfate,
PC001039,"(Rac)-5-(3,4,5-trihydroxybenzyl)dihydrofuran-2(3H)-one X",
PC001038,"(R)-5-(3,5-dihydroxybenzyl)dihydrofuran-2(3H)-one",
PC001037,"(R)-5-(3,4-dihydroxybenzyl)dihydrofuran-2(3H)-one",
PC001036,"(R)-5-(3,4-dihydroxybenzyl)dihydrofuran-2(3H)-one bis(sulfate) (ammonium salt)",
PC001035,(R)-5-(4-hydroxybenzyl)dihydrofuran-2(3H)-one,
PC001034,(R)-5-(3-hydroxybenzyl)dihydrofuran-2(3H)-one,
PC001033,"(Rac)-5-(3,5-dihydroxybenzyl)dihydrofuran-2(3H)-one sulfate (ammonium salt)",
PC001032,4-O-beta-D-Glucuronyl-p-coumaric acid,
PC001031,7-O-beta-D-Glucuronyl-naringenin,
PC001030,4'-O-beta-D-Glucuronyl-naringenin,
PC001029,4-O-beta-D-Glucuronyl-hydroxytyrosol,
PC001027,7-O-beta-D-Glucuronyl-hesperetin,
PC001026,3'-O-beta-D-Glucuronyl-hesperetin,
PC001025,4-O-beta-D-Glucuronyl-ferulic acid,
PC001024,4-O-beta-D-Glucuronyl-caffeic acid,
PC001023,3-O-beta-D-Glucuronyl-caffeic acid,
PC001022,(R)-5-(3-hydroxybenzyl)dihydrofuran-2(3H)-one O-glucuronide (a/b-D anomeric mixtures),
PC001020,"(R)-5-(3,5-dihydroxybenzyl)dihydrofuran-2(3H)-one O-glucuronide (a/b-D anomeric mixtures)",1038922-84-7
PC001019,Hydroxytyrosol 3-O-beta-D-glucuronide,
PC001018,Protocatechuic acid 3-O-sulphate,
PC001017,Protocatechuic acid 4-O-sulphate,
PC001016,Caffeic acid 3-sulfate,
PC001015,Caffeic acid 4-O-sulphate,
PC001014,2-Methyl-pyrogallol-1-O-sulphate,
PC001013,1-Methyl-pyrogallol-3-O-sulphate,
PC001012,4-Methyl-catechol-2-O-sulphate,
PC001011,4-Methyl-catechol-1-O-sulphate,
PC001010,4-O-Methylgallic acid 3-O-sulphate,
PC001009,Catechol 1-O-sulphate,
PC001008,4-hydroxybenzoic acid 4-O-sulphate,
PC001007,Quercetin 3'-sulfate,
PC001006,Vanillic acid 4-sulfate,
PC001005,Cobaltous chloride,7646-79-9
PC001004,Potassium iodide,7681-11-0
PC001003,Sodium hydroxide (NaOH),1310-73-2
PC001002,Sodium fluoride (NaF),7681-49-4
PC001001,Sodium hydrogen carbonate,144-55-8
PC001000,Zinc chloride,7646-85-7
PC000999,Potassium sulfate (K2SO4),7778-80-5
PC000998,3-Hydroxydodecanedioic acid,34574-69-1
PC000997,2-Hydroxydecanedioic acid,103963-71-9
PC000996,3-Hydroxysuberic acid,73141-47-6
PC000995,3-Hydroxysebacic acid,73141-46-5
PC000994,3-Hydroxytetradecanedioic acid,73179-89-2
PC000993,Isovalerylglutamic acid,80154-63-8
PC000992,cis-4-Octenedioic acid,38561-68-1
PC000991,Suberylglycine,60317-54-6
PC000990,2-Octenedioic acid,5698-50-0
PC000989,Isobutyryl-L-carnitine,25518-49-4
PC000988,2-Hydroxyadipic acid,18294-85-4
PC000987,N-Acryloylglycine,24599-25-5
PC000986,Valerylglycine,24003-66-5
PC000985,Propionylglycine,21709-90-0
PC000984,Isovalerylcarnitine,31023-24-2
PC000983,L-Hexanoylcarnitine,22671-29-0
PC000982,Hexanoylcarnitine,6418-78-6
PC000981,2-Methylbutyroylcarnitine,31023-25-3
PC000980,L-Octanoylcarnitine,25243-95-2
PC000979,L-Palmitoylcarnitine,2364-67-2
PC000978,2-Methylbutyrylglycine,52320-67-9
PC000977,3-Hydroxyhippuric acid,1637-75-8
PC000976,Cysteinylglycine,19246-18-5
PC000975,Vinylacetylglycine,73122-61-9
PC000974,Phenylpropionylglycine,56613-60-6
PC000973,3-Methylcrotonylglycine,33008-07-0
PC000972,Hydroxyphenylacetylglycine,28116-23-6
PC000971,Cinnamoylglycine,16534-24-0
PC000970,4-Deoxythreonic acid,5057-93-2
PC000969,4-Hydroxyhippuric acid,2482-25-9
PC000968,3-Methylglutaconic acid,5746-90-7
PC000967,Isobutyrylglycine,15926-18-8
PC000966,N-Acetylglutamine,2490-97-3
PC000965,1-Hydroxy-2-propanone,116-09-6
PC000964,2-Phenylpropionate,492-37-5
PC000963,"2,6-Dimethoxybenzoic acid",1466-76-8
PC000962,"2,4-Dihydroxybutanoic acid",1518-62-3
PC000961,"2,6-Dihydroxybenzoic acid",303-07-1
PC000960,p-Cresol sulfate,3233-58-7
PC000959,"3,5-Dihydroxybenzoic acid",99-10-5
PC000958,2-Hydroxyethanesulfonate,107-36-8
PC000957,3-(3-Hydroxyphenyl)-3-hydroxypropanoic acid,3247-75-4
PC000956,o-Coumaric acid,583-17-5
PC000955,p-Hydroxymandelic acid,1198-84-1
PC000954,"1,2,3-Benzenetriol",87-66-1
PC000953,4-Hydroxyphenyl-2-propionic acid,938-96-5
PC000952,L-Stachydrine,471-87-4
PC000951,3-(3-Hydroxyphenyl)propanoic acid,621-54-5
PC000950,2-Methylhippuric acid,42013-20-7
PC000949,Mevalonolactone,503-48-0
PC000948,"CE(18:3(9Z,12Z,15Z))",2545-22-4
PC000947,1-Tetradecanol,112-72-1
PC000946,2-Oxohexanedioic acid,3184-35-8
PC000945,3-Methoxytyrosine,7636-26-2
PC000944,2-Piperidinone,675-20-7
PC000943,(S)-N-Acetylmethionine,65-82-7
PC000942,2-Methylcitric acid,6061-96-7
PC000941,Nerol,106-25-2
PC000940,Geraniol,106-24-1
PC000939,Turanose,547-25-1
PC000938,Glycyl-glycine,556-50-3
PC000937,D-Aspartic acid,1783-96-6
PC000936,Methylcobalamin,13422-55-4
PC000935,(R)-2-Benzylsuccinate,884-33-3
PC000934,3-Hydroxyglutaric acid,638-18-6
PC000933,3-Methoxybenzenepropanoic acid,10516-71-9
PC000932,Isoeugenol,97-54-1
PC000931,Eicosan-1-ol,629-96-9
PC000930,L-Allothreonine,24830-94-2
PC000929,3-Methyladenine,5142-23-4
PC000928,Glycyrrhetic acid,471-53-4
PC000927,"17-alpha,20-alpha-Dihydroxypregn-4-en-3-one",652-69-7
PC000926,L-Iditol,488-45-9
PC000925,4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanone,64091-91-4
PC000924,1-Methyladenine,5142-22-3
PC000923,7-Methyladenine,935-69-3
PC000922,5-Methoxydimethyltryptamine,1019-45-0
PC000921,"Adenosine 2',3'-cyclic phosphate",634-01-5
PC000920,Dodecyl alcohol,112-53-8
PC000919,dihydroxyacetone,96-26-4
PC000918,Dihydroxyacetone (monomer),96-26-4
PC000917,Indoxyl,480-93-3
PC000916,beta-D-Galactose,7296-64-2
PC000915,Gulonic acid,20246-53-1
PC000914,Perillic acid,7694-45-3
PC000913,4-Hydroxycyclohexylcarboxylic acid,17419-81-7
PC000912,Hexanal,66-25-1
PC000911,Phenylacetaldehyde,122-78-1
PC000910,Decanal,112-31-2
PC000909,Glycerol trihexadecanoate,555-44-2
PC000908,Oxytocin,50-56-6
PC000907,Prostaglandin E2,363-24-6
PC000906,Amlodipine,88150-42-9
PC000905,Canrenone,976-71-6
PC000904,"2,3-Dihydroxyvaleric acid",26386-47-0
PC000903,Loratadine,79794-75-5
PC000902,Dimethylallylpyrophosphate,358-72-5
PC000901,Prostaglandin D2,41598-07-6
PC000900,Campesterol,474-62-4
PC000899,Prostaglandin E1,745-65-3
PC000898,1-Decanol,112-30-1
PC000897,Adenosine phosphosulfate,485-84-7
PC000896,N-Stearoylsphingosine,2304-81-6
PC000895,3-Methylbutanal,590-86-3
PC000894,Norspermidine,56-18-8
PC000893,Mesoporphyrin IX,493-90-3
PC000892,D-Tagatose,87-81-0
PC000891,Picolinic acid,98-98-6
PC000890,Galactan,39300-87-3
PC000889,Taurocholic acid,81-24-3
PC000888,Pyrrole-2-carboxylic acid,634-97-9
PC000887,Acrylamide,79-06-1
PC000886,Anabasine,13078-04-1
PC000885,4-Methoxybenzoic acid,100-09-4
PC000884,Anthranilic acid,118-92-3
PC000883,Chalcone,94-41-7
PC000882,Theobromine,83-67-0
PC000881,Salicin,138-52-3
PC000880,13-cis-Retinoic acid,4759-48-2
PC000879,Lansoprazole,103577-45-3
PC000878,D-Lysine,923-27-3
PC000877,Hexacosanoic acid,506-46-7
PC000876,D-Glutamine,5959-95-5
PC000875,Benzocaine,94-09-7
PC000874,Danazol,17230-88-5
PC000873,Daidzein,486-66-8
PC000872,Cortisone,53-06-5
PC000871,Berberine,2086-83-1
PC000870,D-Arginine,157-06-2
PC000869,Uridine diphosphate,58-98-0
PC000868,2-Heptanone,110-43-0
PC000867,Benzamide,55-21-0
PC000866,D-Alanine,338-69-2
PC000865,Canthaxanthin,514-78-3
PC000864,Gabapentin,60142-96-3
PC000863,Myricetin,529-44-2
PC000862,D-Threitol,2418-52-2
PC000861,Luteolin,491-70-3
PC000860,Muramic acid,1114-41-6
PC000859,Citalopram,59729-33-8
PC000858,Venlafaxine,93413-69-5
PC000857,Ondansetron,99614-02-5
PC000856,(-)-Quinic acid,77-95-2
PC000855,Parathion,56-38-2
PC000854,"2,5-Furandicarboxylic acid",3238-40-2
PC000853,"3,5-Diiodo-L-tyrosine",300-39-0
PC000852,Genistein,446-72-0
PC000851,Heparin,9005-49-6
PC000850,"3a,6a,7b-Trihydroxy-5b-cholanoic acid",6830-03-1
PC000849,"3a,6b,7b-Trihydroxy-5b-cholanoic acid",2393-59-1
PC000848,3-Oxocholic acid,2304-89-4
PC000847,7a-Hydroxy-3-oxo-5b-cholanoic acid,4185-00-6
PC000846,1-Butanol,71-36-3
PC000845,Heptadecanoic acid,506-12-7
PC000844,Mesaconic acid,498-24-8
PC000843,L-Canavanine,543-38-4
PC000842,1H-Indole-3-propanoic acid,830-96-6
PC000841,2-Oxoarginine,3715-10-4
PC000840,Guaifenesin,93-14-1
PC000839,trans-p-Methoxycinnamic acid,830-09-1
PC000838,N-Acetylaspartylglutamic acid,3106-85-2
PC000837,"D-Glucurono-6,3-lactone",32449-92-6
PC000836,Raffinose,512-69-6
PC000835,Indole-3-butyric acid,133-32-4
PC000834,(S)-Carvone,2244-16-8
PC000833,2-Hexanone,591-78-6
PC000832,"1,3,7-Trimethyluric acid",5415-44-1
PC000831,Cyclohexanone,108-94-1
PC000830,"1,3-Dimethyluracil",874-14-6
PC000829,Chitosan,9012-76-4
PC000828,"cis,cis-Muconic acid",1119-72-8
PC000827,Deuteroporphyrin IX,448-65-7
PC000826,"N,N-Dimethylformamide",68-12-2
PC000825,N-Methylhydantoin,616-04-6
PC000824,6-Methyladenine,443-72-1
PC000823,4-Ethyl-gamma-butyrolactone,695-06-7
PC000822,Phosphate,14265-44-2
PC000821,D-Cysteine,921-01-7
PC000820,L-Pipecolic acid,3105-95-1
PC000819,9-Methyluric acid,55441-71-9
PC000818,Oleanolic acid,508-02-1
PC000817,7-Methylxanthine,552-62-5
PC000816,2-Methylpentan-3-one,565-69-5
PC000815,trehalose,99-20-7
PC000814,"alpha,alpha-Trehalose",99-20-7
PC000813,"1,9-Dimethyluric acid",55441-62-8
PC000812,Phosphoric acid,7664-38-2
PC000811,Benzaldehyde,100-52-7
PC000810,6-Hydroxynicotinic acid,5006-66-6
PC000809,beta-Leucine,5699-54-7
PC000808,4-Methyl-2-pentanone,108-10-1
PC000807,alpha-Terpineol,98-55-5
PC000806,Uvaol,545-46-0
PC000805,"3,7-Dimethyluric acid",13087-49-5
PC000804,1-Phenylethylamine,98-84-0
PC000803,Retinal,116-31-4
PC000802,o-Tyrosine,2370-61-8
PC000801,Dimethyl disulfide,624-92-0
PC000800,3-Isothiocyanato-1-propene,57-06-7
PC000799,3-Penten-2-one,625-33-2
PC000798,Isovalerylglycine,16284-60-9
PC000797,alpha-Ketoglutaric acid oxime,2211-15-6
PC000796,Scyllitol,488-59-5
PC000795,7-Methylguanine,578-76-7
PC000794,Pyrimidine,25247-63-6
PC000793,1-Methylguanine,938-85-2
PC000792,gamma-Terpinene,99-85-4
PC000791,Lipoamide,940-69-2
PC000790,Dimethylprotoporphyrin IX dimethyl ester,5522-66-7
PC000789,N-Formyl-L-methionine,4289-98-9
PC000788,Fenpropimorph,67306-03-0
PC000787,Phenylglyoxylic acid,611-73-4
PC000786,5-Methoxytryptophol,712-09-4
PC000785,1-Methylnicotinamide iodide,6456-44-6
PC000784,L-Homocysteic acid,14857-77-3
PC000783,Pentacosanoic acid,506-38-7
PC000782,Guanidinosuccinic acid,6133-30-8
PC000781,1-Methyluric acid,708-79-2
PC000780,Hydroxycobalamin,13422-51-0
PC000779,1-Methyladenosine,15763-06-1
PC000778,Nervonic acid,506-37-6
PC000777,Gallic acid,149-91-7
PC000776,L-Dihydroorotic acid,5988-19-2
PC000775,L-Thyronine,1596-67-4
PC000774,3-Methoxy-4-Hydroxyphenylglycol sulfate,71324-20-4
PC000773,Ergocalciferol,50-14-6
PC000772,3-Phenyl-2-propenal,104-55-2
PC000771,17alpha-Hydroxypregnenolone,387-79-1
PC000770,NAD,53-84-9
PC000769,3-Phosphoglyceric acid,820-11-1
PC000768,Methylimidazoleacetic acid,2625-49-2
PC000767,dCMP,1032-65-1
PC000766,Erucic acid,112-86-7
PC000765,3-Mercapto-2-oxopropanoic acid,2464-23-5
PC000764,"2,3-Butanediol",513-85-9
PC000763,Vaccenic acid,693-72-1
PC000762,Tolnaftate,2398-96-1
PC000761,Scopolamine,51-34-3
PC000760,Citicoline,987-78-0
PC000759,Selenomethionine,1464-42-2
PC000758,L-Selenomethionine,3211-76-5
PC000757,Harmaline,304-21-2
PC000756,coumarin,91-64-5
PC000755,Coenzyme A,85-61-0
PC000754,"8,11,14-Eicosatrienoic acid",1783-84-2
PC000753,Hesperidin,520-26-3
PC000752,Kaempferol,520-18-3
PC000751,Quercetin,117-39-5
PC000750,"1,5-Anhydrosorbitol",154-58-5
PC000749,"1,4-Benzoquinone",106-51-4
PC000748,Selenocystine,1464-43-3
PC000747,alpha-D-Glucopyranose,492-62-6
PC000746,Octacosanoic acid,506-48-9
PC000745,"N,N-Dimethylaniline",121-69-7
PC000744,2-Methylphenol,95-48-7
PC000743,4-Methylphenol,106-44-5
PC000742,Pyrophosphate,14000-31-8
PC000741,Stachyose,470-55-3
PC000740,Butanal,123-72-8
PC000739,"1,8-Cineole",470-82-6
PC000738,(R)-Limonene,5989-27-5
PC000737,(S)-Limonene,5989-54-8
PC000736,Maltitoll,585-88-6
PC000735,Naringin,10236-47-2
PC000734,Chitin,1398-61-4
PC000733,Erythrose,1758-51-6
PC000732,D-Galacturonic acid,14982-50-4
PC000731,Galacturonic acid,14982-50-4
PC000730,1-Octadecanol,112-92-5
PC000729,2-Amino-3-phosphonopropionic acid,5652-28-8
PC000728,5-Methoxytryptophan,2504-22-5
PC000727,"2,3-Diphosphoglyceric acid",138-81-8
PC000726,"3,4,5-Trimethoxycinnamic acid",90-50-6
PC000725,Uridine 5'-monophosphate,58-97-9
PC000724,Xylitol,87-99-0
PC000723,Alloxan,50-71-5
PC000722,bisulfite,15181-46-1
PC000721,Hydrogen sulfite,15181-46-1
PC000720,Cetyl alcohol,36653-82-4
PC000719,Flavones,525-82-6
PC000718,N-Methylnicotinamide,114-33-0
PC000717,Catechin,154-23-4
PC000716,"2,4-Dichlorophenol",120-83-2
PC000715,"2,4-Diaminobutyric acid",305-62-4
PC000714,(-)-Menthol,2216-51-5
PC000713,Propanal,123-38-6
PC000712,Acetoin,513-86-0
PC000711,Diethanolamine,111-42-2
PC000710,Ellagic acid,476-66-4
PC000709,1H-Indole-3-methanol,700-06-1
PC000708,Phloretin,60-82-2
PC000707,Quercetin 3-rutinoside,153-18-4
PC000706,"p-Mentha-1,8-dien-7-ol",536-59-4
PC000705,(S)-Naringenin,480-41-1
PC000704,Loperamide,53179-11-6
PC000703,Phenylpropiolic acid,637-44-5
PC000702,Nitrite,14797-65-0
PC000701,N-Methyl-D-aspartic acid,6384-92-5
PC000700,Heneicosanoic acid,2363-71-5
PC000699,Thiocyanic acid,302-04-5
PC000698,alpha-Hydroxyhippuric acid,16555-77-4
PC000697,Terephthalic acid,100-21-0
PC000696,Oxalic acid,144-62-7
PC000695,Phosphonoacetate,4408-78-0
PC000694,5-Methoxytryptamine,608-07-1
PC000693,Acetylsalicylic acid,50-78-2
PC000692,2-Hydroxyphenethylamine,7568-93-6
PC000691,3-Methylphenol,108-39-4
PC000690,Cadaverine,462-94-2
PC000689,Erythritol,149-32-6
PC000688,Hydroquinone,123-31-9
PC000687,Hydroxylamine,7803-49-8
PC000686,Cysteamine,60-23-1
PC000685,Phenol,108-95-2
PC000684,Chlorate,14866-68-3
PC000683,Cyanate,71000-82-3
PC000682,N1-Acetylspermine,25593-72-0
PC000681,"1,11-Undecanedicarboxylic acid",505-52-2
PC000680,4-Heptanone,123-19-3
PC000679,FAPy-adenine,5122-36-1
PC000678,3-Methylsalicylic acid,83-40-9
PC000677,4-Hydroxy-3-methylbenzoic acid,499-76-3
PC000676,Diethylthiophosphate,5871-17-0
PC000675,3-Methyl-2-oxobutanoic acid,759-05-7
PC000674,Phthalic acid,88-99-3
PC000673,4-(1-Guanidino)butyric acid,463-00-3
PC000672,3-(Methylthio)alanine,1187-84-4
PC000671,4-Ethylbenzoic acid,619-64-7
PC000670,Melatonin,73-31-4
PC000669,indole-3-ethanol,526-55-6
PC000668,Tryptophol,526-55-6
PC000667,Adenosylcobalamin,13870-90-1
PC000666,Maltotriose,1109-28-0
PC000665,Tetracosanoic acid,557-59-5
PC000664,D-Pantethine,16816-67-4
PC000663,Mannose 6-phosphate,3672-15-9
PC000662,ADP,58-64-0
PC000661,3-Pyridylacetic acid,501-81-5
PC000660,Agmatine,306-60-5
PC000659,m-Chlorobenzoic acid,535-80-8
PC000658,alpha-Linolenic acid,463-40-1
PC000657,m-Aminobenzoic acid,99-05-8
PC000656,diacetyl,431-03-8
PC000655,"2,3-Butanedione",431-03-8
PC000654,Pectin,9000-69-5
PC000653,"2,4-Diamino-6-hydroxypyrimidine",56-06-4
PC000652,Amylose,9005-82-7
PC000651,4-Aminophenol,123-30-8
PC000650,5-Phenylvaleric acid,2270-20-4
PC000649,12-Hydroxydodecanoic acid,505-95-3
PC000648,Thiamine pyrophosphate,154-87-0
PC000647,Acetylphosphate,590-54-5
PC000646,L-Histidinol,4836-52-6
PC000645,3-Hydroxyanthranilic acid,548-93-6
PC000644,Eicosanoic acid,506-30-9
PC000643,dUMP,964-26-1
PC000642,N-Acetyl-D-mannosamine,7772-94-3
PC000641,Phosphocreatine,67-07-2
PC000640,3-Nitrotyrosine,3604-79-3
PC000639,Formaldehyde,50-00-0
PC000638,Formamide,75-12-7
PC000637,2-Methoxyphenol,90-05-1
PC000636,Benzene,71-43-2
PC000635,Allose,6038-51-3
PC000634,D-Ribose 5-phosphate,3615-55-2
PC000633,N-Acetylserotonin,1210-83-9
PC000632,Lathosterol,80-99-9
PC000631,Allantoic acid,99-16-1
PC000630,D-Lactic acid,10326-41-7
PC000629,L-Sorbose,87-79-6
PC000628,5'-Methylthioadenosine,2457-80-9
PC000627,Maltotetraose,34612-38-9
PC000626,Spermidine,124-20-9
PC000625,4-Nitrophenol,100-02-7
PC000624,1-Octanol,111-87-5
PC000623,2-Oxopropanal,78-98-8
PC000622,dTMP,365-07-1
PC000621,5-Thymidylic acid,365-07-1
PC000620,Glucosamine 6-phosphate,3616-42-0
PC000619,Succinic acid semialdehyde,692-29-5
PC000618,L-Dehydroascorbic acid,490-83-5
PC000617,Dehydroascorbic acid,490-83-5
PC000616,3-Phenylbutyric acid,4593-90-2
PC000615,"2,3-Diaminopropionic acid",4033-39-0
PC000614,3-Aminosalicylic acid,570-23-0
PC000613,3-Phenoxypropionic acid,7170-38-9
PC000612,Methionine sulfoxide,62697-73-8
PC000611,Caffeic acid,331-39-5
PC000610,1H-Imidazole-4(5)-acetic acid,645-65-8
PC000609,Phloretic acid,501-97-3
PC000608,Dimethylmalonic acid,595-46-0
PC000607,Syringic acid,530-57-4
PC000606,Methylenebutanedioic acid,97-65-4
PC000605,N-Acetylputrescine,18233-70-0
PC000604,Phenylephrine,59-42-7
PC000603,3-Methylphenylacetic acid,621-36-3
PC000602,"2,2-Dimethylsuccinic acid",597-43-3
PC000601,2-Phenylglycine,2835-06-5
PC000600,4-Methoxyphenylacetic acid,104-01-8
PC000599,2-Ethyl-2-Hydroxybutyric acid,3639-21-2
PC000598,N-Methyl-alpha-aminoisobutyric acid,2566-34-9
PC000597,2-Methylbutanoic acid,116-53-0
PC000596,2-Hydroxy-2-methylbutyric acid,3739-30-8
PC000595,2-Pyrrolidinone,616-45-5
PC000594,Choline alfoscerate,28319-77-9
PC000593,alpha-Aspartyl-lysine,5891-51-0
PC000592,Isomaltose,499-40-1
PC000591,Sedoheptulose,3019-74-7
PC000590,Shikimic acid,138-59-0
