Stimulus,CAS,Original Name,CID
8868,141-97-9,ethyl acetoacetate,8868
8878,142-19-8,allyl heptanoate,8878
8908,142-92-7,hexyl acetate,8908
8914,143-08-8,nonanol,8914
9017,150-84-5,citronellyl acetate,9017
9024,151-05-3,dimethy benzyl carbinyl acetate,9024
10353,58985-02-7,dihydro terpineol,10353
10795,534-15-6,acetaldehyde dimethyl acetal,10795
10947,541-91-3,muscone,10947
11463,586-62-9,terpinolene,11463
12180,623-42-7,methyl butyrate,12180
12756,695-06-7,gamma-hexalactone,12756
12810,705-86-2,delta-decalactone,12810
12813,706-14-9,gamma-decalactone,12813
12844,713-95-1,delta-dodecalactone,12844
14235,1118-39-4,myrcenyl acetate,14235
14489,1191-16-8,prenyl acetate,14489
14896,127-91-3,beta-pinene,14896
15406,1632-73-1,fenchyl alcohol,15406
16299,2050-08-0,amyl salicylate,16299
16441,2111-75-3,perillaldehyde,16441
16666,2216-51-5,l-menthol,16666
16821,2305-05-7,gamma-dodecalactone,16821
17100,8000-41-7,terpineol,17100
17100,98-55-5,alpha-terpineol,17100
17121,2442-10-6,1-octen-3-yl acetate,17121
17525,2639-63-6,hexyl butyrate,17525
17617,2705-87-5,allyl cyclohexane propionate,17617
17739,2785-87-7,dihydro eugenol,17739
18698,3301-94-8,delta-nonalactone,18698
18756,13877-91-3,ocimene,18756
18827,3391-86-4,1-octen-3-ol,18827
18938,3452-97-9,"3,5,5-trimethyl-1-hexanol",18938
19089,3558-60-9,phenyl ethyl methyl ether,19089
20487,4430-31-3,octahydrocoumarin,20487
20739,4621-04-9,folrosia,20739
21059,4940-11-8,ethyl maltol,21059
21648,5471-51-2,raspberry ketone,21648
21895,29895-73-6,"2-(phenylmethyl)-1,3-dioxan-5-ol",21895
22310,60047-17-8,linalool oxide,22310
22311,138-86-3,limonene,22311
22629,6259-76-3,hexyl salicylate,22629
24020,7452-79-1,ethyl 2-methyl butyrate,24020
24117,7493-74-5,allyl phenoxyacetate,24117
24915,10094-34-5,dimethyl benzyl carbinyl butyrate,24915
25612,13019-22-2,decenol,25612
26447,14073-97-3,l-menthone,26447
27866,16409-43-1,rose oxide,27866
29096,18479-58-8,dihydro myrcenol,29096
31219,122-63-4,benzyl propionate,31219
31225,122-70-3,phenylethyl propionate,31225
31234,122-97-4,3-phenylpropyl alcohol,31234
31244,123-11-5,anis aldehyde,31244
31251,123-29-5,ethyl nonanoate,31251
31253,123-35-3,myrcene,31253
31260,123-51-3,isoamyl alcohol,31260
31265,123-66-0,ethyl hexanoate,31265
31266,123-68-2,allyl hexanoate,31266
31272,123-86-4,butyl acetate,31272
31276,123-92-2,isoamyl acetate,31276
31289,124-19-6,nonanal,31289
32052,35044-68-9,beta-damascone,32052
36081,32210-23-4,p-tert-butylcyclohexyl acetate,36081
60985,97-89-2,citronellyl isobutyrate,60985
60995,101-48-4,phenylacetaldehyde dimethyl acetal,60995
61005,103-60-6,phenoxy ethyl isobutyrate,61005
61007,104-20-1,anisyl acetone,61007
61016,106-72-9,melonal,61016
61031,110-41-8,2-methyl undecanal,61031
61040,115-99-1,linalyl formate,61040
61041,116-26-7,safranal,61041
61204,710-04-3,delta-undecalactone,61204
61334,4166-20-5,furaneol,61334
61585,13171-00-1,celestolide,61585
62098,55418-52-5,heliotropyl acetone,62098
62334,88-41-5,o-tert-butylcyclohexyl acetate,62334
62341,93-92-5,styrallyl acetate,62341
62378,1128-08-1,dihydro jasmone,62378
62902,39255-32-8,manzanate,62902
64685,507-70-0,borneol,64685
64805,1205-17-0,helional,64805
64813,5462-06-6,canthoxal,64813
65575,77-53-2,cedrol,65575
80865,6413-10-1,fructone,80865
83268,13254-34-7,dimetol,83268
86579,17511-60-3,tricyclodecenyl propionate,86579
87453,18096-62-3,indoflor,87453
89440,21145-77-7,tonalide,89440
90978,23787-90-8,isolongifolanone,90978
91497,1222-05-5,galaxolide,91497
91604,31906-04-4,lyral,91604
92292,33704-61-9,cashmerane,92292
92606,56973-85-4,dynascone,92606
93199,37677-14-8,myrac aldehyde,93199
93375,68039-49-6,triplal,93375
94111,58567-11-6,boisambrene forte,94111
95560,2109-22-0,pollenal II,95560
101330,25485-88-5,cyclohexyl salicylate,101330
101604,128-51-8,nopyl acetate,101604
102844,2550-11-0,dimethyl octenone,102844
102861,24851-98-7,methyl dihydrojasmonate,102861
102916,2983-37-1,irotyl,102916
105512,67634-14-4,floralozone,105512
105664,67801-64-3,floramat,105664
106714,67583-77-1,herbavert,106714
106729,124899-75-8,allyl amyl glycolate,106729
106745,67634-20-2,tricyclodecenyl isobutyrate,106745
106748,67634-25-7,floralate,106748
106866,67845-30-1,bark carbaldehyde,106866
107166,3738-00-9,ambrotech,107166
107381,5182-36-5,floropal,107381
108242,54464-57-2,ISO E super,108242
108312,55066-48-3,phenyl hexanol,108312
108443,60335-71-9,rosyrane,108443
109116,61699-38-5,jasmacyclat,109116
109418,68480-15-9,floralol,109418
110655,5413-60-5,tricyclodecenyl acetate,110655
110914,6658-48-6,suzaral,110914
111037,80-26-2,terpinyl acetate,111037
111418,68901-32-6,glycolierral,111418
111727,68901-15-5,allyl cyclohexyl glycolate,111727
113514,82461-14-1,rhubafuran,113514
116699,70788-30-6,norlimbanol,116699
118134,34131-98-1,decatone,118134
118201,35044-59-8,ethyl safranate,118201
118292,36306-87-3,kephalis,118292
120101,28940-11-6,calone,120101
157342,80623-07-0,fruitate,157342
159055,464-49-3,camphor,159055
160641,2511-00-4,poirenate,160641
162268,37609-25-9,(5Z)-cyclohexadec-5-en-1-one,162268
162413,40379-24-6,isononyl acetate,162413
163588,90397-38-9,peranat,163588
164422,139504-68-0,amber core,164422
166523,80480-24-6,troenan,166523
225700,80449-58-7,acetyl cedrene,225700
228987,80-54-6,lilial,228987
234237,1322-17-4,Jasmonyl,234237
235414,106-02-5,pentalide,235414
240122,134-28-1,guaiyl acetate,240122
249494,107-74-4,hydroxy citronellol,249494
439570,6485-40-1,l-carvone,439570
440968,7785-26-4,alpha-pinene,440968
517827,103-95-7,cyclamen aldehyde,517827
519382,17283-81-7,dihydro beta-ionone,519382
522514,7392-19-0,limetol,522514
637511,104-55-2,cinnamic aldehyde,637511
637520,103-26-4,methyl cinnamate,637520
637566,106-24-1,geraniol,637566
637758,4192-77-2,ethyl cinnamate,637758
637776,93-16-3,methyl isoeugenol,637776
638011,5392-40-5,citral,638011
638014,14901-07-6,beta-ionone,638014
643820,106-25-2,nerol,643820
853433,97-54-1,isoeugenol,853433
876160,93-29-8,acetyl isoeugenol,876160
1268142,4674-50-4,nootkatone,1268142
1549018,488-10-8,cis-jasmone,1549018
1549025,141-12-8,neryl acetate,1549025
1549026,105-87-3,geranyl acetate,1549026
1712058,122-40-7,amyl cinnamaldehyde,1712058
2733294,2497-18-9,trans-2-hexenyl acetate,2733294
3017432,63500-71-0,florosa,3017432
3017783,67707-75-9,melusat,3017783
3782139,3720-16-9,gravenone,3782139
5281167,928-96-1,cis-3-hexenol,5281167
5281168,6728-26-3,trans-2-hexenal,5281168
5281515,87-44-5,beta-caryophyllene,5281515
5282108,127-41-3,alpha-ionone,5282108
5282110,103-54-8,cinnamyl acetate,5282110
5283345,3913-81-3,trans-2-decenal,5283345
5283361,20407-84-5,mandarine aldehyde,5283361
5284507,7212-44-4,nerolidol,5284507
5315892,4407-36-7,cinnamic alcohol,5315892
5318042,928-95-0,trans-2-hexen-1-ol,5318042
5325830,20126-76-5,terpinene-4-ol,5325830
5352438,16491-36-4,cis-3-hexenyl butyrate,5352438
5352481,23267-57-4,beta-ionone epoxide,5352481
5352539,41519-23-7,cis-3-hexenyl isobutyrate,5352539
5352543,31501-11-8,cis-3-hexenyl hexanoate,5352543
5355856,106-29-6,geranyl butyrate,5355856
5362620,21662-09-9,cis-4-decenal,5362620
5362720,2277-19-2,cis-6-nonenal,5362720
5362792,35854-86-5,cis-6-nonen-1-ol,5362792
5362814,6728-31-0,cis-4-heptenal,5362814
5362833,28069-72-9,"2,6-nonadienol",5362833
5363388,3681-71-8,cis-3-hexenyl acetate,5363388
5365699,67633-96-9,liffarome,5365699
5365916,57378-68-4,delta-damascone,5365916
5365976,79-78-7,allyl alpha-ionone,5365976
5366074,23726-93-4,damascenone,5366074
5366077,43052-87-5,alpha-damascone,5366077
5367706,25152-85-6,cis-3-hexenyl benzoate,5367706
5371102,65405-77-8,cis-3-hexenyl salicylate,5371102
5372174,127-51-5,methyl ionone-gamma,5372174
5463762,87731-18-8,violiff,5463762
5702654,65405-70-1,trans-4-decenal,5702654
6321405,124-76-5,isoborneol,6321405
6433547,10339-55-6,ethyl linalool,6433547
6437428,68133-79-9,geranyl cyclopentanone,6437428
6438067,39872-57-6,isodamascone,6438067
6438195,28219-60-5,sandalmysore core,6438195
6441135,81782-77-6,undecavertol,6441135
6850728,73018-51-6,lime oxide,6850728
6950273,125-12-2,isobornyl acetate,6950273
9855795,4630-07-3,valencene,9855795
10857465,6790-58-5,ambroxan,10857465
11085796,67874-81-1,cedryl methyl ether,11085796
13918856,77-54-3,cedryl acetate,13918856
15461361,67883-79-8,cis-3-hexenyl tiglate,15461361
16063567,141773-73-1,helvetolide,16063567
16070752,117933-89-8,karanal,16070752
16204527,1335-66-6,isocyclocitral,16204527
19871663,1247790-47-1,terpirosa,19871663
44153588,113889-23-9,tricyclodecenyl butyrate,44153588
92043557,82356-51-2,muscenone delta,92043557
