CID,Molar Refractivity,Net Charge,HBD,HBA,Rt Bonds,Rings,TPSA,Hetero Atoms,Heavy Atoms,Aromatic Heavy Atoms,Melting Point (°C),Boiling Point (°C@760.00mm Hg),Vapor Pressure (mmHg@25.00 °C),Vapor Density (Air =1),Fraction Csp3,LogP,iLOGP,XLOGP3,WLOGP,MLOGP,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class: esol_class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT Class,GI Absorption,BBB Permeable,PgP Substrate,Log Kp (cm/s),Bioavailability Score,Caco2,Human Intestinal Absorption,Plasm Protein Binding,CYP1A2 Inhibitor,CYP2C19 Inhibitor,CYP2C9 Inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,Ames mutagenesis,Acute Oral Toxicity,Carcinogenicity (Binary),Carcinogenicity (Trinary),Eye Irritation,Hepatotoxicity,Androgen Receptor Binding,Aromatase Binding,Estrogen Receptor Binding,Glucocorticoid Receptor Binding,Thyroid Receptor Binding,BRCP inhibitor,BSEP inhibitor,OATP1B1 inhibitor,OATP1B3 inhibitor,OATP2B1 inhibitor,OCT1 inhibitor,OCT2 inhibitor
126,33.85,-1,1,2,1,1,37.30,2,9,6,117,170.00 to 171.00,0.017,,0.00,1.205,0.99,1.35,1.20,0.79,-1.87,1.63,0.013,Very soluble,-1.74,2.25,0.02,Very soluble,-1.72,2.31,0.02,Soluble,High,1,0,-6.09,0.55,1,1,0.484,0,0,0,0,0,0,1.715,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
135,35.42,-1,2,3,1,1,57.53,3,10,6,214.5,170.00 to 171.00,,,0.00,1.09,0.85,1.58,1.09,0.99,-2.07,1.18,0.009,Soluble,-2.40,0.55,0,Soluble,-1.17,9.4,0.07,Soluble,High,1,0,-6.02,0.85,1,1,0.556,0,0,0,0,0,0,1.021,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
174,14.05,,2,2,1,,40.46,2,4,0,-12.00 to -11.00,197.00 to 198.00,0.096,,1.00,-1.029,0.70,-1.36,-1.03,-1.15,0.70,310,4.99,Highly soluble,1.01,636,10.2,Highly soluble,0.63,264,4.26,Soluble,High,0,0,-7.64,0.55,1,1,0.367,0,0,0,0,0,0,0.537,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
176,13.50,-1,1,2,0,,37.30,2,4,0,16.60 to 16.70,170.00 to 171.00,15.7,2.1,0.50,0.091,0.63,-0.21,0.09,-0.49,-0.08,49.9,0.832,Very soluble,-0.12,45.9,0.77,Very soluble,0.53,205,3.42,Soluble,High,0,0,-6.82,0.85,0,1,-0.033,0,0,0,0,0,0,0.717,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
177,11.93,,,1,0,,17.07,0,3,0,125.00 to -123.00,170.00 to 171.00,902,1.5,0.50,-0.3,0.80,-0.27,0.21,-0.37,0.06,50.2,1.14,Highly soluble,0.37,103,2.35,Highly soluble,0.02,46,1.04,Soluble,Low,0,0,-6.76,0.55,0,1,0.395,0,0,0,0,0,0,1.278,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
178,14.64,,1,1,0,,43.09,2,4,0,79.00 to 81.00,221.00 to 222.00,1,,0.50,-0.508,0.59,-0.86,-0.51,-0.89,0.34,128,2.17,Highly soluble,0.44,161,2.73,Highly soluble,0.32,124,2.09,Soluble,High,0,0,-7.27,0.55,1,1,-0.328,0,0,0,0,0,0,0.457,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
179,22.70,,1,2,1,,37.30,2,6,0,15,170.00 to 171.00,2.69,3,0.75,-0.044,0.98,-0.30,-0.04,-0.33,-0.13,65.1,0.739,Very soluble,-0.02,83.5,0.95,Very soluble,0.03,93.3,1.06,Soluble,High,0,0,-7.05,0.55,0,1,0.396,0,0,0,0,0,0,1.202,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
180,16.73,,,1,0,,17.07,1,4,0,-95.00 to -94.00,170.00 to 171.00,232,2,0.67,0.595,1.14,-0.05,0.60,0.15,-0.17,39.4,0.678,Very soluble,0.14,80.6,1.39,Highly soluble,-0.42,22,0.38,Soluble,High,0,0,-6.69,0.55,0,1,-0.279,0,0,0,0,0,0,1.102,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
196,34.50,-2,2,4,5,,74.60,4,10,0,152.00 to 154.00,265.00 @ 100.00 mm Hg,1,5,0.67,0.716,0.77,0.08,0.72,0.25,-0.47,49.9,0.342,Very soluble,-1.20,9.2,0.06,Very soluble,-0.23,87.1,0.6,Soluble,High,0,0,-7.13,0.85,1,1,0.238,0,0,0,0,0,0,1.485,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
204,39.55,,4,3,2,1,113.32,7,11,0,239,,,,0.25,-2.18,-0.28,-2.17,-2.94,-1.85,0.68,755,4.77,Highly soluble,0.32,331,2.09,Highly soluble,0.01,162,1.02,Soluble,Low,0,0,-8.81,0.55,0,1,0.376,0,0,0,0,0,0,0.106,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
222,4.73,,,1,0,,3.24,0,1,0,-78,170.00 to 171.00,8.75,6,0.67,-0.7,1.14,-0.05,0.60,0.15,-0.17,39.4,0.678,Very soluble,0.14,80.6,1.39,Highly soluble,-0.42,22,0.38,Soluble,High,0,0,-6.69,0.55,,,,0,0,0,0,0,,,,null,,,,,,,,,,,,,,
239,21.01,,2,3,2,,63.32,3,6,0,200.00 to 207.00,237.00 to 238.00,0.016,,0.67,-0.58,0.50,-3.05,-0.58,-0.85,1.66,4080,45.8,Highly soluble,2.28,17100,192,Highly soluble,0.40,221,2.48,Soluble,High,0,0,-9.01,0.55,1,1,0.073,0,0,0,0,0,0,0.654,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
240,31.83,,,1,1,1,17.07,1,8,6,-26.00 to -25.00,170.00 to 171.00,1.27,3.7,0.00,1.499,1.36,1.48,1.50,1.45,-1.92,1.28,0.012,Very soluble,-1.45,3.8,0.04,Very soluble,-2.28,0.56,0.01,Soluble,High,1,0,-5.90,0.55,1,1,0.393,1,0,0,0,0,0,1.81,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
241,26.44,,,0,0,1,0.00,0,6,6,5.00 to 6.00,170.00 to 171.00,94.8,,0.00,1.687,1.58,2.13,1.69,3.17,-2.41,0.307,0.004,Soluble,-1.76,1.35,0.02,Very soluble,-2.27,0.42,0.01,Soluble,Low,0,0,-5.26,0.55,1,1,0.186,1,0,0,0,0,0,1.819,0,Warning,1,0,0,0,0,0,0,0,0,1,1,0,0,0
243,33.40,-1,1,2,1,1,37.30,2,9,6,122.00 to 123.00,170.00 to 171.00,10,4.21,0.00,1.385,1.11,1.87,1.38,1.60,-2.20,0.766,0.006,Soluble,-2.27,0.65,0.01,Soluble,-1.72,2.31,0.02,Soluble,High,1,0,-5.72,0.85,1,1,0.777,0,0,0,0,0,0,1.462,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
244,32.57,,1,1,1,1,20.23,1,8,6,-16.00 to -14.00,170.00 to 171.00,0.094,3.7,0.14,1.179,1.66,1.10,1.03,1.54,-1.69,2.2,0.02,Very soluble,-1.12,8.25,0.08,Very soluble,-2.16,0.75,0.01,Soluble,High,1,0,-6.18,0.55,1,1,0.43,1,0,0,0,0,0,1.998,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
247,28.35,,,2,2,,40.13,3,8,0,293,,,,0.80,-0.223,-2.19,-0.13,-1.56,-3.67,-0.35,52,0.444,Very soluble,-0.26,64.5,0.55,Very soluble,-0.82,17.6,0.15,Soluble,Low,0,0,-7.11,0.55,1,0,0.376,0,0,0,0,0,0,1.404,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
261,21.54,1,,1,2,,17.07,5,5,0,-96,74.00 to 75.00,88.5,2.5,0.75,0.985,1.30,0.88,0.99,0.60,-0.71,14.1,0.195,Very soluble,-0.82,10.8,0.15,Very soluble,-0.89,9.37,0.13,Soluble,High,1,0,-6.12,0.55,1,1,0.843,0,0,0,0,0,0,1.181,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
262,23.67,,2,2,1,,40.46,2,6,0,16.3,182,0.243,3.1,1.00,-0.252,1.26,-0.92,-0.25,-0.18,0.25,159,1.77,Highly soluble,0.55,323,3.58,Highly soluble,0.50,282,3.13,Soluble,High,0,0,-7.50,0.55,0,1,0.809,0,0,0,0,0,0,1.051,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
263,22.50,,1,1,2,,20.23,1,5,0,-89.00 to -88.00,57.00 to 58.00,6.7,2.5,1.00,0.779,1.57,0.88,0.78,0.75,-0.72,14.1,0.19,Very soluble,-0.89,9.57,0.13,Very soluble,-0.77,12.5,0.17,Soluble,High,1,0,-6.13,0.55,1,1,0.749,0,0,0,0,0,0,2.179,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
264,23.11,-1,1,2,2,,37.30,2,6,0,-7.00 to -5.00,162.00 to 164.00,1.65,3.04,0.75,0.871,1.10,0.79,0.87,0.49,-0.75,15.6,0.177,Very soluble,-1.15,6.18,0.07,Very soluble,-0.35,39.4,0.45,Soluble,High,1,0,-6.28,0.85,1,1,0.232,0,0,0,0,0,0,1.251,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
273,31.56,2,2,2,4,,52.04,2,7,0,9,179.00 ,0.961,,1.00,0.074,1.39,-0.58,0.07,0.23,0.16,146,1.43,Highly soluble,-0.04,92.7,0.91,Very soluble,-1.11,7.93,0.08,Soluble,High,0,0,-7.34,0.55,1,1,0.784,0,0,0,0,0,0,2.301,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
280,5.01,,,2,0,,34.14,0,3,0,,-88.46,28293.11133,,0.00,0.9,-6.64,0.88,-0.55,-1.24,-0.67,9.47,0.215,Very soluble,-1.18,2.9,0.07,Very soluble,0.51,141,3.21,Soluble,High,0,1,-5.94,0.55,1,1,0.675,0,0,0,0,0,0,2.078,1,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
281,4.07,,,1,0,,0.00,0,2,0,,,,,0.00,0.7,0.00,0.67,-0.04,-1.01,-0.44,10.3,0.367,Very soluble,-0.25,15.9,0.57,Very soluble,0.33,59.9,2.14,Soluble,Low,0,0,-6.00,0.55,1,1,0.074,0,0,0,0,0,0,2.238,1,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
284,9.08,,1,2,0,,37.30,0,3,0,8.20 to 8.40,100.00 to 101.00,36.477,1.6,0.00,-0.2,0.27,-0.20,-0.30,-1.13,0.00,46.1,1,Highly soluble,-0.13,34.4,0.75,Very soluble,0.97,433,9.4,Soluble,High,0,0,-6.72,0.85,0,1,0.69,0,0,0,0,0,0,1.322,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
294,68.12,,8,11,4,2,189.53,11,23,0,,667.90 ,,,1.00,-5.397,0.76,-3.57,-5.40,-4.37,0.55,1220,3.56,Highly soluble,0.17,510,1.49,Highly soluble,4.25,6100000,17800,Soluble,Low,0,1,-10.92,0.17,0,0,0.481,0,0,0,0,0,0,2.036,0,Non-required,0,0,0,1,0,0,1,0,0,1,1,0,0,0
299,88.12,,,1,0,6,17.07,11,21,0,350,,2.25X10-7,16.94,0.90,4.618,1.78,5.41,4.62,4.86,-6.29,0,0,Poorly soluble,-5.52,0,0,Moderately soluble,-8.41,0,0,Poorly soluble,High,1,0,-5.45,0.55,1,1,0.289,1,1,1,0,0,0,2.833,1,Danger,1,0,0,0,1,0,0,0,0,1,1,0,0,0
311,37.47,-3,4,7,5,,132.13,7,13,0,152.00 to 154.00,309.00 to 310.00,,,0.50,-1.248,-1.49,-1.72,-1.25,-1.48,0.38,463,2.41,Highly soluble,-0.54,55.3,0.29,Very soluble,1.71,9900,51.5,Soluble,Low,0,0,-8.69,0.56,0,1,0.22,0,0,0,0,0,0,2.332,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
313,6.96,,4,7,0,,0.00,0,1,0,-114.77,,,,0.50,0.8,-1.49,-1.72,-1.25,-1.48,0.38,463,2.41,Highly soluble,-0.54,55.3,0.29,Very soluble,1.71,9900,51.5,Soluble,Low,0,0,-8.69,0.56,,,,0,0,0,0,0,,,,null,,,,,,,,,,,,,,
323,42.48,,,2,0,2,30.21,2,11,10,68.00 to 74.00,297.00 to 301.00,0.1,5.1,0.00,1.793,1.75,1.39,1.79,1.65,-2.29,0.742,0.005,Soluble,-1.63,3.44,0.02,Very soluble,-3.59,0.04,0,Soluble,High,1,0,-6.20,0.55,1,1,0.865,1,0,0,0,0,1,2.514,0,Warning,1,0,0,0,0,0,0,0,0,1,1,0,0,0
325,47.15,,1,1,2,1,20.23,1,11,6,28,135.00 to 136.00,0.012,,0.40,2.302,2.33,2.34,2.15,2.49,-2.52,0.457,0.003,Soluble,-2.40,0.59,0,Soluble,-3.03,0.14,0,Soluble,High,1,0,-5.55,0.55,1,1,0.687,1,0,0,0,0,0,2.009,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
326,46.41,,,1,2,1,17.07,1,11,6,,235.00 to 236.00,0.065,,0.30,2.623,2.03,2.37,2.62,2.40,-2.52,0.444,0.003,Soluble,-2.37,0.63,0,Soluble,-3.15,0.11,0,Soluble,High,1,0,-5.52,0.55,1,1,0.797,1,0,0,0,0,0,1.692,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
332,45.05,,1,2,2,1,29.46,2,11,6,25.00 to 29.00,224,0.019,,0.11,2.044,2.14,2.81,1.93,1.71,-2.81,0.231,0.002,Soluble,-3.09,0.12,0,Soluble,-2.38,0.63,0,Soluble,High,1,0,-5.22,0.55,1,1,0.851,1,0,0,0,0,0,1.913,0,Non-required,1,0,0,0,0,0,0,1,0,1,1,0,0,0
335,33.43,,1,1,0,1,20.23,1,8,6,30.00 to 34.00,191.00 to 192.00,0.03,3.72,0.14,1.701,1.55,1.95,1.70,1.81,-2.29,0.55,0.005,Soluble,-2.00,1.08,0.01,Very soluble,-2.14,0.78,0.01,Soluble,High,1,0,-5.58,0.55,1,1,0.882,1,0,0,0,0,0,2.777,1,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
338,35.42,-1,2,3,1,1,57.53,3,10,6,158.00 to 161.00,336.00 to 337.00,1,4.8,0.00,1.09,1.13,2.26,1.09,0.99,-2.50,0.439,0.003,Soluble,-3.10,0.11,0,Soluble,-1.17,9.4,0.07,Soluble,High,1,0,-5.54,0.85,1,1,0.934,0,0,0,0,0,0,2.092,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
342,33.43,,1,1,0,1,20.23,1,8,6,11.00 to 12.00,202.00 to 203.00,0.11,7.07,0.14,1.701,1.49,1.96,1.70,1.81,-2.30,0.542,0.005,Soluble,-2.01,1.06,0.01,Soluble,-2.14,0.78,0.01,Soluble,High,1,0,-5.57,0.55,1,1,0.654,1,0,0,0,0,0,2.451,1,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
356,35.76,,,0,4,,0.00,0,7,0,-57.00 to -56.00,125.00 to 126.00,14.157,3.9,1.00,3.367,2.65,4.66,2.98,3.87,-3.13,0.074,0.001,Soluble,-4.39,0,0,Moderately soluble,-2.60,0.25,0,Soluble,Low,1,0,-3.60,0.55,1,1,0.993,0,0,0,0,0,0,1.391,1,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
379,42.34,-1,1,2,6,,37.30,2,10,0,16.00 to 17.00,237.00 to 239.00,0.022,4.9,0.88,2.431,1.95,3.05,2.43,1.96,-2.26,0.793,0.006,Soluble,-3.50,0.05,0,Soluble,-2.05,1.3,0.01,Soluble,High,1,0,-5.01,0.85,1,1,0.704,0,0,0,0,0,0,1.446,0,Non-required,1,0,0,0,0,0,0,0,0,1,0,0,0,0
385,39.31,,2,4,6,,74.60,,11,0,106,342.00 ,,,0.71,,0.94,0.61,1.11,0.60,-0.82,24.2,0.151,Very soluble,-1.75,2.84,0.02,Very soluble,-0.64,36.7,0.23,Soluble,High,0,0,-6.84,0.85,1,1,0.379,0,0,0,0,0,0,1.383,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
401,25.13,,2,3,0,1,64.35,4,7,0,155.00 ,,,,0.67,-0.785,0.53,-1.51,-2.01,-1.68,0.48,307,3.01,Highly soluble,0.66,471,4.62,Highly soluble,0.27,192,1.88,Soluble,Low,0,0,-7.99,0.55,0,1,0.16,0,0,0,0,0,1,1.269,0,Non-required,0,0,0,0,0,0,0,0,0,1,1,0,0,0
402,10.38,,,1,0,,25.30,,1,0,-85.5,-60.7,12581.329,,0.50,0.5,1.58,0.94,0.72,1.10,-0.89,9.52,0.13,Very soluble,-1.46,2.53,0.03,Very soluble,-0.33,34.4,0.47,Soluble,High,1,0,-6.08,0.55,,,,0,0,0,0,0,,,,null,,,,,,,,,,,,,,
424,27.59,-1,3,5,3,,100.62,5,9,0,275.00 to 280.00,264.12 ,0.003,,0.50,-1.127,-0.14,-3.89,-1.13,-3.59,1.98,12800,96.3,Highly soluble,2.37,31400,236,Highly soluble,1.31,2730,20.5,Soluble,High,0,0,-9.87,0.56,0,0,0.194,0,0,0,0,0,0,0.683,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
453,37.93,,6,6,5,4,121.38,6,12,0,164.00 to 168.00,290.00 to 295.00,,,1.00,1.937,0.34,-3.10,-3.59,-2.77,1.31,3750,20.6,Highly soluble,1.12,2380,13.1,Highly soluble,2.57,67100,368,Soluble,Low,0,0,-9.61,0.55,0,1,0.064,0,0,0,0,0,0,0.481,0,Non-required,0,0,0,0,0,0,0,0,0,1,1,0,0,0
454,40.77,,,1,6,,17.07,1,9,0,-23,171.00 to 173.00,2.068,4.4,0.88,2.546,2.29,2.72,2.55,2.07,-1.95,1.43,0.011,Very soluble,-2.73,0.24,0,Soluble,-2.60,0.32,0,Soluble,High,1,0,-5.15,0.55,1,1,1.074,0,0,0,0,0,0,1.437,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
460,34.96,,1,2,1,1,29.46,3,9,6,28.00 to 32.00,205.00 to 206.00,0.179,4.27,0.14,1.799,1.76,1.32,1.40,1.15,-1.87,1.68,0.014,Very soluble,-1.54,3.58,0.03,Very soluble,-1.91,1.54,0.01,Soluble,High,1,0,-6.12,0.55,1,1,0.838,0,0,0,0,0,0,2.313,0,Warning,1,0,0,0,0,0,0,0,0,1,1,0,0,0
525,26.05,,3,5,3,,94.83,,9,0,131.00 to 135.00,306.00 to 307.00,0.000071,4.6,0.50,,-0.01,-1.26,-1.09,-1.37,0.32,280,2.09,Highly soluble,-0.24,78,0.58,Very soluble,1.53,4510,33.7,Soluble,High,0,0,-8.01,0.56,0,1,0.233,0,0,0,0,0,0,0.844,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
527,16.73,,,1,1,,17.07,1,4,0,-81.00 to -80.00,46.00 to 50.00,299.382,2,0.67,0.595,1.06,0.59,0.60,0.15,-0.51,18.1,0.312,Very soluble,-0.52,17.5,0.3,Very soluble,-0.44,21.1,0.36,Soluble,High,0,0,-6.24,0.55,1,1,0.55,0,0,0,0,0,0,1.086,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
564,35.44,,2,3,5,,63.32,3,9,0,205.00 ,255.64 ,0.005,,0.83,0.59,1.20,-2.95,0.59,0.39,1.54,4500,34.3,Highly soluble,2.18,19900,151,Highly soluble,-0.88,17.2,0.13,Soluble,High,0,0,-9.19,0.55,0,1,0.56,0,0,0,0,0,0,1.221,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
596,55.85,,4,6,2,2,130.83,8,17,6,212.5,545.68 ,,,0.56,-2.563,0.32,-2.13,-2.88,-2.29,-0.14,178,0.732,Very soluble,-0.09,198,0.82,Very soluble,1.01,2490,10.2,Soluble,Low,0,0,-9.30,0.55,0,1,0.351,0,0,0,0,0,0,2.326,0,Danger,0,1,1,1,0,1,1,0,0,1,1,0,0,0
602,21.01,,2,3,1,,63.32,,6,0,289.00 to 300.00,212.00 to 216.00,0.066,,0.67,,0.33,-2.96,-0.58,-3.06,1.54,3080,34.5,Highly soluble,2.19,13800,155,Highly soluble,0.77,523,5.87,Soluble,High,0,0,-8.95,0.55,0,1,0.39,0,0,0,0,0,0,0.2,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
611,32.40,-1,3,5,4,,100.62,5,10,0,199.00 ,333.00 to 334.00,,,0.60,-0.737,0.41,-3.69,-0.74,-3.18,1.84,10100,68.6,Highly soluble,2.16,21500,146,Highly soluble,0.89,1150,7.83,Soluble,High,0,0,-9.82,0.56,0,0,0.104,0,0,0,0,0,0,0.372,0,Non-required,0,0,0,0,0,0,0,0,0,1,1,0,0,0
612,19.47,-1,2,3,1,,57.53,3,6,0,16.00 to 17.00,122.00 @ 15.00 mm Hg,0.015,,0.67,-0.548,0.52,-0.72,-0.55,-0.85,0.12,119,1.32,Highly soluble,-0.01,87.6,0.97,Very soluble,0.98,866,9.62,Soluble,High,0,0,-7.36,0.85,0,1,0.625,0,0,0,0,0,0,0.931,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
614,32.52,,2,3,1,1,49.33,3,8,0,205.00 ,,,,0.80,-0.177,0.84,-2.50,-0.56,-2.59,1.09,1410,12.2,Highly soluble,2.01,11700,102,Highly soluble,-0.13,85.7,0.75,Soluble,High,0,0,-8.78,0.55,0,0,0.506,0,0,0,0,0,0,2.306,0,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
650,21.74,,,2,1,,34.14,2,6,0,-2.4,87.00 to 88.00,56.8,2.9,0.50,0.164,1.19,-1.34,0.16,-0.43,0.54,296,3.44,Highly soluble,1.12,1140,13.3,Highly soluble,-0.45,30.8,0.36,Soluble,High,0,0,-7.78,0.55,1,1,0.235,0,0,0,0,0,1,0.746,1,Non-required,1,0,0,0,0,0,0,0,0,1,1,0,0,0
